,experiment,total_additional_runtime_seconds,total_additional_cost,unmatched_percent,unmatched_count,build_success_mean,build_success_std,points_scored_correct,points_scored_incorrect,points_scored_possible,matched_clusters_per_job_mean,matched_clusters_per_job_std,mismatched_clusters_per_job_mean,mismatched_clusters_per_job_std,total_jobs,total_clusters
0,none,15576524.367315704,10648.097379431003,0.0,0,0.06261463538043134,0.2422685345161583,1980,29642,31622,100.0,0.0,0.0,0.0,31622,100
1,arch-subsystem,15617284.793639459,10817.148709803,0.0,0,0.4813104800455379,0.4996505797493603,15220,16402,31622,13.18208841945481,3.1154880402510847,86.81791158054519,3.1154880402510843,31622,100
2,compiler-subsystem,15412723.982999295,10931.02700208891,0.0,0,0.11305420277022327,0.31665904377770815,3575,28047,31622,54.20245398773006,2.7091291001005664,45.79754601226994,2.7091291001005664,31622,100
3,compiler-version-subsystem,14460952.200868396,10135.514050921855,0.0,0,0.09034849155651128,0.286680382359823,2857,28765,31622,10.286256403769528,3.8438663546037657,89.71374359623047,3.8438663546037657,31622,100
4,memory-subsystem,16384910.018886719,12700.254393727148,3.162355322244007e-05,1,0.06460896239840612,0.24583458742863562,2043,29578,31621,94.20953766365189,12.715027515434421,5.790462336348112,12.715027515434421,31622,100
5,arch,15675002.711787106,10848.255581462192,0.0,0,0.4774207829991778,0.4994899187767755,15097,16525,31622,13.18208841945481,3.1154880402510847,86.81791158054519,3.1154880402510843,31622,100
6,arch-compiler,15496931.71976329,11035.18266026312,0.0,0,0.7837265195117323,0.411702880881053,24783,6839,31622,7.833944722028967,2.35637358698004,92.16605527797103,2.35637358698004,31622,100
7,arch-compiler-compiler-version,10855194.308458198,6111.619987091386,0.31316804756182404,9903,1.0,0.0,21719,0,21719,1.004680285876921,0.9159081366649172,98.99531971412308,0.9159081366649172,31622,100
8,arch-compiler-compiler-version-memory,8159809.5543223135,5384.930907357113,0.07053731755605691,1532,1.0,0.0,20187,0,20187,1.350522583912703,0.8136477894042831,98.6494774160873,0.8136477894042831,21719,100
9,constraint-with-replacement,8159809.554322233,4762.094935573646,0.0,0,1.0,0.0,20187,0,20187,1.4530143161440532,0.7505610945475848,98.54698568385595,0.7505610945475847,20187,100
10,constraint-without-replacement,8159809.554322233,4762.094935573646,0.0,0,1.0,0.0,20187,0,20187,1.4530143161440532,0.7505610945475848,98.54698568385595,0.7505610945475847,20187,100
