,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
cjhbpqqlrh4pxgwbqq3thepnucgfml3k,py-petsc4py,3.15.4,0,SUCCESS,Not Scheduled,cjhbpqqlrh4pxgwbqq3thepnucgfml3k,cccte7zmouyy6jp5vpqxf5ziyns52jpo,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/cjhbpqqlrh4pxgwbqq3thepnucgfml3k.yaml,"['dd4xgsz5yzw5cs7bpat5ar6xqpf557hw', 'qlaquirc6h62cxbxjyw3vnp62iaqzffm', 'rvbpqwg34jdokug7spbzmvhndcwpjqf6', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
ewpmjd3odqv55lte7mqlnhxizsbltjld,py-petsc4py,3.15.5,0,SUCCESS,Not Scheduled,ewpmjd3odqv55lte7mqlnhxizsbltjld,iyrb4kubnr7kamjijdjvd3ovzoviqqxl,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/ewpmjd3odqv55lte7mqlnhxizsbltjld.yaml,"['5m2wpy5wgzc5opnynqiavwtujbcujqil', 'dh6uwouysquyt6id5co6ts3jvmglkwts', 'pso3fchakx5yyag6dxt3ftrvr2lkyy3b', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
ic2zsll5hn7xdvsldbclfrve2vxpqjqg,py-petsc4py,3.15.5,0,SUCCESS,Not Scheduled,ic2zsll5hn7xdvsldbclfrve2vxpqjqg,t3r3v7lrqmqq232ohbv3cp2tuutm5ghz,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/ic2zsll5hn7xdvsldbclfrve2vxpqjqg.yaml,"['eldcdmdsvwoxn2qw2qmamtojlnz7tiv5', 'qlaquirc6h62cxbxjyw3vnp62iaqzffm', 'rn7oc3a2eahsmubqaxtj42keudyxy6ug', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
iwyckaixjvrdp3xbbvhhvubcg355j3b6,py-petsc4py,3.15.2,0,SUCCESS,Not Scheduled,iwyckaixjvrdp3xbbvhhvubcg355j3b6,sl5kqyqvmga3gtc3ojz5bzfgtbppk6pi,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/iwyckaixjvrdp3xbbvhhvubcg355j3b6.yaml,"['5m2wpy5wgzc5opnynqiavwtujbcujqil', 'qlaquirc6h62cxbxjyw3vnp62iaqzffm', '2ohl3ikcspj2yrwam4iby5vqsahneiud', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
qmbksvf7dwbrncyx7mwziqj76p4ojepy,py-petsc4py,3.15.5,0,SUCCESS,Not Scheduled,qmbksvf7dwbrncyx7mwziqj76p4ojepy,bnsek4oppi4xap2j5mqtos54ir5smmgk,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/qmbksvf7dwbrncyx7mwziqj76p4ojepy.yaml,"['qarnjrgoe4qy4osopaeimymklhwapm5t', 'qlaquirc6h62cxbxjyw3vnp62iaqzffm', 'u3zvlfzpsylyfynczdpx5nxurzvjqp7s', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
quy7u4dfasnpjz7u7z3tlisiph3mym4z,py-petsc4py,3.14.1,0,SUCCESS,Not Scheduled,quy7u4dfasnpjz7u7z3tlisiph3mym4z,eobon52dirmtrxfecpvstgpojdu53uq2,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/quy7u4dfasnpjz7u7z3tlisiph3mym4z.yaml,"['kksceahb6kbrc5f3qflni6uqhwggmm2d', 'dh6uwouysquyt6id5co6ts3jvmglkwts', 'jmea3a6mr3lgbceyhauhhyprz3bpxdxz', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
w3stk77jhwpoar4vcvsa6zjiojxkndx6,py-petsc4py,3.15.1,0,SUCCESS,Not Scheduled,w3stk77jhwpoar4vcvsa6zjiojxkndx6,q34zl3dzn7dnponax7jrlg46oxuhjzac,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/py-petsc4py/specs/w3stk77jhwpoar4vcvsa6zjiojxkndx6.yaml,"['dd4xgsz5yzw5cs7bpat5ar6xqpf557hw', 'qlaquirc6h62cxbxjyw3vnp62iaqzffm', '6xwaxij5oslbguj26ud7arno5yby5ttf', 'hvw5lkfsqxxrx46rb5v25dhaf5ka2lmo', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6']"
