,experiment,total_additional_runtime_seconds,total_additional_cost,unmatched_percent,unmatched_count,build_success_mean,build_success_std,points_scored_correct,points_scored_incorrect,points_scored_possible,matched_clusters_per_job_mean,matched_clusters_per_job_std,mismatched_clusters_per_job_mean,mismatched_clusters_per_job_std,total_jobs,total_clusters
0,none,15614623.191156214,10705.49492279967,0.0,0,0.06144456391120106,0.24014397655773795,1943,29679,31622,100.0,0.0,0.0,0.0,31622,100
1,arch-subsystem,15721780.02658453,10768.145213646547,0.0,0,0.4761558408702802,0.49943113246512433,15057,16565,31622,13.18208841945481,3.1154880402510847,86.81791158054519,3.1154880402510843,31622,100
2,compiler-subsystem,15413377.717994545,10888.530311951234,0.0,0,0.11798747707292391,0.3225932924393968,3731,27891,31622,54.20245398773006,2.7091291001005664,45.79754601226994,2.7091291001005664,31622,100
3,compiler-version-subsystem,14561787.87352135,10101.33701841029,0.0,0,0.08854594902283221,0.2840872470465336,2800,28822,31622,10.286256403769528,3.8438663546037657,89.71374359623047,3.8438663546037657,31622,100
4,memory-subsystem,16385514.514184065,12706.890330441927,3.162355322244007e-05,1,0.0646722115050125,0.24594657258043548,2045,29576,31621,94.20953766365189,12.715027515434421,5.790462336348112,12.715027515434421,31622,100
5,arch,15639347.419697419,10833.900634936812,0.0,0,0.4776105243185124,0.4994984598361722,15103,16519,31622,13.18208841945481,3.1154880402510847,86.81791158054519,3.1154880402510843,31622,100
6,arch-compiler,15499848.658501687,11058.50289257926,0.0,0,0.784928214534185,0.41087213651251825,24821,6801,31622,7.833944722028967,2.35637358698004,92.16605527797103,2.35637358698004,31622,100
7,arch-compiler-compiler-version,10852371.075389458,6065.273554159507,0.31316804756182404,9903,1.0,0.0,21719,0,21719,1.004680285876921,0.9159081366649172,98.99531971412308,0.9159081366649172,31622,100
8,arch-compiler-compiler-version-memory,8159809.5543223005,5330.663027593546,0.07053731755605691,1532,1.0,0.0,20187,0,20187,1.350522583912703,0.8136477894042831,98.6494774160873,0.8136477894042831,21719,100
9,constraint-with-replacement,8159809.554322233,4762.094935573646,0.0,0,1.0,0.0,20187,0,20187,1.4530143161440532,0.7505610945475848,98.54698568385595,0.7505610945475847,20187,100
10,constraint-without-replacement,8159809.554322233,4762.094935573646,0.0,0,1.0,0.0,20187,0,20187,1.4530143161440532,0.7505610945475848,98.54698568385595,0.7505610945475847,20187,100
