,jobid,unmatched_at,total_subsystems,max_percent_matched
0,391788,2,3,0.6666666666666666
1,391789,2,3,0.6666666666666666
2,391790,2,3,0.6666666666666666
3,391791,2,3,0.6666666666666666
4,391792,2,3,0.6666666666666666
5,391794,2,3,0.6666666666666666
6,391795,2,3,0.6666666666666666
7,391796,2,3,0.6666666666666666
8,391797,2,3,0.6666666666666666
9,391798,2,3,0.6666666666666666
10,391884,2,3,0.6666666666666666
11,391893,3,3,1.0
12,391897,3,3,1.0
13,391901,3,3,1.0
14,391936,2,3,0.6666666666666666
15,391974,2,3,0.6666666666666666
16,391975,2,3,0.6666666666666666
17,391977,2,3,0.6666666666666666
18,391979,2,3,0.6666666666666666
19,391980,2,3,0.6666666666666666
20,391981,2,3,0.6666666666666666
21,391983,3,3,1.0
22,391995,3,3,1.0
23,391998,3,3,1.0
24,392004,2,3,0.6666666666666666
25,392006,2,3,0.6666666666666666
26,392008,2,3,0.6666666666666666
27,392013,2,3,0.6666666666666666
28,392014,2,3,0.6666666666666666
29,392018,2,3,0.6666666666666666
30,392019,2,3,0.6666666666666666
31,392021,2,3,0.6666666666666666
32,392022,2,3,0.6666666666666666
33,392023,2,3,0.6666666666666666
34,392025,2,3,0.6666666666666666
35,392027,2,3,0.6666666666666666
36,392028,2,3,0.6666666666666666
37,392031,2,3,0.6666666666666666
38,392032,2,3,0.6666666666666666
39,392082,2,3,0.6666666666666666
40,392083,2,3,0.6666666666666666
41,392087,2,3,0.6666666666666666
42,392088,2,3,0.6666666666666666
43,392089,2,3,0.6666666666666666
44,392091,2,3,0.6666666666666666
45,392093,2,3,0.6666666666666666
46,392096,2,3,0.6666666666666666
47,392097,2,3,0.6666666666666666
48,392100,2,3,0.6666666666666666
49,392101,2,3,0.6666666666666666
50,392102,2,3,0.6666666666666666
51,392103,2,3,0.6666666666666666
52,392108,2,3,0.6666666666666666
53,392109,2,3,0.6666666666666666
54,392110,2,3,0.6666666666666666
55,392126,3,3,1.0
56,392130,3,3,1.0
57,392198,2,3,0.6666666666666666
58,392199,2,3,0.6666666666666666
59,392201,2,3,0.6666666666666666
60,392204,2,3,0.6666666666666666
61,392206,2,3,0.6666666666666666
62,392209,2,3,0.6666666666666666
63,392211,2,3,0.6666666666666666
64,392220,2,3,0.6666666666666666
65,392222,2,3,0.6666666666666666
66,392224,2,3,0.6666666666666666
67,392225,2,3,0.6666666666666666
68,392226,2,3,0.6666666666666666
69,392227,2,3,0.6666666666666666
70,392230,2,3,0.6666666666666666
71,392234,2,3,0.6666666666666666
72,392235,2,3,0.6666666666666666
73,392236,2,3,0.6666666666666666
74,392237,2,3,0.6666666666666666
75,392241,2,3,0.6666666666666666
76,392244,2,3,0.6666666666666666
77,392245,2,3,0.6666666666666666
78,392250,2,3,0.6666666666666666
79,392275,2,3,0.6666666666666666
80,392338,3,3,1.0
81,392385,3,3,1.0
82,392431,2,3,0.6666666666666666
83,392433,2,3,0.6666666666666666
84,392437,3,3,1.0
85,392451,3,3,1.0
86,392453,2,3,0.6666666666666666
87,392456,2,3,0.6666666666666666
88,392459,3,3,1.0
89,392460,2,3,0.6666666666666666
90,392463,3,3,1.0
91,392470,3,3,1.0
92,392476,3,3,1.0
93,392481,3,3,1.0
94,392484,2,3,0.6666666666666666
95,392485,2,3,0.6666666666666666
96,392488,2,3,0.6666666666666666
97,392495,3,3,1.0
98,392496,3,3,1.0
99,392500,3,3,1.0
100,392501,3,3,1.0
101,392502,2,3,0.6666666666666666
102,392503,2,3,0.6666666666666666
103,392504,2,3,0.6666666666666666
104,392506,2,3,0.6666666666666666
105,392507,2,3,0.6666666666666666
106,392508,2,3,0.6666666666666666
107,392511,2,3,0.6666666666666666
108,392512,2,3,0.6666666666666666
109,392513,2,3,0.6666666666666666
110,392516,2,3,0.6666666666666666
111,392520,3,3,1.0
112,392529,2,3,0.6666666666666666
113,392531,2,3,0.6666666666666666
114,392532,2,3,0.6666666666666666
115,392533,2,3,0.6666666666666666
116,392537,2,3,0.6666666666666666
117,392538,2,3,0.6666666666666666
118,392540,2,3,0.6666666666666666
119,392541,2,3,0.6666666666666666
120,392548,3,3,1.0
121,392552,3,3,1.0
122,392553,3,3,1.0
123,392555,3,3,1.0
124,392561,3,3,1.0
125,392562,3,3,1.0
126,392566,3,3,1.0
127,392574,3,3,1.0
128,392576,3,3,1.0
129,392578,2,3,0.6666666666666666
130,392579,2,3,0.6666666666666666
131,392580,2,3,0.6666666666666666
132,392581,2,3,0.6666666666666666
133,392583,2,3,0.6666666666666666
134,392584,2,3,0.6666666666666666
135,392585,2,3,0.6666666666666666
136,392586,2,3,0.6666666666666666
137,392587,2,3,0.6666666666666666
138,392588,2,3,0.6666666666666666
139,392590,2,3,0.6666666666666666
140,392591,2,3,0.6666666666666666
141,392593,2,3,0.6666666666666666
142,392594,2,3,0.6666666666666666
143,392595,2,3,0.6666666666666666
144,392598,2,3,0.6666666666666666
145,392599,2,3,0.6666666666666666
146,392600,2,3,0.6666666666666666
147,392601,2,3,0.6666666666666666
148,392602,2,3,0.6666666666666666
149,392603,2,3,0.6666666666666666
150,392605,2,3,0.6666666666666666
151,392607,2,3,0.6666666666666666
152,392609,2,3,0.6666666666666666
153,392611,2,3,0.6666666666666666
154,392616,2,3,0.6666666666666666
155,392620,2,3,0.6666666666666666
156,392621,2,3,0.6666666666666666
157,392622,2,3,0.6666666666666666
158,392624,2,3,0.6666666666666666
159,392625,2,3,0.6666666666666666
160,392627,2,3,0.6666666666666666
161,392629,2,3,0.6666666666666666
162,392631,2,3,0.6666666666666666
163,392633,2,3,0.6666666666666666
164,392634,2,3,0.6666666666666666
165,392636,2,3,0.6666666666666666
166,392637,2,3,0.6666666666666666
167,392638,2,3,0.6666666666666666
168,392642,2,3,0.6666666666666666
169,392645,2,3,0.6666666666666666
170,392646,2,3,0.6666666666666666
171,392647,2,3,0.6666666666666666
172,392649,2,3,0.6666666666666666
173,392659,2,3,0.6666666666666666
174,392660,2,3,0.6666666666666666
175,392662,2,3,0.6666666666666666
176,392667,2,3,0.6666666666666666
177,392668,2,3,0.6666666666666666
178,392670,2,3,0.6666666666666666
179,392679,3,3,1.0
180,392681,2,3,0.6666666666666666
181,392682,3,3,1.0
182,392683,2,3,0.6666666666666666
183,392684,3,3,1.0
184,392685,3,3,1.0
185,392686,3,3,1.0
186,392687,3,3,1.0
187,392688,3,3,1.0
188,392689,2,3,0.6666666666666666
189,392707,2,3,0.6666666666666666
190,392708,2,3,0.6666666666666666
191,392710,2,3,0.6666666666666666
192,392711,2,3,0.6666666666666666
193,392715,3,3,1.0
194,392716,3,3,1.0
195,392717,3,3,1.0
196,392718,3,3,1.0
197,392719,3,3,1.0
198,392720,3,3,1.0
199,392721,3,3,1.0
200,392722,3,3,1.0
201,392723,3,3,1.0
202,392725,3,3,1.0
203,392726,3,3,1.0
204,392727,3,3,1.0
205,392728,3,3,1.0
206,392729,3,3,1.0
207,392730,3,3,1.0
208,392731,3,3,1.0
209,392732,3,3,1.0
210,392735,2,3,0.6666666666666666
211,392736,2,3,0.6666666666666666
212,392738,2,3,0.6666666666666666
213,392759,2,3,0.6666666666666666
214,392765,2,3,0.6666666666666666
215,392769,2,3,0.6666666666666666
216,392770,2,3,0.6666666666666666
217,392771,2,3,0.6666666666666666
218,392774,2,3,0.6666666666666666
219,392776,2,3,0.6666666666666666
220,392777,2,3,0.6666666666666666
221,392778,2,3,0.6666666666666666
222,392779,2,3,0.6666666666666666
223,392781,2,3,0.6666666666666666
224,392791,2,3,0.6666666666666666
225,392797,2,3,0.6666666666666666
226,392802,2,3,0.6666666666666666
227,392808,2,3,0.6666666666666666
228,392810,2,3,0.6666666666666666
229,392811,2,3,0.6666666666666666
230,392815,2,3,0.6666666666666666
231,392816,2,3,0.6666666666666666
232,392824,2,3,0.6666666666666666
233,392828,2,3,0.6666666666666666
234,392842,2,3,0.6666666666666666
235,392844,2,3,0.6666666666666666
236,392845,2,3,0.6666666666666666
237,392848,2,3,0.6666666666666666
238,392851,2,3,0.6666666666666666
239,392852,2,3,0.6666666666666666
240,392856,2,3,0.6666666666666666
241,392858,2,3,0.6666666666666666
242,392862,2,3,0.6666666666666666
243,392865,2,3,0.6666666666666666
244,392870,2,3,0.6666666666666666
245,392874,2,3,0.6666666666666666
246,392875,2,3,0.6666666666666666
247,392876,2,3,0.6666666666666666
248,392879,2,3,0.6666666666666666
249,392880,2,3,0.6666666666666666
250,392882,2,3,0.6666666666666666
251,392886,2,3,0.6666666666666666
252,392889,2,3,0.6666666666666666
253,392892,3,3,1.0
254,392893,3,3,1.0
255,392894,2,3,0.6666666666666666
256,392898,2,3,0.6666666666666666
257,392899,2,3,0.6666666666666666
258,392900,2,3,0.6666666666666666
259,392901,2,3,0.6666666666666666
260,392902,2,3,0.6666666666666666
261,392903,2,3,0.6666666666666666
262,392904,3,3,1.0
263,392905,3,3,1.0
264,392906,2,3,0.6666666666666666
265,392911,3,3,1.0
266,392914,2,3,0.6666666666666666
267,392916,3,3,1.0
268,392918,3,3,1.0
269,392922,3,3,1.0
270,392931,3,3,1.0
271,392932,3,3,1.0
272,392934,2,3,0.6666666666666666
273,392936,2,3,0.6666666666666666
274,392937,2,3,0.6666666666666666
275,392938,2,3,0.6666666666666666
276,392949,3,3,1.0
277,392950,3,3,1.0
278,392951,3,3,1.0
279,392953,2,3,0.6666666666666666
280,392955,3,3,1.0
281,392956,3,3,1.0
282,392957,3,3,1.0
283,392965,3,3,1.0
284,392979,2,3,0.6666666666666666
285,392984,2,3,0.6666666666666666
286,393008,2,3,0.6666666666666666
287,393009,2,3,0.6666666666666666
288,393010,2,3,0.6666666666666666
289,393016,2,3,0.6666666666666666
290,393031,3,3,1.0
291,393074,2,3,0.6666666666666666
292,393075,2,3,0.6666666666666666
293,393077,2,3,0.6666666666666666
294,393079,3,3,1.0
295,393086,3,3,1.0
296,393088,3,3,1.0
297,393089,3,3,1.0
298,393091,2,3,0.6666666666666666
299,393094,2,3,0.6666666666666666
300,393124,3,3,1.0
301,393131,2,3,0.6666666666666666
302,393137,2,3,0.6666666666666666
303,393138,2,3,0.6666666666666666
304,393140,2,3,0.6666666666666666
305,393141,2,3,0.6666666666666666
306,393144,2,3,0.6666666666666666
307,393145,2,3,0.6666666666666666
308,393147,2,3,0.6666666666666666
309,393148,2,3,0.6666666666666666
310,393149,2,3,0.6666666666666666
311,393150,2,3,0.6666666666666666
312,393151,2,3,0.6666666666666666
313,393152,2,3,0.6666666666666666
314,393187,2,3,0.6666666666666666
315,393198,2,3,0.6666666666666666
316,393228,2,3,0.6666666666666666
317,393229,2,3,0.6666666666666666
318,393230,2,3,0.6666666666666666
319,393231,2,3,0.6666666666666666
320,393232,2,3,0.6666666666666666
321,393234,2,3,0.6666666666666666
322,393238,2,3,0.6666666666666666
323,393239,2,3,0.6666666666666666
324,393240,2,3,0.6666666666666666
325,393244,2,3,0.6666666666666666
326,393259,2,3,0.6666666666666666
327,393268,2,3,0.6666666666666666
328,393271,2,3,0.6666666666666666
329,393274,2,3,0.6666666666666666
330,393275,2,3,0.6666666666666666
331,393276,2,3,0.6666666666666666
332,393277,2,3,0.6666666666666666
333,393278,2,3,0.6666666666666666
334,393279,2,3,0.6666666666666666
335,393280,2,3,0.6666666666666666
336,393283,2,3,0.6666666666666666
337,393284,2,3,0.6666666666666666
338,393285,2,3,0.6666666666666666
339,393287,2,3,0.6666666666666666
340,393288,2,3,0.6666666666666666
341,393289,2,3,0.6666666666666666
342,393290,2,3,0.6666666666666666
343,393291,2,3,0.6666666666666666
344,393292,2,3,0.6666666666666666
345,393293,2,3,0.6666666666666666
346,393295,2,3,0.6666666666666666
347,393296,2,3,0.6666666666666666
348,393299,2,3,0.6666666666666666
349,393300,2,3,0.6666666666666666
350,393301,2,3,0.6666666666666666
351,393302,2,3,0.6666666666666666
352,393303,2,3,0.6666666666666666
353,393304,2,3,0.6666666666666666
354,393305,2,3,0.6666666666666666
355,393376,2,3,0.6666666666666666
356,393377,2,3,0.6666666666666666
357,393378,2,3,0.6666666666666666
358,393381,2,3,0.6666666666666666
359,393384,2,3,0.6666666666666666
360,393386,2,3,0.6666666666666666
361,393387,2,3,0.6666666666666666
362,393389,2,3,0.6666666666666666
363,393395,2,3,0.6666666666666666
364,393398,2,3,0.6666666666666666
365,393448,3,3,1.0
366,393451,3,3,1.0
367,393458,3,3,1.0
368,393466,2,3,0.6666666666666666
369,393474,2,3,0.6666666666666666
370,393479,2,3,0.6666666666666666
