,libxkbcommon-version,fontconfig-version,libxrender-version,double-conversion-version,qt-version,libmng-version,glib-version,pcre2-version,libjpeg-turbo-version,libsm-version,harfbuzz-version,libx11-version
5rxntcepzdhjqiwu7365s65v2i2etgvg,2.0,3.0,0.0,1.0,9.0,1.0,4.0,1.0,5.0,0.0,4.0,0.0
goceexbc34ath2opmz5wie2fst3ir7ch,2.0,3.0,1.0,6.0,9.0,0.0,6.0,3.0,1.0,0.0,3.0,1.0
hnzsb2v4xa3k46u4bcviuilbzarlzdnj,2.0,2.0,1.0,1.0,9.0,1.0,5.0,1.0,2.0,1.0,5.0,0.0
p2hpfkmb7dp4pvo4s3g6ff4iucuik7kq,2.0,2.0,0.0,0.0,8.0,0.0,10.0,1.0,3.0,0.0,5.0,1.0
simz7drhjkejcczkwwqkev5qjnw3rzpp,2.0,3.0,1.0,6.0,11.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0
u5zu7fhe47xbffy5ne6oph2gr5dij5tt,2.0,3.0,0.0,1.0,9.0,1.0,5.0,3.0,2.0,1.0,5.0,1.0
4iqogspumau5vjgmrc7hvpk6ptvr43u3,2.0,2.0,0.0,1.0,5.0,1.0,8.0,0.0,5.0,0.0,2.0,0.0
4nnogjifsedbtps64ygu3jumvy77ww7z,0.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0
7bfpwymfbaukqpg6nnuh3nkca4pg2wg5,2.0,3.0,0.0,1.0,10.0,1.0,3.0,1.0,4.0,1.0,5.0,0.0
axh6r3rqdlxju2jqfgifoesjx6ej6twi,0.0,1.0,0.0,0.0,6.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0
d6nsozvcqfmbekkfv34jr2ac2xxmis6u,0.0,1.0,0.0,4.0,7.0,0.0,6.0,3.0,0.0,0.0,4.0,1.0
e5flk6acdsx4fonnzff2whkkdtpp7mqp,2.0,1.0,0.0,2.0,7.0,0.0,7.0,3.0,4.0,1.0,1.0,0.0
f2ivvmzyhfcdws2kjmkid6ohs5bzho4c,1.0,3.0,0.0,4.0,3.0,0.0,6.0,3.0,4.0,1.0,4.0,0.0
k3zrks2uhuw5u3zkqedtzdvmu222msg3,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0
l5uf64cdurui5nbanhzvcq2uin3e2w42,2.0,0.0,1.0,4.0,3.0,1.0,9.0,3.0,5.0,1.0,1.0,1.0
naq4a527rjadzj5koujf4w7nflwfrejt,1.0,0.0,0.0,4.0,5.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
obnyvdj3zflwwytq7faqngxoxh772wvr,1.0,3.0,0.0,0.0,6.0,0.0,8.0,0.0,3.0,1.0,2.0,1.0
pw6ap5cmyawivx2geyxd2nt3vuudhovj,0.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,4.0,1.0,2.0,0.0
rhebnj47ht3awy5ckwqxgetefumhhc7g,1.0,0.0,1.0,5.0,6.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0
trena3drkga7lyuywmmhqrutxuq3pfkv,0.0,0.0,0.0,1.0,4.0,0.0,5.0,3.0,4.0,0.0,0.0,1.0
v5aymnstvx5oh7s2isjqdg5a6mfnj5v2,1.0,1.0,0.0,5.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0
vuhs7cu3flm5wjosnv3gviulmttsdx7c,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
wnljodwkrc7sbwle6ksqncdh6xzjbowd,0.0,1.0,1.0,3.0,9.0,1.0,6.0,2.0,2.0,0.0,1.0,0.0
x6nhllsxvyt5d4mapxmr2mxi4hl7cwdo,2.0,2.0,0.0,4.0,7.0,0.0,9.0,0.0,2.0,0.0,3.0,0.0
z4no54eq7kxrfu6vrigjnimc5bblezrn,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
