,python-version,gdbm-version,ninja-version
afugp2gui5o5preiag7ruvnezj2gsqaf,25.0,0.0,0.0
anzwg62e5cn63qehatp7l5iel5kekavy,13.0,1.0,1.0
aoi44kwe3d7675mjws5atnbuqzvuocwg,15.0,1.0,4.0
avyvd4unncfdbdv4ekufibzjmc53yitm,24.0,0.0,5.0
axwtbjwibzq45d4ggbnvkcnfj7rvhblh,27.0,0.0,5.0
aznivf4jvsourbr4e3gcy2yntnkeltrq,3.0,1.0,4.0
b2awhlmej6kno6575y2s2rssfyyzaupf,38.0,0.0,6.0
b2prtusbs4flc7de3prebzshz4yma2qt,64.0,0.0,5.0
b4cqyx335fvrt47faee7iaxdc632hcf2,52.0,0.0,1.0
b6y5fmapdihp57ma7oqeadnfsnryygpu,0.0,1.0,8.0
badpicnv6mnrpy74w5y7hdrs6v6ft236,48.0,0.0,0.0
bdtsergflweie6beo747i42dp27nj55u,33.0,0.0,5.0
bdwdz4loihkxqfxu3ebv3qd4hypz7yji,66.0,0.0,6.0
bf4v6oe22lf32wqhwubc5vg6ideozx5n,68.0,0.0,3.0
bifbtbwtuwtimu2mclyfin6vt63b6o7g,0.0,1.0,3.0
bm7i6nbwbule3mti3jpzkziif3lumgv6,17.0,1.0,6.0
bnwzz6dhwdjj2lhvox47vntk4ghkwckr,68.0,0.0,0.0
bqidm3vlfgadgpybh5s3vsz3cihljbju,58.0,0.0,0.0
bqkwgw2dccmh3prnjpvazah2bjiao4jo,6.0,0.0,6.0
br3fyivqknshx4hl4a6jzci7ldthkfob,30.0,0.0,2.0
bri57mkxlfrv47r64byovqrfnjayaxkc,69.0,0.0,3.0
bsuepe2axx3appupvce47puhteij7gm5,29.0,0.0,8.0
bva47htdfjdr3bbtwdlvvdtyr3qrusqx,65.0,0.0,7.0
bvns6xb5ldok6jfmew3iehvpnug7xcps,59.0,0.0,6.0
bwpd726maizjktodgsqjdze3smxyyp6x,52.0,0.0,2.0
c2bt6umtanb7wxjcp5bkk7thuvtj6xjg,58.0,0.0,3.0
c2jb4szz5skbzeeqn5yn2uwqnobsnfzi,14.0,1.0,7.0
c2lggssr5uoqh2wyuv62cb2dibxenes2,65.0,0.0,3.0
c3illn5dqc6jjeug6di2uxokl7nw2dlz,40.0,0.0,0.0
c3isxxqz7s4gf2oiamtpxmaxcceafcde,36.0,0.0,1.0
c4hd44bp7nusmiotkg5m4amanwmmydcp,29.0,0.0,4.0
calidudhbuzhs2pnbinvofila5vbefbr,32.0,0.0,7.0
caudzwrytpe5yfaravh3hjxue52tarjm,55.0,0.0,5.0
cd4n6e3jrqfvqqtcl2qztjsyfaieh4dy,17.0,1.0,2.0
cf4uieur5qkqlynn7wrja3epoiio5va7,7.0,0.0,7.0
cfbu6mx4a3w7gxfgpvhwnsg3qmchjlzh,64.0,0.0,2.0
cftmgkrw2zn2xaboyaebjyluw7d5nonl,38.0,0.0,7.0
cgjoowbtpaaiz4remyh3ts43ti2kah4f,12.0,1.0,5.0
ckxwhtdmrdnvpmolthfj5pvaukasbu5l,14.0,1.0,4.0
cleyqrxgm6pm6eo6on6wqo2ahhybnssj,48.0,0.0,6.0
cllshvrms4ab52ckmoqlmwiltequxeaa,43.0,0.0,3.0
cnm7ymlnd7g53ulj2ufdrnsfd66hswkj,0.0,1.0,5.0
cp2xe6vmwdyp364e4ebuzhwf7sadhwec,40.0,0.0,3.0
cp5eeynjqn5autnxzrasz7wmdthkr4rq,42.0,0.0,5.0
cq26g3utfepk2dn2rol7qejbm4gva3v7,46.0,0.0,6.0
cre5va2fkjz7aendvukiqz5hyeg3eeod,61.0,0.0,0.0
ctmypxanlgyxglsmcxesdh7fscx4tay3,49.0,0.0,3.0
ctu4ga4ju4z6dnltlserdkburjz5ynah,54.0,0.0,1.0
cvgdmjjs7mzmqmwrw2p2esmkb2dyom5c,4.0,0.0,0.0
cyd2hdyvbio6xxr5zgz5fxhpsynujjww,72.0,0.0,5.0
cyrclalsg6djrjavtceofo3dlypdvqhl,70.0,0.0,8.0
d54mukqsz27py5g44vi7qrvo7r5kfjz2,57.0,0.0,5.0
d63ho4ympmrbbm6zfpwmuyvalzdkvikn,7.0,0.0,3.0
d6ohyy6nunzaqw2gbrluwzy6trgn475a,12.0,1.0,3.0
dcewk2uy4xhseojaczjxgfh46uojptkb,52.0,0.0,8.0
dfjvkxpdkbkh7lbi2eo5657vdyurquae,23.0,0.0,0.0
di5ntl74opogts5525zfqrtpvtcni2r5,58.0,0.0,1.0
dko2dw5fbkeht7iqxu6gweunv3kwpq2m,55.0,0.0,7.0
dmln4jjwsnrga2ejvnxun6q2k6y3ngz6,64.0,0.0,3.0
dqfq3nivqctlykelvi2igyxay4bxyq3z,54.0,0.0,0.0
dtuoduzk5rvikcl6px77kxkcwmn26atf,49.0,0.0,8.0
dx3ezfezn3xhsweuyhlhlwagu6x5od2t,27.0,0.0,4.0
dxayqrxdqrg3vhkbkkzs3zl4m6utvkdz,52.0,0.0,0.0
dxggcnyhfnfys5nowqrqjxg5zfkntiyw,40.0,0.0,2.0
dxrffabypzttuzpux5qymx4qe3omwc2o,13.0,1.0,5.0
e4bjdcvasw64rcgxpdyjy355exa4qdem,48.0,0.0,2.0
e5bug26o7zvltonyqrqzqn4hertkrrcc,67.0,0.0,5.0
eb7z6lr4udv3pfk2dcswfr7flstk4nzd,38.0,0.0,2.0
ebrberng2i77g3ksfpglhxphfs36mgln,50.0,0.0,5.0
ecxhqbed3b3zbp35a3sgzftdemh72xjp,49.0,0.0,2.0
efakek3a4ienadky4ckwj55nssq2ycsn,34.0,0.0,6.0
efeipqfh4gooi7vqscctcv5jqr2y766v,62.0,0.0,5.0
ekmbxgxrtzwh444sv4fud5qvk3znwv56,30.0,0.0,3.0
eppoecy426dowjpxq5xkesyg37b56hys,39.0,0.0,7.0
eptbmrpljftqvhhrmducqjqegrextbif,49.0,0.0,1.0
erbynvy4nvanuzoyzvzn4luqafxli3yr,20.0,0.0,6.0
esjb2nlemz5oex7przupsmiuf4psrpbk,18.0,0.0,7.0
eskxcehiv5kl3cslj6vujfqvsucu3azt,68.0,0.0,1.0
etlsrliccj6qweggdttzrqgusrmptms3,29.0,0.0,3.0
etyxrbwuj7hmux6leuhhlrqkv37svc5x,53.0,0.0,0.0
evkqgqz3l7dnheaeg5gkic6t4uzq3rpf,54.0,0.0,7.0
f4p5gmobsylhcs42kjvxgcqgqhod2q3d,2.0,1.0,5.0
f7zawinqmeu6htetg5bwa24ylnjvaehr,59.0,0.0,7.0
fa5pdwh5n4gxosubozrcwizbnd5llxii,35.0,0.0,6.0
fbj6nquckpjowwvlgogfenbfspocujuy,23.0,0.0,8.0
fdhuixbj2gs5ipidxneibdwbibdp76xf,38.0,0.0,8.0
fdt5f6berhbldoydykaoyt6qs3bcnztm,19.0,1.0,4.0
fkkib25yro43cxubvznk5r36e62vnkly,50.0,0.0,4.0
fkvxyo3usjevb6e5msifshwplcfo2fy2,44.0,0.0,5.0
fkw23w5iizvoaeo5sqhsefah5rgcra5z,65.0,0.0,6.0
fkzluhrmehnomaq7677zeeokj55ppos7,33.0,0.0,7.0
flgcgaxr67cprtuchof7xodikjjxb6nm,63.0,0.0,4.0
fn7iipecexyjolepsszeydhwzhdz5n5q,12.0,1.0,8.0
ftroa7tavjowdo2urzzuzh7zchtjb6gy,18.0,0.0,0.0
fu3664muew37fgqwc72bgzqfustllh2l,0.0,1.0,7.0
fwiyybncrl6kvavl7l5dsyyazfnv5it2,16.0,1.0,4.0
fwmo3nll6kitkecnuzw5dknqjogbdkat,16.0,1.0,2.0
fwzz74dogyaeum5rhw2zg6odfrunvvf3,37.0,0.0,6.0
fz64yfopnup2hf7lupcvtjc66xeycytu,40.0,0.0,5.0
fzisc2uiu7dm2yu4esijoj5dxtc6tyo7,4.0,0.0,6.0
g2wyhhzcinzcrjnbu43aqrwbvi7i7xbd,44.0,0.0,0.0
g5knbsu4imzh7o7gtn2qb6wwcgppgn2t,42.0,0.0,6.0
ga2evt4kughqi7e2bcb74bch4tyvmot3,32.0,0.0,8.0
gaslyen76zburcpgwcnpan32ypa3bh3m,57.0,0.0,0.0
gbdooa6dttrdylbbkjpjwpzem52eievp,50.0,0.0,1.0
gbv5dkq25242srcx24j7hua2fnknvqyg,70.0,0.0,0.0
gda7zumebu3l3qb75hw2gytkkqis7xyd,27.0,0.0,1.0
gdb3yfjuliu6gr56mqy7xeg6lkxsdyq3,42.0,0.0,8.0
ggltexmm26vdujsbkzolaos4fprlbssw,58.0,0.0,8.0
gj2ng5cwmjoyzybwi3we2sypuikambz4,6.0,0.0,7.0
glmfxurskzj4b6jlkivozsir3k3rmcfh,24.0,0.0,6.0
gmrskkg2wly7arl7wwtrbt5lmwkyptip,48.0,0.0,4.0
gmulmjdbepkg4weblfqcqqjrktva42sb,17.0,1.0,3.0
grgopxi6bybybfodvxlaz6def6zlxi6l,56.0,0.0,5.0
gtgmg62ux4luekh7eb7cdhncwcbk4fcl,25.0,0.0,4.0
gu5gnvrnvlk7ikm7cxathqjluast2nqq,72.0,0.0,1.0
guougklj6g6vubs2nfwrx2s4nnuqjmy6,19.0,1.0,0.0
gxnl2a6ecmaddqbtlgkrpd3kzqxd7su3,19.0,1.0,1.0
h2sckc4tlgjpfokt5xvwyrmwvfol7ls7,46.0,0.0,8.0
h3xogh3tx57xokxu4xrfn7y7cw6zv7mk,16.0,1.0,8.0
h5ozobwtadzp5ae434xyenezw6jlrswu,52.0,0.0,6.0
h65t7nqtp4c25ltkrpuvzs2zaswnvkdw,60.0,0.0,4.0
h6driotzifkfhy2mv4kr2efwrilqrxbv,63.0,0.0,2.0
h6gk7obz3l5ypzs253fqcwmzjs2qjihh,7.0,0.0,1.0
haw2k6ctavoyu6dmpz672ytdldmdiozc,42.0,0.0,3.0
hdg5yminifvnklowp5bylgm7j2jjosbi,2.0,1.0,8.0
hdpq72wnwps5sqjrghkiqg7uj4ahinob,42.0,0.0,0.0
hgeiaieazmb4eogwdihcto6ln4ilbb7f,5.0,0.0,0.0
hgqgfvkf2yfidmwnerno4on3zzji3liv,65.0,0.0,1.0
hidgpjca4zdnc7d5pbz5oxhlx6xhzfu3,4.0,0.0,5.0
hm7maarum7bg3e3gd7rervayvzlj5www,62.0,0.0,7.0
hmunbijeh7x2sb7wkxf2haf2pqlidygu,72.0,0.0,3.0
hnpx54p37h3jft2jligps6ynqscoqu4h,70.0,0.0,5.0
hoq3si7ua42hw3gnudcfjfxim3m6nc37,32.0,0.0,5.0
hqlqxi5ahzg2dz4pfmno4zsxvipvj6ku,70.0,0.0,2.0
hqp32hshe4viopurawspdij4aqxqxf2o,32.0,0.0,3.0
hqqisg5qyhh4ihoaz6vk4pmtvy6vrm2c,1.0,1.0,2.0
hqw4z4byukk3xdmudhyimgufbtcvyvff,39.0,0.0,0.0
hsjl3jbyrdrymergypodlwgcomds5ygy,20.0,0.0,5.0
htsvp5h6pjdhduvjhbyxfuokcn56l4ic,50.0,0.0,6.0
huvzdoasd7pwel6q3dcuwoapseuauwre,47.0,0.0,3.0
hvs2nqvj3ltxbawpldwvrx5vordedmlq,21.0,0.0,7.0
hybbefnzr4eg2hwuxq6yvunpaertoobr,24.0,0.0,2.0
i2szm2kmtlw66wzzn4lejrawvp2cffme,44.0,0.0,1.0
i2ylxtwpics33un24wsyabptkk63wfl3,62.0,0.0,4.0
i35u35jog7wcdiyh4tbhssnitjyqbzaf,37.0,0.0,0.0
i3evs3hrk4kdlnwk2bobapcpjkhiuvyc,14.0,1.0,8.0
ibtmfz5iiidb2hox5go75z3sq66klzfl,13.0,1.0,2.0
ieke2intvvmlvyyuipt6ibji44ic5qmk,66.0,0.0,8.0
igfx4oydgg7rmlb6cykpzxjibp2gv76o,53.0,0.0,3.0
ii4ptvn67ik47npq655s3v2fq6do6a2o,51.0,0.0,1.0
iihs4ywu2ixwuodpkp3s6sawg5w4tvdr,41.0,0.0,5.0
ilqodzduve6y5pa4mp5xbhoydoqwknkj,51.0,0.0,0.0
ilsqeojw2mqs5qd3qokk45m3o44unrbc,30.0,0.0,7.0
iltnafog6cy7vs5m6352lj2fez7ulpj6,61.0,0.0,3.0
imvj3ugxsyfmxq4nrqqcy542y5r3elwb,63.0,0.0,0.0
ipi2ge2py5xsejgr3ma4tpngwy2wyoq3,8.0,0.0,6.0
iq3zn3na4tkbzovgvsi34m6hqlklb4jk,61.0,0.0,2.0
ir2rdgpeormntfafa6plctspycaheib4,69.0,0.0,2.0
ivescbfbu3ntmxgl27zdagycfemhfpn2,35.0,0.0,7.0
ivruzknvh5quhx6yslvwqx5avvoqgdts,37.0,0.0,4.0
iwlkp7wyl575o4sckh2cumkupvnpze3t,23.0,0.0,1.0
ixh5uv4zhp74x36fettlvgjifby3jpri,62.0,0.0,3.0
j2co2qtq77qjbqhxg3yd5glugti3bs6s,50.0,0.0,8.0
j3zfmfgkidecmdvxkhvnw3xipycslgzp,71.0,0.0,7.0
j4pu6gzjutuyplrexqwhynkweln73lxw,5.0,0.0,1.0
j4sl4riws5hnwennlm2wwiedjr55gpnu,57.0,0.0,3.0
j5nibrshkj77yslatiqotbqbdubnucfd,4.0,0.0,3.0
j643cqh5xrn5uge5zb4eesdd2axxnocm,14.0,1.0,6.0
j6km5rzwcixpbceuub5frixbfbnaao75,65.0,0.0,4.0
j6xenirrnkgbxfmd62qoee2lp5evbwwd,16.0,1.0,3.0
j7ly3tespucf5zc2cxuauzzvr2ams3gl,42.0,0.0,2.0
j7yhfwzza6l3dkvsyzzl6b3ylgcabagr,43.0,0.0,0.0
jcjy6ts6hzwltse34k7i22vilorasd45,55.0,0.0,3.0
jdla7qmasxq3asuttgkrjxerx5vmjhl5,62.0,0.0,0.0
jdnwnszuxacuecoumsjuxsgo5ft2jhz2,25.0,0.0,8.0
je6e52lvwj75dj3r2xvblqpq465ig65t,62.0,0.0,2.0
jeixgxafbtr5g6jev2nlz4u5fq7sirqw,5.0,0.0,8.0
jexgmkcxq52rtx4fp2f7tculc5x5astl,46.0,0.0,2.0
jfvxy6iq4gxq2wi7l5bcgdr3qi6bnssn,8.0,0.0,2.0
jg55k4xdzyvysbdyuha32m7k2qpna6h5,56.0,0.0,1.0
jgk5wg3hltg5biaxx6ncfzqc7imvb5t5,48.0,0.0,1.0
jh474ysm7m42t7z4shkz2vwywjhrtuwa,0.0,1.0,1.0
jhbsal4gweecl746advqvbd53eqf5dv7,45.0,0.0,7.0
jk2pribpi3co5oit57aiz2gxmdsfzf36,45.0,0.0,1.0
jmqqdfgyngsntl3hyrydap63acvj6pfw,60.0,0.0,5.0
jrcb2j2eo3axhylvdwknaf3j65bx4qvb,59.0,0.0,3.0
jsnk64slenjtrvqwqrfgywswijq4bzeu,14.0,1.0,0.0
jtdxu5tgz6ned544fcdgf62nj42fogb5,41.0,0.0,6.0
jucuxeac2p7rnaxiay5xkokqsdadxkir,9.0,1.0,5.0
jukcfvbec3oqvodidag37d2rjjymcrhf,51.0,0.0,8.0
jx4gt5nolb4qco22fekj2tsbguxkwnue,44.0,0.0,6.0
jytg4vdbtbnkyuzbyeem7xuwrrgevfei,16.0,1.0,5.0
k3wmdh55cuqjesfbjmmcbjsiv54xnryh,30.0,0.0,0.0
k4l4dz6utgke456onytkliegb2uqzokx,56.0,0.0,4.0
k4nvuoxb3ksgto3uz6sscli7ninxhium,53.0,0.0,8.0
k556qt2zcbn42t5p5zjrqdszrmrgqm4z,71.0,0.0,8.0
k6ggduzyzaaawyzimzvtsqemab2cxd26,13.0,1.0,0.0
kcvbllu63ojqvqxtgmfmj3fmretntzwq,1.0,1.0,3.0
kdaoojphyhw7nahyvxcpfwwfwiyn7o33,68.0,0.0,5.0
kdcifs3dkd2frjtfxgcxpgnqmiur625o,4.0,0.0,2.0
kdhusjo4ck7yz2ihmhktrzgloochteyl,28.0,0.0,7.0
ke6o6qqe2qtzav4jo4t4233vykd6xbdv,39.0,0.0,2.0
kfpjbaap3mkl5qj5h6vwpmw4eqorf7j6,4.0,0.0,4.0
kgxdefj5u7ysx4ti4ve7xno6tqzpoqcl,35.0,0.0,8.0
khkvs5wrtjwwio6cyaf2xpxzg3timhnw,71.0,0.0,5.0
kmgsx5cckmgfpjwnq2q2nlvtwd4bjbez,51.0,0.0,2.0
ko3zpxw3lfcxhucntlr2o742uoaoayxz,58.0,0.0,2.0
kodvu4g5h57yhaozvi7bevqgvawrgkwy,39.0,0.0,3.0
kpregt42ogvjzftannnaim7z4ukfabug,58.0,0.0,5.0
ks5gvmev3qxlcjlsmcvb4nejayba3kiw,37.0,0.0,2.0
kwaa7qazm5o7hn6j6w2gs7jdkoyyerjs,0.0,1.0,0.0
l24n6vu5ctlvc74ev4w3ezgxue6ycmgd,36.0,0.0,2.0
l2qn2m2mdwkmmhqctgxvmsc33vjvwr2o,66.0,0.0,1.0
ldyetjtpv3rkejktequjgkxraeytgra6,18.0,0.0,8.0
le3xj6ph6gk5wthqnd574znjvh63wmzm,25.0,0.0,3.0
libyxugu6jxi7czmnq63pnrcl7hfmujg,28.0,0.0,4.0
liucoc7yleddbh65yjqf4yhdzdwxfgvw,60.0,0.0,3.0
ljggcytetfriwppmz4vmo66ha7ayejxj,39.0,0.0,6.0
lko3sffltuqbnc4aoimhmfnmymrkytdu,3.0,1.0,1.0
lth2z5knvcg2ldpf6jyzhc6giufzxevw,57.0,0.0,4.0
m435t4bgsnjvwzxvc6yvcmobvxrqjml3,9.0,1.0,7.0
m4ic47lb4hbj7v365f222qkxg7xdecnc,1.0,1.0,0.0
m7cmlybro4tuzijrm5wpowute7oaznmn,22.0,0.0,0.0
mawirxqvnwhi55ltjzfbzg2qz6a2qzmv,67.0,0.0,6.0
mdtx4o6bwi346gou55cprlqqem6apurv,5.0,0.0,7.0
mgwxfvhzk4b7ltpguwpr67iooq56icub,8.0,0.0,8.0
mitpmm7uew7qr3rlgkdtbkpwzeqyef4h,37.0,0.0,3.0
mjpo35ryx2fj3eae4rz5p7cjaystoknw,20.0,0.0,3.0
mop32bugr5yh2ip5bmgmex2q3ekupnj4,64.0,0.0,1.0
mpjoz2bpdz6g2r4lsfuzggbwafavnkz7,35.0,0.0,4.0
mqxyibdpjn4dr5cbbleelb5aca2xdcom,42.0,0.0,1.0
ms2dsrn7ifawmrnywhuipcm2zig3qxys,34.0,0.0,5.0
mtddq2nt76rnupzc5h2ewufzsclmhnqf,40.0,0.0,7.0
mtio6ibpv4emtdpaergr2qtnhlaeehhj,32.0,0.0,6.0
mtqiklbr7jwpucwwl7ue5yvrvhgwh745,41.0,0.0,0.0
mvya5aazuqllw45dquitp7hmwihhkqkj,59.0,0.0,4.0
mwvjfolwlqerhpz4zmof4s26vjuub6yg,67.0,0.0,8.0
mxfdfl26d7ipz5salugdwxwufqdufnwf,54.0,0.0,3.0
n56o4yppbqh5zcb6mwl6kspyisrpoxqb,43.0,0.0,2.0
n5nwouuf4qp6kwbslgxcrzuqnje6xlqr,46.0,0.0,3.0
n66irs7jymoexzr6ldexolqcahpmvrcy,8.0,0.0,3.0
n7d656r3h6un2rbbwb25m7jio6hiqiul,2.0,1.0,6.0
necg33os2wavdap5k4v7teea3siyayo2,25.0,0.0,2.0
nitwp3z4lb3k7lb2zqi6b4ruwzadg2yp,23.0,0.0,4.0
nk3rmfarrz5d27xdvkyf7viurcgjpfbx,36.0,0.0,3.0
npjv32g5u2vs3rzjt6cwonqrm6w22xat,37.0,0.0,1.0
nx2rlt2tbsv4qrh5h3zeidius75ouiwm,18.0,0.0,3.0
o6u6zwoyon2u5hclddhtjzsni7nufdzr,60.0,0.0,1.0
oconqvrcykelfsqy2i65gd5xossigjvo,62.0,0.0,6.0
octlqvegrqrkcodvkzlgj57r7zkqcqj6,28.0,0.0,2.0
odw5xcq3lnxb6g5q3lxbszynh2ekv7gt,47.0,0.0,6.0
oewtndcwk2aqwbabkzb6jrdtivljdyjt,61.0,0.0,6.0
ofeajf5viarfdziiqaval4f6ia5m7tev,3.0,1.0,0.0
og5mws27huje6qv5g4zbn2k64loqbjih,72.0,0.0,7.0
okgycmivv222ywznvqac76gxj3j7bu4j,20.0,0.0,8.0
onqqodo7izzlduqn3qs4rcl6xxwlc3uc,15.0,1.0,0.0
oowp6uk3nclwxuft5s6n36mvba6wcvu4,24.0,0.0,0.0
or2abs6vro4hcvhtoq2oobhchjggtwl2,31.0,0.0,7.0
ovh44gpew52gneg456fwytfpku7elput,53.0,0.0,7.0
owfe4do4nqosh3um4s5sspu5ns4usdva,21.0,0.0,0.0
