,libtool-version,libzmq-version,libsodium-version,libfabric-version,automake-version,mpich-version
22b2aywx5nsd4nme5avhufcnv4akm4wi,2.4.6,4.3.4,1.0.18,1.6.2,1.14.1,3.2.1
24wfrxqsc4w33fhi5473sxqnhsxtgfmw,2.4.6,4.1.2,1.0.3,absent,1.13.4,3.1.3
2q2ywsqewda2vxp6pthz7obdojihslog,2.4.6,4.1.1,1.0.3,1.6.2,1.16.3,3.2
3m355zlqaukinkh5ilvu6tindz3h7igh,2.4.6,4.2.2,1.0.18,1.6.2,1.14.1,3.2
3sqtzwlfqc4u4fddtjnyvzgkujqvz5oq,develop,4.3.1,1.0.18,absent,1.13.4,3.1.1
4breihhu4yzwngtnjklk6u4zhxww6b7w,2.4.6,4.3.2,1.0.18,absent,1.14.1,3.1
4u72i3m3iloy53zayjj5rvz4icdb2zwv,2.4.6,4.0.5,1.0.3,absent,1.16.1,3.1
7rcdygpmgiz3cy42xukdtktkbulsvrl6,2.4.6,4.3.2,1.0.18,1.6.2,1.15.1,3.2
a4h6o3zeqghkhzifctl4zdsqfnddhoc4,2.4.6,4.3.2,1.0.18,1.14.0,1.13.4,3.3.2
bieq4ntfgbulth36h3dhoanwy2izaifp,2.4.6,4.3.2,1.0.18,absent,1.13.4,3.0.4
bnyibl5q42mq4g4nhsa2p376xctrpbgz,2.4.6,4.3.2,1.0.18,1.6.2,1.15,3.2
cuecrdhdftu37f7ldrfqzl6ar7gi53mu,develop,4.3.3,1.0.18,1.14.0,1.13.4,3.4.1
e2iz6wq4w4quc2nbngpl37pvc225lzjm,2.4.6,4.1.2,1.0.3,1.6.2,1.16.2,3.2
fk7wti6dwptkx523xgaujzml3bmholsc,2.4.6,4.0.6,1.0.3,1.6.2,1.15,3.2.1
gcvgh74ujscuutfc4txux6y777xg55zu,develop,4.3.1,1.0.18,1.14.0,1.13.4,3.4
gy5k4smr4q2diuib56hijaibrpjfhpgz,2.4.6,4.3.4,1.0.18,absent,1.16.1,3.1.2
h2m5cf3drbbjup7pj7y34tgtoyuclfjz,2.4.6,4.2.2,1.0.18,absent,1.16.1,3.1
