,automake-version,pcre-version,swig-version
gg6o2l2yflfk4fybqpxvlizclfknr6so,1.14.1,8.41,fortran
ggq6ycki5mumveqszfiw5dy3sgzgepx2,absent,8.40,3.0.11
gid5nfvcyhccaqd3dcmyaw4ywxnvqago,absent,8.42,2.0.2
givuune3ras52lp6w4paliitbn5jsgcx,1.15,8.40,master
gp7skp3k3fnftwxfkuw65rfasquvnsn7,1.16.2,8.43,4.0.2-fortran
h43bbxxunfaajairu4ehlkj7sl4kpfvt,absent,8.39,3.0.2
h7fq25tlet5tmt3lpq5yhjd5i47jdegq,absent,8.43,3.0.10
hb5rkhwapdg4dwpufxbo2czjc7puhz5p,1.16.2,8.38,4.0.2-fortran
hbiatmennnfa6xl76derllntwmg7dreu,1.15,8.40,4.0.2-fortran
hex32kh7boyyjx3y6jxdfhfgdmd2pwko,absent,8.40,4.0.2
hhjhjv6sppyvdjss4z52e2kscp3emufi,1.13.4,8.43,master
hicd6x5wnwmcynynwhfaproaq536wcic,1.15,8.38,master
hpmolcres6rcvjsbzqhoauig5xs7hsyq,1.13.4,8.43,4.0.2-fortran
htcrds6vwycl7ckgfndeh7e2acne6w4t,1.14.1,8.43,fortran
hvcn47tazdsyeisgzzkfdyqealt5hgzm,1.14.1,8.40,fortran
hw3hdgd7x5ouosqpcatvcpl4ote7mqzb,1.15,8.43,4.0.2-fortran
i5iahjtf6hmodsu4hmw74ecmo2z7kqk4,1.16.3,8.41,4.0.2-fortran
ibx6vele5uj3c2fxsuisqxhbjzerhsma,1.15.1,8.44,fortran
ili4r4wx65bw4avqrvrtmb4xucfehxom,absent,8.42,4.0.1
iopwiaejhhc3igh26x4fctfwratbper2,absent,8.38,2.0.12
ixpgeuwg7kyz34qkmmpgrzxnshvlayft,1.15.1,8.40,fortran
j5jvymmh5c5uqx2hca5tbm6p2l6yeldj,1.16.3,8.40,4.0.2-fortran
j6kozvduhk3353j4v4cs7m42zxh32rrn,absent,8.41,3.0.2
jc37fjjafxxo7b56vgm7lwspmchxon3s,absent,8.44,3.0.8
jvzc5heamgquppsgqsk6rwipqf7hl2i4,1.16.1,8.41,4.0.2-fortran
knjlfnrcudfemc3fgxm3qeqvaywjhtm4,absent,8.40,2.0.2
ktudrgtxrwnnxmweuws3wlfzkx3qboqa,1.16.2,8.44,master
kvjmewdx3dsuajcy6ofifmkw53pa2wig,1.14.1,8.44,master
l6eo5f57ktonxlvfj6turn44ezo7emzr,1.16.2,8.38,master
lnq47lttqcltltwwojblaaidq65uqbsl,absent,8.44,4.0.0
lzx6jkvikfioucfu7ech7ktwqtz73p3a,1.16.1,8.43,4.0.2-fortran
mlvxbuyv64eees2ivaanduyw7puwbxg3,absent,8.39,3.0.12
mtr3kgcejaz7ai4a3zb4yxaq3alkprhy,1.16.1,8.43,master
mwuydakcisvwstf7somfsqgmuvcbleis,1.16.3,8.40,fortran
n5dkzm6ut22nx63qtkhtzjzv37jiqfbe,1.16.3,8.38,fortran
n6bgan6eq76kozceankvjv7z3w7le74m,1.14.1,8.42,master
nh4uczdxkh5j637tyrl6f5jejd6gzo2x,absent,8.38,3.0.2
nn4d3oeg337q2fjpdet3qhmzlv5iildd,absent,8.41,3.0.11
nodpo3jtll2jmh7mjvnuis4dphxwrb5x,1.16.1,8.38,4.0.2-fortran
nrbtmiaizkjtxpljsul2z2eo4op2pf5u,absent,8.42,2.0.12
nuijfsn2d72ryy62hkpno2r5kvqtnxu2,1.13.4,8.40,master
o3qtb7d2ps5jef4ur4vpmlclmevlk42v,1.16.3,8.43,4.0.2-fortran
o4x5m4wqiwo3ozqegipuootp2l3hpjr6,1.15.1,8.43,master
o543ewctxc4c37o6qnxeuu5vaybedsdi,1.14.1,8.44,fortran
oa62dktndepk6s6wei5u3qfsutrwt7t3,1.14.1,8.44,4.0.2-fortran
odhzs2dgl5cvix6yn4hgit7cn4epjd5l,1.13.4,8.38,master
okqrit7i264ndepl4hzmsmpxgnvvdkkk,absent,8.43,4.0.0
onu765g3zi6hlpvgqbr2regn4wbdreqx,1.15.1,8.39,master
osi5hlqyedk2j4shiy24of3hjwoedoyi,1.15.1,8.39,4.0.2-fortran
pck6nxkvz6udvg3a2ts5dytu3bufotva,1.15,8.43,master
pdsnigz24rex4gmay4jixu2augwv27i5,absent,8.41,2.0.12
pil2sa4ljptbpkg7ag7iqgd32v4ewb65,1.15.1,8.42,4.0.2-fortran
pjdnd6bdxhbnu3yqfqds3zcorxydxavo,1.13.4,8.44,master
pkmrnmntxnweugagacrev65s2wcg7ajy,1.16.3,8.39,master
pzrjmzn7nbvrif27skdee3gqfiserodn,1.16.2,8.42,4.0.2-fortran
