,kokkos-kernels-version,cmake-version,kokkos-version
27ykunok3mru3trldh4lj4omrhnd35pp,1.0,32.0,4.0
2aa5s4qvp3lzkkk2vzlu67nx7rbczxvd,1.0,59.0,5.0
2bxrpgkqv3t4xtzcis3crxyrroh7tpdp,1.0,68.0,3.0
2cza33fwpnfleujneiss325p77otxpzj,2.0,34.0,3.0
2kouyyxsyestr6brdscbpc6j7dgd2qp3,0.0,13.0,0.0
2lklfpjyturgjtyas6fjvvdvcfoihi6u,3.0,41.0,5.0
2nu7yn3ls7sls4yywip7uge5wqq4m6qg,1.0,42.0,6.0
2pvn2lhlph3qfj5ocxmg6hlqekbg5vcl,3.0,25.0,4.0
32sj3ktmofzphpkbbdkvrh6ln4mi5zcc,4.0,48.0,7.0
344w6i4ltpwbgtr2bdhrdzm5cqw6jhvw,2.0,38.0,8.0
367uuzbqmfzvhlsddouqsj4goeagcnzp,1.0,76.0,8.0
36ns254quimb5upurbkslrs7j2qwncvt,3.0,67.0,7.0
3dyqzf5fwxvqt2urzp3sm3qxjdev4xsp,2.0,66.0,0.0
3h7moyjungxybss5me4bglduj2jthrri,2.0,70.0,8.0
3xdu3eqolwm5m2xofcrsm54a2lm5p7ks,3.0,75.0,7.0
6ulysqmvosdlfa6kmms74rigudhviecn,3.0,76.0,6.0
77uzrm6qwdhbnrpohzjnbetb3ug3t7cj,3.0,49.0,8.0
7m3qifnqa36kthu2kzicdg5qqewrnjem,1.0,63.0,2.0
7q3npwygt46pw34lqz4cfydkpdnu6hce,3.0,54.0,6.0
7tq6rbkdaj4iur3k37a6uo5gjlf3w2jj,2.0,29.0,4.0
7uzwbkeb2bqzzmc3adretoyzhxcvhuc2,1.0,58.0,6.0
7zd3xngzitz5ka4sjujvcandovs5w4do,2.0,44.0,3.0
7zrlrmntdx4d2fuhxosntk5cdsyc6bur,0.0,9.0,0.0
a46yxdplkwnnccuwbf2wflx4pe25rk7b,3.0,56.0,5.0
a5k26fku2cqak3zc7k5f7wvwlldif6t2,2.0,39.0,2.0
agctlpzpakbvfv6d3t7bpapvmfovuyss,1.0,38.0,7.0
axvplngi7bzzlzexvbhtsa5omtw3jwdh,2.0,74.0,4.0
b3ae5mk3trhamhwe7ujmgipskeihw6j3,1.0,49.0,2.0
b5ctsuh64dzv54p7imty666tdpz66gmp,2.0,66.0,6.0
chmhlhfz4bcthfihcxfzk5b3mphmij7l,2.0,24.0,1.0
ckstjaqrlqrlsoeocphfm6fdu7n3cdzj,2.0,77.0,8.0
cktobgiaux3cjioridvpt37iqdhj7ew3,2.0,27.0,3.0
cz3mkb2o6hntkfzczb4alcut4namo4aq,3.0,60.0,7.0
d3pwirlswl6pvbzhodsywe6wtb6tzowp,2.0,27.0,0.0
dkt4mxemhh2nnph3pfftqxdmg2ccj76w,2.0,72.0,8.0
engucsde3duq5srycfoh6mgiqdyg3lww,1.0,40.0,8.0
fa4ng3uxsvmarb2wumlvgfjsxalmlyua,2.0,48.0,0.0
fdccwszsizt6z52pngg77exhq6mxti6t,1.0,16.0,4.0
gcowmd5nes766silwgwtrkrxhxtx2pwk,2.0,13.0,3.0
gfohpcrfdv5z3czgdvwtr7vr5uyg3c3d,2.0,50.0,7.0
heplpeaofwzzmk2gmzglbe26bkidyn5l,1.0,65.0,4.0
hhnmrx66tk265nrunehsgahtf7tijovc,1.0,2.0,1.0
hqrgivcs35pttnn6n56ixyoesb4msskx,2.0,47.0,5.0
i7bsa2pqgrk3yypaq3gza4uddvm36x56,3.0,61.0,5.0
iq7pzitfb27dxfeipnbogz34pa5asbo3,1.0,32.0,1.0
iu2adfx3rm2ws54u3vzo6evryjfytc5r,2.0,62.0,5.0
iuilzgijsujmekgualzlnymja6v6likp,2.0,47.0,0.0
j3rkidqgyleebawbfvmreuryzo26np3v,1.0,12.0,4.0
j7zowt7jjwnidlvnt3vzzeyjagzzjfck,1.0,45.0,1.0
jd27sfroiag7gb2ft3ruy2rnexdpjauu,2.0,61.0,7.0
jfnmfpfg3v6la5fn3rd5hywh3ppumnem,3.0,42.0,4.0
jmhty5v65lizapvghoeaigbol7hiepsp,2.0,69.0,8.0
jv5fnyylhgs2ueyehaeciuzuyyirpjqi,1.0,11.0,3.0
jzpvcn724v3kmixfvikk4criywwqlsu6,2.0,40.0,7.0
k3zlwvqc3gaelz3n3k5tidgvns2bdyiu,2.0,57.0,0.0
k44x3avpa2wesxllq2w7xp5hnnq46wje,0.0,3.0,0.0
knlag4gewh5mlf75daf63reg2k2canj3,3.0,39.0,6.0
lnzfo6epqlxzzw6hwivif56is6nwq5ug,2.0,48.0,6.0
lwwaop2lw7cqr7a7j6xzjglolkp42irq,1.0,57.0,0.0
mgi2osiqn47ssdgmn47klufift5utr5o,2.0,21.0,4.0
mjtpqwo5l33l34cgep4sghmmwgpn2mgn,2.0,74.0,6.0
nwimpcgwn7bpkve2ohvmbrjzjvqicwwk,1.0,56.0,3.0
o222ngrszntpr3hzg7mgjtcc2wzr24la,2.0,54.0,5.0
ows4tk2ipvbq2zamv3qm6fkqzsuivdl6,1.0,24.0,0.0
pzwyb5oo7uykwca5p2iwrkiymz5x5nwk,0.0,31.0,0.0
q6qwvfzukbzuep5pzz44fun4kstqho6c,1.0,77.0,1.0
qak6rtmfabwe7tgsvxuuakczczyjvmy3,2.0,10.0,4.0
qatph4s35ydt7nyn4wxqtufpgbpss7sx,1.0,64.0,3.0
r3azo7cjndfzjolpsgu26fw3slxnp4jd,3.0,51.0,4.0
ratsijzuxq5fggjbsq6o3fq43ediszju,3.0,49.0,4.0
t6lpf4ny66xcxuxvexgikaia6lzmewek,4.0,61.0,7.0
te4kd5lwel4vephis4xqaxdf6vow7mcu,1.0,56.0,6.0
thhr4h7hd4eyofo7sbszjdadktiefz2l,1.0,37.0,8.0
tjjdragxtawup4qzrsbrlcai6vga4xbw,1.0,43.0,6.0
tvfk3rlvxkudjluclagjpqajdkbdoi4d,1.0,55.0,0.0
ub2admxier3ro3ratzsg46qkgmalkyu5,2.0,34.0,2.0
ud5wueixzn2vxwh7d2md2d625agtenza,1.0,75.0,2.0
uezmkppkwpfywewyx4ii4gar4bqyxg2u,1.0,62.0,8.0
uqjk3bfommx4oi5rtuhhcflylulmngjz,3.0,48.0,6.0
uqucq2bta5rqomaf56cvq6jmrvboze2m,1.0,20.0,4.0
uxepfk3a64v2xrhhkdey546lq4rygc6q,2.0,64.0,4.0
v5mvelazmqiqdtrjhzyqtum7bq52vrxf,2.0,62.0,8.0
vadw2ui4wtptzsnxvbt4pe75cpl75w4g,2.0,38.0,2.0
vfpvhtt5ai4vdodt4dk572akdxzbp33o,2.0,67.0,6.0
vilxqelvcqeq6h2vqxbgn6b5vpqqu4sp,1.0,23.0,4.0
vphs7u6bfy5zv2nplnveyeemq65ppzxg,1.0,1.0,1.0
vy3go2bdiocmt662rj6six4am2bexh3m,2.0,3.0,0.0
w3v73snsdsuzbnedk3i43ibm6bq7eorf,2.0,65.0,0.0
whsyhl7mm2hqn5cxfordkbhnglw7ijlj,1.0,56.0,7.0
wj2n3vq5dboqnicz5s3ehsizyb7a3rlk,1.0,4.0,4.0
wrojczxknpjqikqszke5lzt6qq74ugk7,1.0,64.0,6.0
wtwguwdzwvpvxux6jqnlvmzpt2rzsteo,2.0,46.0,8.0
x4zl5y4olos3whwxgfajfvwcntqoeddg,2.0,19.0,1.0
xkiibqwr7mezeab4hfxtmtybtdbddluk,1.0,62.0,1.0
xpxulpo27x3f6zrzh4yir3a6lxzije33,0.0,36.0,0.0
xxl2vhpgf7hbjwwv7aazu7wwnflvm2ue,1.0,60.0,8.0
xzoo2aw6bspwbfy4xlkvymwrd2hhi5tw,1.0,11.0,0.0
y2viqef4z76tv4em7h6wfjkagpgh34uo,3.0,53.0,7.0
y3i4owic3er6524p747bvwwloivkgjlm,1.0,73.0,4.0
yhduj7nqgrgnwqr5vlh6vjjao3czso7p,1.0,41.0,6.0
yjreoem6il25lxau2yuytltzgmde2egg,2.0,66.0,1.0
ykwewsytmwwykftlelmme7dziaovcvgu,3.0,75.0,6.0
yvxzz3zcxp4j2ipvqqbuffynlef4wkrm,1.0,51.0,4.0
yxbilrtkzljegxa4enatnmyhknulhft3,1.0,76.0,6.0
yxxn5wnxma3ltjf5l6n777zpuornz4md,5.0,44.0,8.0
yyka3fkm6vcs2fxhvcws6njaghm7gvh7,3.0,48.0,5.0
z72nqdlpn5fhoabpohjhrb7k5ipeuxul,2.0,64.0,1.0
zdgs7ap63qncu6blsolomrye3a26h5lz,2.0,73.0,8.0
zktyaurdw5quvpnrai3phw6hmi26srlm,3.0,38.0,6.0
zlm6qt5keyndlt34vzrztkzdym5mzn6r,2.0,30.0,1.0
zpwkivhjjb4azk7f6oj5z4lufvcz3zoa,3.0,42.0,6.0
zreizv4acanboewqkpgwfsdji6gdqibb,2.0,45.0,4.0
zrxpcey3g7zpestssxk76l2ikczzeptr,3.0,65.0,7.0
zt2fjei2fzvcebb6xwngggfisurytazb,2.0,50.0,3.0
ztrxtpn2vwn7lhg26thj4kux7bmn7ngc,1.0,72.0,5.0
22bukg4qzkyr7q354imanx5lalugsrjk,0.0,58.0,6.0
23jorg3lwcjjdfo2yqiieaezm4u3k2cd,0.0,14.0,2.0
26nzsfliwmtlhsu65feykm7ql3rd5ymc,0.0,63.0,4.0
2anca4rvacx2ul4qdima46c5ec74odmf,3.0,35.0,8.0
2auqvtjlndsls74tz3ro733wnwzb5my7,3.0,33.0,1.0
2oqumskkgtznuash77rd3f3mr2tfa2rx,0.0,72.0,8.0
2pauof3lrzwnw4oqsd7fhzzbynrsqfxy,0.0,47.0,6.0
2upjxe4skn5hvie7qy546xjjxu4n667w,3.0,19.0,4.0
35cbu4pvb2ybc3yhkaz3v2jaowwvmqsy,1.0,38.0,2.0
35ppktwi2rxcvuwcwae33367vfjuvtmk,0.0,17.0,2.0
3a2pvsdc5lbl4wp3f5ro3pkt455zfgg4,1.0,13.0,2.0
3cq5kmo64rsh3jybg6a3zo3w5e55axoe,3.0,36.0,7.0
3duonscrtix4yxngnza6fgsg4nykcm3q,3.0,76.0,1.0
3huqds7qyq4s2llf52vmazizpzgi247b,1.0,18.0,3.0
3hyrg3yyspzs6a7elnxwiuvl2lggsy7d,0.0,56.0,0.0
3kz7qqaja7xvk52qquwebfx57qzjhv6x,2.0,25.0,1.0
3l2ojxjy3fdxs5dijdwytpfrvt5lyhh3,0.0,19.0,4.0
3nmupjc3j7a26oqppk2oexgqmbonx23q,0.0,15.0,4.0
3npzbvgz53hizunvs7qhpqrtv3umorwm,3.0,59.0,0.0
3q7geok5xs3elxro2bz5girjy2mm4wml,3.0,73.0,5.0
3refk37ebi6jy52m7bbdni5poz5ppcqy,1.0,58.0,3.0
3rvbgdajlbowj6das2sifdrkemmbaw5w,2.0,20.0,1.0
3s7ftdfrzuqessxswn5ggpp4gb6u6qlu,3.0,62.0,5.0
3v2bm7hqdme7ouiltuzgkqbwnt6x7jz6,1.0,46.0,5.0
3yynvlamc7pftg6tsq5zalqykm2xmxtr,1.0,36.0,6.0
3zd3lhj3gzdk3322aatqcvjj2xxaubff,0.0,58.0,1.0
42fjinecwzkxy7dxgjfou5yitltgksnx,3.0,28.0,2.0
47k6mboybuzwicuvbturnc3rfdrzxnwq,2.0,43.0,1.0
4auckqb5qnqdsr4uanrmicweyfbu4fqv,3.0,64.0,7.0
4azmgazti5au5fjt3phr4c2njpi5lyjo,0.0,61.0,7.0
4g5m4eljuy4egik6k5fccwm42jzet7zj,1.0,75.0,5.0
4ip76dzhzuq3lri5uza6xuyzdmgs6sbw,0.0,0.0,3.0
4jw77hfchazf3ji3bdovhn4enuylmhku,0.0,54.0,4.0
4m72uzi62ocr5llxsclmtsn5xkuwbowq,0.0,32.0,1.0
4qmgfmemc36k6lkaqhu5pykj7qqcsx2d,3.0,28.0,0.0
4qyr3qf4hprqisin7nev62tmutg3pukp,1.0,8.0,0.0
4xjralxs2heqvayonuvojyvsrjohs43o,0.0,60.0,3.0
52lubk67ymp66g3eouhr33f7s2g63kyh,0.0,57.0,1.0
55tnz66thymffwuk2obqpucax7wzghii,1.0,7.0,2.0
5hab2fgpd34yw7qc7te54j7stgldo7ha,2.0,30.0,0.0
5jpzuqvl6d7gumcpx2tj4ahfgnnmkfvc,0.0,67.0,6.0
5klkmovejh3cggewna5fjesznbi6tjk6,0.0,77.0,3.0
5m2qhrzmwkam6fgcd7vlro7ryixqy6fz,2.0,69.0,0.0
5m4wxyx35ezm473adl4uo2drx3rccbod,0.0,43.0,0.0
5nfuikpcqz6jlrpnd2eoroycay6toj4f,1.0,69.0,5.0
5oayvmw3ys64nhliy7morm53yxthelsi,0.0,35.0,6.0
5zhth7mqh253ekj2eks2xuomvwpub7qx,1.0,50.0,4.0
6aabdqn5frsbq6qivhhjekmk2ayk6ezp,1.0,34.0,4.0
6i5fe2g4xb4f4rc5tc2rybqltobc5ixu,1.0,67.0,8.0
6ijs4yxl33ykhordqkdqeqpibvxle6ay,0.0,70.0,1.0
6prsxca5pp5nulunl7ntzqpded3c2ghq,3.0,8.0,0.0
6u2dk6xxova4mi5ge5munsz3exfeebli,2.0,12.0,4.0
6ueylakxomdifltrgwbhd4hcvbr5legs,1.0,57.0,6.0
6v4ronbitcyd2h6j2qd77k7q7csjftcq,1.0,46.0,1.0
6vwmyzaxib5he5dpjdm4cojcxcs7icdf,1.0,50.0,8.0
6znh3ylfxh4jrtcr6tahfgajubjzhfik,3.0,59.0,1.0
72cgbe36wxe4xigf23nfevjcxbprxde4,0.0,38.0,5.0
7hlf7j4b2mwe4iqkfec5l3ss4zas5nn6,0.0,44.0,1.0
7lbdzmhtaqbr236ndoxde6a7mezfa5xp,0.0,74.0,0.0
7llsgcavtwwe7kvjvtqtpw67xaj2eiuj,3.0,57.0,1.0
7lywyuh4ymok6wn3lypgkqmbhy5vmbxr,1.0,67.0,0.0
7oo2hyf2ewxohakrm35rwhyknolt4xw7,3.0,5.0,2.0
7pbtdqkq3fj2j33hpsysqqu2i22zmudw,3.0,59.0,7.0
7pif63ifcnksa2vcks4j4nr6fgph3sxx,3.0,39.0,0.0
a7vetn7mbtzmcwsdpr5a5ymregewxymv,0.0,69.0,1.0
adkgoui4rstgs3lo7yqoqqb6zqw5xkxf,0.0,34.0,1.0
aglq6pqoagbzwyss53flotnk23qzgv57,1.0,40.0,3.0
aipqtcx3l5zulhsifpujsmagfbg2akap,4.0,49.0,7.0
awhz4uujuslwsdq5v7f3tlrimf3o3q66,2.0,19.0,4.0
b4pbtcfv7wnbahtxdwi2sxtsume4diyc,1.0,73.0,3.0
b5zyj74gefdycj5s7mabn4bhcrjcb2wr,3.0,73.0,4.0
bbuefw6bs5fhybwt24bewm3cobufg243,1.0,71.0,6.0
be7z6oqjou2ifw3c2p2q4m2nfba3vvld,2.0,9.0,0.0
bq2ztpqp5llkgmxkq7be7z4rytzelvc5,3.0,57.0,8.0
bqpo4y4m77cblfum4segrovgsbu2eorl,0.0,32.0,2.0
c4fgm6b3ffsnbn5bdzt6dl56f3y6dxml,0.0,67.0,8.0
cajrapoos2ll53r7dzzx242hqr6cwyxm,2.0,23.0,4.0
cbtrpvk7qaulrp26vg72boj6lkojfotk,3.0,31.0,0.0
cfb4edib5z55ldraxlz7j4bcgq65wyig,1.0,63.0,6.0
clunwkuwvdf76tbo66pa4mt2yffpdhg7,3.0,63.0,8.0
cu4s7iyts7wprlmfocwxjbekyjwey3wy,0.0,15.0,2.0
cuffycziuk6s33voselxme4d6holtmdq,0.0,11.0,0.0
cyilnboerig7l2t2uudx6refaz2wlzin,2.0,60.0,3.0
d4nmqcer23ytgbsop5zrq7xf72vfjeof,1.0,1.0,3.0
d53soqpetqkkubabqfjk2m7dgyhvsnds,0.0,49.0,5.0
ddgekf7qbiw56d7k7avqdvvhy2akr5o4,1.0,1.0,2.0
dnn5uzeb6kykgcsuecsvihdl64hg2szl,0.0,25.0,2.0
dqdulqpaomo3xobkrfkg7o6okexu7vvh,3.0,64.0,0.0
dqebt2fi3okpqnjpya5zzhscjy375ezy,1.0,72.0,6.0
dt3kfkvqz67vincxzzpzhaleze3rhw5c,0.0,49.0,1.0
dtunuhxwzca7bgipjbv6qygfbbtlvd5g,2.0,58.0,8.0
dudcrv3lkqm6ilh6tq5hlfk6pjht5m3q,1.0,76.0,2.0
e7n3e4gstblgq4qjqmg3spcebdjj7hzi,1.0,59.0,4.0
ec7rscjthrdtupbeg3vah5semyy4iq5l,1.0,27.0,4.0
edmpegh7ngkgtnuunz5fijuyukntclsp,3.0,70.0,0.0
eg665w56n45zogvgyxgzjvvbtl5qoazs,2.0,73.0,0.0
ehoxmg5td4umxen5zyxf6tf4i5lodvrp,0.0,73.0,4.0
ekdpy26yrlqipdagxwmeg3wuu2hrymnt,5.0,58.0,8.0
elwhomeleonxrv4ujyvgofr6gcli4ev4,0.0,51.0,6.0
enz3b6zk2y3aa4gcfzixnpu37tab3z7f,5.0,69.0,8.0
esww3jjmvh6z7zhn7o6nsvdzcpnrmfdv,3.0,69.0,2.0
ewsiutuc7jpmnsjilsqlgexggs37ulg3,2.0,25.0,4.0
ewx4mysw4vunylogknyatnlrftyygnhl,1.0,38.0,5.0
f2ipyqq4iqb2ng5pgm7zcc5u3fnpgy6o,3.0,37.0,3.0
f4ulsto3jvmwsh4moqykfc6blvnqcanx,3.0,69.0,6.0
f5fstrzhnrpd43jnoytzezcmsgxhhox3,2.0,19.0,0.0
fapvw4iv5n4a24x7t2dzyu53szqxxlzu,3.0,64.0,3.0
faumny3abx7jm5a6wct7dra25wo5g5ii,3.0,9.0,2.0
fbji4rdwlspwf5u4rki7rqizpehhlb7s,2.0,55.0,7.0
fdlwazdhln6oshndtvzb5phfiglf3gh5,3.0,44.0,4.0
fevkw2vaygmfe3nwg6p4zzro7zv46bjw,1.0,12.0,2.0
fg3oatob2souzjszhiudkvob2ur6oque,1.0,11.0,4.0
fgxw2owvvshmsqhywgxcxltvi44yt4ux,4.0,42.0,7.0
fjz3jdgi6tlfjidbn7jtly774up36fwx,0.0,57.0,8.0
fo2hxiqamybngcov62ui2az6lm6sqmvc,3.0,67.0,5.0
foyravplh6ykikavolcjrtlzhjajly7j,1.0,15.0,2.0
frfnenzcn6g2edm3pi62ryglcubibyep,3.0,30.0,1.0
fsolc3g5r5hyjzpsahnnm6sntlkjb5on,0.0,25.0,1.0
ftz3kzckdf52bwalrimtzu6lq5abegiq,4.0,44.0,7.0
fxwklxoaixlqbvy3yzjwiuxkqfzdlebd,0.0,72.0,1.0
g5icd5h2jjtvrcw57rshbpz6tkhhkjmx,2.0,55.0,8.0
gaopq2tsuokas7tmidxmmwermlkki5et,1.0,48.0,5.0
gaynxgshxhnlvgmvjyit6djxhrrtst3t,3.0,68.0,4.0
gbolut4hueg3guwbxfmusod6fpvpn3jl,3.0,64.0,6.0
gcu76gywa43bv2d5vwaoc3e4akeshydz,0.0,48.0,4.0
