,variorum-version,hwloc-version,cmake-version
25uzqu5l564npoutfspm3gb36korw7gr,2.0,22.0,57.0
2anstkgb7uo77dzhpoygsoq5a7pmgm6z,4.0,24.0,51.0
2eaubvwzjkqlvxomrkkx24crdi7qv4y2,4.0,20.0,44.0
2siwor7rlpwxelscnwlxo4mvzpjihcc5,4.0,23.0,81.0
2sxh6zv5ukirgsshvngjpskicuriutno,4.0,23.0,48.0
2v6ouokzmwyf3unrqivnfffcaf3y6psz,2.0,24.0,25.0
3bugutz4jux3cli2kfr2qtpxr5fwpwpe,4.0,23.0,54.0
3dfjfmrftravdele2q2rpfkegveimcg7,3.0,21.0,20.0
3esk544nefl6m6o5ye73oddmz27qlajk,4.0,14.0,79.0
3h5f5tgboeeyyu5hl3ssynxhlt7onx7d,0.0,19.0,34.0
3rj3zypjhep7u5xovuwdwexx4okk4asb,0.0,4.0,90.0
3yh33nu53rxuhn2v2hu43atmeo7g3ibj,0.0,6.0,1.0
44okkamzxbnwzoxjufcv2bl3jpee4ieq,4.0,0.0,80.0
4ckhtbqhi4mr3yeltvzxgxx3p5hf4ffh,3.0,23.0,55.0
4m42xuk3wsjk45rhfcupeiik4lfx242j,2.0,22.0,71.0
4muj6bjjuwq3jopvx3tllp3lz2pdfmkl,3.0,21.0,87.0
4nhuamewxb4rsrujm75lyxqupn34qe74,4.0,24.0,78.0
4pv2v3d7iudtxzgvastq77ckp3osus6t,4.0,4.0,11.0
4t56xu33mb4n2x5smxwic6rhzptqdqn6,0.0,22.0,53.0
4ujprbyjmw3bfi6etq5jcdmstvoeqh6t,4.0,22.0,49.0
54edhloiscys2uu6vedbq4ps3ztmxhsk,3.0,21.0,78.0
54jw4rh3nyuug5b4fhz7h3uulx2tqnbu,4.0,24.0,41.0
5jc5h5u6mckhj7q7ckxmivvj2jo56cqi,3.0,24.0,64.0
5jeu32s2k4gxuvududqmnm5a5orxqbuh,4.0,22.0,34.0
5ouxeklgwop2zyda6imwobbue6emijrh,4.0,10.0,79.0
5slbucori76u4pe4of7fqe6ebjlysbsg,3.0,6.0,76.0
623m5ic3eyayd7egdrcisabkvetgurhc,4.0,23.0,78.0
677m2jrspao53h73ahniexpoa4gccaof,4.0,23.0,66.0
6g3b7fvfxm5pdox6kseu5ichj7pda6il,4.0,21.0,5.0
6lft45uf63fbbrxwvhotqimettu6rtlo,3.0,22.0,38.0
6n2htzenni3cqk4jvvcwdqh7lgylnt6w,4.0,22.0,83.0
6pm2nksffdzprvlmxwverxxk2cpnoiv7,3.0,12.0,76.0
6tyxpmapzsa2vb5f4c6wbj5j4jy4d75k,2.0,4.0,45.0
6v2sl2a6o3cgyqdhqafsgam25owmzj3p,3.0,22.0,12.0
6zqs5lqarazoxcu7gaautbbfewut2thq,3.0,5.0,74.0
6zwq77cw3jso2ntr5fcoa5o76gwk4gtm,3.0,23.0,41.0
73kulhnij7rp4sztqp5p7nhuoikpymsn,0.0,21.0,24.0
7bjdakv4eizgclwlew2uhth6zlxcxslv,4.0,22.0,61.0
7iy2pt7r27lrssuxfrduvslzk52zrxlw,3.0,21.0,17.0
7lr4nary3e6kn574phcmabumasqeb7hb,4.0,22.0,27.0
7oajejl4u5budwreio254wf7f5ml6wgb,3.0,19.0,9.0
7tdplpo4s5dxhvtykwbn6fzwphtxcrzq,4.0,24.0,90.0
7viwdostxt3szow3ej557az6mr76uwrt,3.0,23.0,20.0
7vlox67vy6mgnbel2f5hosn5ubydgv47,3.0,21.0,49.0
7zrjrrzmykvex6rdcwcn4gghxojoe5al,0.0,22.0,26.0
a2if567fqmeyrzssszkjsqgg3j4ulmhc,2.0,12.0,79.0
a5zf6z5psyzia6mqdqxtmaptmcxtq4gk,4.0,2.0,78.0
aa3nvlm5rmsblsqywuiaefnxs22r5k5u,2.0,4.0,57.0
akdgnnladms2hk5zardthuldpdmbm34j,0.0,10.0,79.0
al427gkqreliyzgbwx4oiyd4wdmruwkb,2.0,23.0,28.0
asc3npk2blfkdlwizxcp3tvba5msbdue,0.0,12.0,75.0
b43m6yguvk5e6dcstg267uxld4wy2e73,3.0,21.0,8.0
b6zyxcr7psjoerjwlu3rq4mcphpp4tb4,0.0,6.0,77.0
ba4cchhz6kskrdpsz5c6jy5w5dvoegv4,0.0,24.0,6.0
bas6rhxgjck5jv2ehe545hcj2qzoz5do,2.0,6.0,1.0
bcpcpoyekrda2ulkyovelvdbv2gvfhhl,2.0,24.0,49.0
bcqogbkbfzuaoa5ehg3mqal23hcwhy3i,4.0,6.0,79.0
bi2hperlwd6hpo6jsht5hubwle62iwq7,4.0,11.0,79.0
bky2pgd4eywyavwmbxrif5j72d5bt6vl,2.0,7.0,76.0
bludbctawomtnd5ecpbydgtfxa53njyt,4.0,19.0,3.0
bs34pmn22y4t3bjfuldkj6zt6ewymf63,0.0,22.0,86.0
buadi7vdzrjiolqjbj2w3q2pibnbdhhf,4.0,19.0,65.0
bupltyk2gh3ahie5bity45objgytcpb3,2.0,23.0,67.0
bwyzqla7j7lrp5jpswhpfq5x2fhe27l2,0.0,23.0,30.0
c36ovobct4rgpjpuxs7wvotv2634hlsb,4.0,6.0,74.0
cnh6kayy26vpxsxidcjqyp7foqiruynn,0.0,20.0,14.0
cubpepher6vhpcisnomjab447yze2jpv,4.0,22.0,5.0
cwxjfqx3vsm6rrph7g7kqmshups76xz7,4.0,5.0,2.0
d2aqeyb2v7sjapl4ambbfidwlgqusnjs,4.0,13.0,81.0
d5yl2gel2xzu7uk2keq32bbozgluqv53,2.0,19.0,56.0
d7qgjgeflaopcnrxew7nuist3tk5am2s,4.0,13.0,80.0
dbqunxvrtjs3ko6yxd46ggatqnzzhkp5,2.0,17.0,74.0
dek34iaew7ovncwaucuoztgqkmuz4pw7,4.0,20.0,17.0
dfozcyju6r3uhmvamn6quz6tzk5rh7kb,0.0,20.0,41.0
dmib723rng7c2nymtletqvxczehohega,4.0,20.0,20.0
dpfqtanjeqdgb5kepgye4i5pc5tf45om,3.0,21.0,86.0
dq4s2v5akrhbszgw3fy5ga24de765j7m,0.0,4.0,8.0
dw6ikwcqmskmch6mea347wewc6jd3dsc,4.0,22.0,32.0
e4ev4upaautlpnlxwf6diksg7seyl2gw,0.0,21.0,69.0
e4vc7xlghsizhj23u5b7kfasha652afs,4.0,2.0,81.0
e6adxla6tf5xgebdq6swhbjzugs47suz,2.0,4.0,42.0
eekskw4aucsw26ctz3djpaobo7hdq3cf,4.0,23.0,10.0
eemub23m33jrn3wixjvwptsnv7owkl7p,2.0,20.0,30.0
eeth3uet6eru6uxpqrekr2bdnqkbyjnu,2.0,22.0,7.0
eeygmtcdshbwpsxatbyhrrdt7mdo2vz6,4.0,20.0,71.0
eifzeq7z5e5wxsbefd6sshlldwiwye4z,4.0,13.0,79.0
eqfmk354tzoryzqiaghratjngmtw5ejo,3.0,21.0,80.0
etye2pjvqzv5boz2da7qaqfuj26jjkfi,3.0,13.0,80.0
euhtd6svupmqvgcqxljpiqgzfcemyagn,4.0,24.0,52.0
ewez4vqbi63oqutnfc3wn7iai73oupwz,4.0,21.0,8.0
f44lsynkndq4btbzunmcleneieyvce6d,0.0,22.0,6.0
fccrqut4nd7tzbsvhyikuuut52fxayqw,2.0,21.0,3.0
