,trilinos-version,openmpi-version,libfabric-version,openblas-version,hwloc-version,cmake-version,mpich-version
225mtrqy24bbgvgqjqlhktujfdg3xybe,6.0,2.0,2.0,10.0,13.0,52.0,2.0
2bdvy6ronoipsof5uvbivubapwbaiyvc,14.0,2.0,2.0,21.0,1.0,43.0,5.0
2d3tobggi3okxpagi2vwl4gt5vkkjguh,15.0,2.0,0.0,17.0,16.0,68.0,15.0
2ffymc25rb5ctvcdnydof4dvuciame6o,11.0,2.0,2.0,9.0,10.0,58.0,4.0
2iueojtcbzeucbzinn5bvarqeze46dua,5.0,2.0,2.0,7.0,6.0,41.0,3.0
2p2lkds4q2kslut4tfyjmtrlbavt4tnn,16.0,2.0,0.0,14.0,18.0,11.0,15.0
2xpog36babr5xxqsk5nfi55oaav2m6lo,5.0,2.0,2.0,14.0,9.0,74.0,3.0
325hl66kljjtuxb7imx2obzy7hqunaxd,11.0,2.0,0.0,13.0,21.0,66.0,8.0
3dybrcl63uybqlx6d7a547mkb7zthgj6,13.0,2.0,2.0,1.0,13.0,46.0,0.0
3fdewzrscebwfbo4yy6qwll7r5fr7mwc,16.0,2.0,0.0,15.0,0.0,4.0,12.0
3yeo5xwzjvwfzpnc37qaijdqtrwpwvjh,13.0,2.0,0.0,3.0,21.0,46.0,9.0
44azo4ukr34rv3wyx353w4czsa36wit2,16.0,2.0,2.0,18.0,17.0,68.0,4.0
45uxpq3bkyjbzoc4qy7nkpnivuotphkq,15.0,2.0,2.0,8.0,17.0,27.0,0.0
46qkp33i6gvzudvcrc2nngfvj5qzgocq,16.0,2.0,0.0,8.0,11.0,20.0,15.0
4azl2gpokux2u2s73pfnei5mwmc2hm7z,6.0,2.0,0.0,21.0,15.0,37.0,15.0
4g4igzftdclgd6yhozpziqpnrdh6tfpx,12.0,2.0,2.0,15.0,10.0,91.0,5.0
4gchxewsdhb43h4rjdskhgwl6ssqfq64,16.0,0.0,2.0,6.0,8.0,13.0,14.0
4mkhq6u7mu5yr4veihruysgs6z5sxxxu,5.0,2.0,0.0,1.0,19.0,3.0,9.0
4nyx44ybmrpyn7wmpiohpwfpdfnyjzlt,13.0,2.0,2.0,14.0,0.0,91.0,4.0
4ywg62ttw7dkzklzodjvsygd5yoo433c,15.0,2.0,2.0,14.0,18.0,59.0,4.0
5btrxton4nwxmecoivlynpvj7xbujplu,15.0,2.0,2.0,7.0,11.0,23.0,1.0
5xxfnzojwmdo34shqoiqdwt3sj45ah47,16.0,2.0,0.0,17.0,1.0,14.0,10.0
6eua4xhb5omvy74kr6eek4snjljerqdi,5.0,2.0,0.0,6.0,17.0,56.0,10.0
6pdcqibhcjavnfvhrp4kslwus24qzdnh,18.0,0.0,2.0,14.0,3.0,46.0,14.0
6rmaz2moacebc7xnsogtlimd4tgqcbnz,17.0,2.0,1.0,18.0,1.0,47.0,7.0
6vwwdvzrplemkoj4rpebddjnljaf4fpm,10.0,2.0,0.0,1.0,19.0,55.0,12.0
