,cmake-version,metall-version,boost-version
23qqkrsmlwsnndwnshz26gmstbacutn2,3.13.1,0.11,1.65.0
2eps6jw3zgt7yjlkatz6wrymuhknrexs,3.16.5,0.9,1.75.0
2hd55x7m5vajgswjnczxd55tppd2ohyd,3.10.0,0.11,1.77.0
2icyrptudey44lemlejx6xjbvbarf27v,3.10.0,0.13,1.76.0
2m4v7okto2c2qj66cze3itkeohvhsxsv,3.11.3,0.9,1.73.0
2mieyoxlrjdllicihxt2iuybyhcapjgr,3.12.0,0.15,1.74.0
2p33fs54tqfdrzb2uhfqax7qo2zq6wps,3.12.1,0.11,1.72.0
2pc6mzhlgk3k4f2ruzwq5b2uzecifwyj,3.12.2,0.9,1.67.0
2pwktmnyxqhea5ip7w542nazops535we,3.15.6,0.13,1.78.0
2qrxitysm3os4mkgmhhjdgp4go7yxr5k,3.21.0,master,1.69.0
32uym3rt6kp5rcjcizjrclcyj3npv3wl,3.20.1,0.13,1.74.0
3b4ez6ayvkfhybwwocknfh3wtik5mppo,3.17.4,0.13,1.75.0
3bc5b3ymyvvtsq53rk67gvnau7ilwc2g,3.18.0,master,1.75.0
3ex63pgfmybfpddswgi3cikjweqv5kyg,3.15.6,0.10,1.74.0
3opbudgqlvfei76zimkds3c52movhg4s,3.13.0,develop,1.65.1
3xnuq6pwnw7xxeystr7dqjbchojoee32,3.19.0,0.9,1.70.0
3xxblshqfjxql67qprhdlu7j6empcz37,3.21.2,0.17,1.77.0
3y3defhww6b5hizrvv7w446det4yd4xu,3.13.4,0.17,1.75.0
4akl5v2ltoyozmnpv6stenley4o7u7l3,3.16.2,0.14,1.73.0
4b745slp52ti4zcnp2f3tvodog7xjxjz,3.14.6,0.12,1.72.0
4crchqncwm4qzotnjel3js54et3bzqhh,3.15.0,0.16,develop
4etjro3ssg6u6tzlkr7pveh34kerqrw3,3.13.4,0.16,1.70.0
4hffg4yo5ywf4nvniwo63sag34rhr6va,3.18.5,0.15,1.77.0
4ktuphwjgstz45kd6yjhy6ojnja3vwq6,3.19.4,0.17,1.74.0
4oiewmwhpbf2ysvmn6xz5krflfij3y7f,3.13.4,0.11,1.77.0
4oxgooe52hfen5xlhn2mou25vp3b23j4,3.22.1,0.16,1.70.0
4ub5led3vq4levt66hh7oqoab7dzzm4c,3.12.3,0.10,1.78.0
534m2zihcm4mfbce7hykrl5eax6rlnxc,3.21.0,0.12,develop
536nt2gnnoo6vrwfmrvuloegfjmkhkna,3.13.5,0.17,1.64.0
53seygamtvi6ubbf4k4jdwucamytlydo,3.15.5,0.15,1.67.0
5bohyeb7knq2va7eig3iun3m2l4duxbl,3.16.1,0.17,1.67.0
5jse275wuvx3fkbw6ncmnnjrmqrm5z4z,3.18.3,0.12,1.65.0
5o7olkh5u5h3vsq4whw4cabgtwk64wwy,3.13.0,0.15,1.77.0
5sh7rrhiaqivhwunjmxhqa7dmts3lqxo,3.21.2,0.9,1.67.0
5tmctaya6o3k7jbgd4eewqlrol3t7hk3,3.13.2,0.15,1.69.0
5uizrx2pamjfbld5znxxp6bjkeibmx7f,3.14.6,0.14,1.68.0
5vptecy6k7anpycys5bbrmupewvocflt,3.19.5,0.14,1.78.0
5vtjw4ufb3lq6hicqbv6mgwxincklucz,3.18.0,develop,develop
5yunuihktzlgs5u67rz4xclqrdhwjacn,3.12.0,0.14,1.75.0
5zfvfkepltdfoiq7a5ioxaibbzsmuv3y,3.19.7,0.14,1.64.0
5zocfen62d747ioz5sqa4zn532sqgoxx,3.20.4,0.11,1.65.0
64h6iz334dsnt5dpbxmjpif26vpghyxj,3.14.6,develop,1.67.0
67ptr3bwurufqblbglvblfoj7fpass4i,3.13.2,0.11,1.76.0
6adbdwfhz2ppu6y6yy5ixctrlljj6bng,3.16.6,0.17,1.66.0
6dabrvwow5w5roprqlcxdcr7pmuyqaif,3.14.3,develop,1.76.0
6ezyvi3q22sfyqecnznwpxwsswwwseel,3.21.3,0.11,1.68.0
6icfpxb6exzjgbotfbmqtpoogacmayan,3.16.5,develop,1.71.0
6k3xhrzdbcclpupv5latiac5q2nzj4s4,3.19.6,0.17,1.70.0
6m7fv6l4rwr6hiztj7z3n5a7tknlichd,3.10.0,0.13,1.70.0
6uasmdlb7hrwp3napwkn4pp5urcwywbx,3.18.5,0.10,1.64.0
6uqlgqvsypidpupvucn4pe3cjp5fxakx,3.12.3,0.15,1.65.0
6woxpzf6gz6yebu7up5x7dqhq3gxi6d2,3.14.0,develop,1.76.0
72qvrgznrcqk35eaukrlbi6v2jeoy2eh,3.10.2,0.13,1.67.0
73n3zpaxujbht7ndbwkz76rcqbnu5nni,3.18.2,0.10,1.65.1
