,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
22k22jzgv64fufd4oed4q5at3iv55yde,3.6.10,absent,0.2.20,1.9.3,3.9.6,absent
22kokvopgeo2vb3xmwfuxsrx4v4mqzao,3.6.12,1.6.2,0.3.7,1.9.3,3.18.3,3.2
24seaga52km6eod6dzaozi7o5br3sr4d,3.8.5,absent,0.2.15,1.9.1,3.17.1,3.1
25wwnmsib55vg4eebiwz7lr73bfgahuq,3.6.10,1.14.0,0.2.15,1.9.2,3.20.3,3.4.2
2bp4kam5gfcr6otdq5e24qwaoxw6yf7v,3.7.9,1.14.0,0.3.6,1.9.0,3.14.7,develop
2ebzz5gju2l3m75eqou53eyxs2gznhhw,3.6.13,absent,0.3.15,1.8.0,3.19.4,3.0.4
2icfulttytae42l2mhgmjxq6rfsugma4,3.5.9,absent,0.3.10,1.7.3,3.11.3,3.0.4
2lg3a6lgzga3k2dhai2jy4354zaieeik,3.5.7,absent,0.3.12,1.9.2,3.15.2,3.1.2
2nz65oc2zqilpcxwy64peffcen3vl4bo,2.7.13,absent,0.3.13,1.6.1,3.11.4,3.1.3
2oizka3445czu7sz6iyxkpq43tpvgdlx,3.8.9,1.14.0,0.3.7,1.9.2,3.18.5,3.3.1
2oq7ukuckbiuudl2r74b2pf6qxps4yru,3.7.8,absent,0.2.20,1.9.2,3.16.1,3.1.2
2ryzgmqca6ejupzh5lsikpbr7omuhbvx,3.4.3,absent,0.3.14,1.9.3,3.21.0,3.1.3
2sjb6vvvbmymbj3mce2hmxoep2xaneph,3.6.7,1.14.0,0.3.6,1.4.3,3.18.5,3.3
2vd46nhvxb7vlmnb7ea7xl7ddwo64xvx,3.7.6,1.14.0,0.3.18,1.8.0,3.11.3,3.3
2wcp3ult7drkktfw6at6xumgnfirwjfn,3.9.6,absent,0.2.19,1.8.0,3.10.2,3.1
2y6hckn2lbjwux3lmfz23ukcgvfq2pqi,3.7.9,absent,0.2.19,1.9.4,3.11.0,3.1.2
2yn5ujc5yh6oe6anfymhntntdslpnedz,3.9.0,1.14.0,0.3.11,1.4.3,3.18.0,3.3.1
2zvzcoeu2c4pc5vbtepnaxhvohfy2hvk,3.5.4,1.14.0,0.2.19,1.8.0,3.21.3,3.4.1
32oqv2ku5cuyjt6xsx6nkfjslbzk26z4,3.6.8,absent,0.2.15,1.8.0,3.14.1,absent
36ynuixm54cciqoidnvkiw3qy3nwc2ga,3.9.4,1.14.0,0.3.16,1.9.5,3.15.5,3.4
375jhz77saudc6wj4xmrpmc2ji5ojots,3.6.14,1.14.0,0.3.13,1.9.5,3.11.4,3.3.2
3abxmxz23vlak7txs4fc7dyxxlbhve64,3.7.11,1.14.0,0.3.8,1.8.0,3.19.7,3.4.2
3djb44sxuu5cklv6mzgb5nkz3torpwjf,3.6.7,absent,0.3.15,1.9.4,3.15.5,absent
3ffk6vjvt7xokkyj7ea65tqd23mjdjni,3.6.10,absent,0.3.8,1.7.2,3.14.3,3.1.2
3hen4yuc5zijm6v76gc3mhmwvtqk32hh,3.5.3,absent,0.3.15,1.6.1,3.14.1,3.0.4
