,hypre-version,petsc-version,python-version,superlu-dist-version,hdf5-version,metis-version,parmetis-version,trilinos-version
ignb4ymbs7x4tpbcrtqmnrpvvfxeyiif,7.0,15.0,37.0,5.0,5.0,1.0,1.0,2.0
ipctazqhyuvxeh6xwzv2b6sf5dvgszyy,13.0,34.0,8.0,3.0,11.0,1.0,1.0,1.0
iv2msrgophmrr4lqkd55dicq7er5symi,2.0,4.0,21.0,18.0,24.0,1.0,0.0,1.0
jce7yq3e56yjp5hxhvohiag35n6ndn2e,10.0,6.0,22.0,1.0,14.0,1.0,1.0,2.0
jpa2z3r7rl3aydndietawzarvizyfqd4,9.0,3.0,20.0,3.0,20.0,1.0,0.0,2.0
k3aui3konlxcyjwhqweehn47kk4qfxtf,10.0,20.0,24.0,1.0,14.0,1.0,1.0,2.0
k5zz3dy54tdwizxdcrvzt47u5nl2fax3,4.0,38.0,8.0,6.0,18.0,1.0,1.0,2.0
knibfrmcubokzo4tavm3pdeil3cm22xj,7.0,7.0,41.0,11.0,20.0,1.0,0.0,2.0
kup64viwzssctvrzo7lirqyvl5xywjki,7.0,8.0,15.0,5.0,21.0,1.0,1.0,2.0
kz2pxr43qzvjwlhopmykmuxnkeyu6pr6,10.0,6.0,44.0,10.0,8.0,1.0,0.0,2.0
l732ojlkqjhwwgku52qjqe7vu4vpzmnq,13.0,14.0,12.0,10.0,9.0,1.0,0.0,1.0
lf2w6h2al74jfps6fuz2aycbenhkpj3o,8.0,39.0,2.0,0.0,19.0,1.0,1.0,2.0
lr3phakb4metiltnh3tglzr6xuxiutg2,2.0,18.0,40.0,8.0,12.0,1.0,0.0,0.0
mbbwarfwkussobjkenlwwa5wz2woie44,13.0,25.0,33.0,12.0,0.0,1.0,0.0,2.0
mevurcpbdj2i3vkllqb3ynsxgfu52y3m,12.0,20.0,28.0,13.0,7.0,1.0,0.0,2.0
ml4szwgp2bhjwlcaup3yf3j7vz4aghua,11.0,3.0,0.0,10.0,14.0,1.0,1.0,2.0
mzp5jt6rtpgwxul46g7aqgcsaqfcq2gl,8.0,24.0,11.0,12.0,7.0,1.0,0.0,2.0
no77665soaqekjmjxbrq4umddywckjhk,2.0,19.0,6.0,18.0,3.0,1.0,1.0,1.0
nu4ryfkx76xlpv455plm7wieiq3lmcah,9.0,8.0,39.0,4.0,9.0,1.0,0.0,2.0
ottbszcdehwb6glnxfwktrhn5pqggzme,5.0,9.0,28.0,10.0,5.0,1.0,0.0,2.0
ovume74ywqjkifcte7fgqjp4xkewkgso,4.0,15.0,39.0,0.0,23.0,1.0,1.0,1.0
pv7rpa2sfoo7ykhblm76yn573gi36qe2,15.0,32.0,48.0,16.0,9.0,1.0,1.0,2.0
qnjzm737w525vocdew6qr67fddgwiyt7,10.0,8.0,15.0,9.0,17.0,1.0,1.0,2.0
ri3cg7rtysiffm33hnr7xg7c42mmpnfe,10.0,11.0,29.0,10.0,22.0,1.0,1.0,2.0
rnwl4ygueupdee5t5k3vg74iyvygxfqa,6.0,21.0,1.0,2.0,13.0,1.0,1.0,2.0
rqsw6czrelatlaouqe4s4xdlnuvs3dno,6.0,19.0,44.0,15.0,16.0,1.0,0.0,2.0
s4fz2jrn2ti6qnafrfiu6efdrdbbkkr3,0.0,17.0,22.0,16.0,25.0,1.0,1.0,1.0
sbx36pvv5i7ba5trkzvdygsftzfsn6iq,16.0,10.0,44.0,13.0,22.0,1.0,1.0,1.0
sc3w7gefz7vbmree6to2whnrunnjxdoq,0.0,16.0,14.0,8.0,14.0,1.0,0.0,0.0
sozwfjqauyvqjz7ub3chwcfgpdnyuzrs,8.0,33.0,7.0,3.0,1.0,1.0,1.0,1.0
sr77jpnorp5ikimmank3wuchtmm53m5y,11.0,2.0,8.0,1.0,9.0,1.0,0.0,2.0
t42kh32k6kc56s6o263n2l27pzpj5jeu,0.0,9.0,13.0,8.0,21.0,1.0,1.0,0.0
tcxv5zy2mc3firez5ke2m2s72od4l7hb,1.0,24.0,34.0,13.0,20.0,1.0,1.0,1.0
ugn2y5p3qw64gi3flypc34vgn7xk3xf5,5.0,31.0,11.0,13.0,9.0,1.0,0.0,2.0
upeffe2u466f4oq4r55bnpaag52ezker,10.0,6.0,34.0,5.0,14.0,1.0,0.0,2.0
uw4runn7b6ptkl7yurekw53lhc2coqo7,3.0,40.0,7.0,7.0,18.0,1.0,0.0,0.0
vwvwl6uet6qjyh7ri7ok77f6lxcryfvn,1.0,4.0,39.0,18.0,19.0,1.0,0.0,1.0
wuvjcqlt4xmegn6l4k2u25yf6tmurncb,4.0,12.0,42.0,4.0,0.0,1.0,1.0,1.0
xbztfwi32q7ry74whokcnw3lstvj3kwo,14.0,22.0,35.0,9.0,14.0,1.0,1.0,2.0
xeeieuuljbsj6i2znyheje27obdbrbjd,12.0,6.0,26.0,7.0,16.0,1.0,1.0,2.0
y6q4o6f5i4367vyfo3dnftnprf6hzhi5,12.0,5.0,36.0,4.0,5.0,1.0,1.0,2.0
yqpo42molb24c2hi56yzfdzgupej2pdm,6.0,9.0,27.0,10.0,21.0,1.0,1.0,2.0
zu3cyxufr2aednir7fwkveq6vhavy246,4.0,9.0,17.0,8.0,21.0,1.0,1.0,1.0
