,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
5wqqk6tqixyvx4dnhmincqxopnxihwmw,59.0,1.0,13.0,12.0,52.0,5.0
5x5k4kzlfugjxgz32bvpwtpx3hyvka57,23.0,2.0,7.0,8.0,27.0,1.0
65e2wtwqmoqjfdx5fyogjly5uu5nyvjd,9.0,0.0,16.0,4.0,81.0,7.0
6a6c5rw7xf2q6yls6pjte4kojvfbadmi,52.0,2.0,19.0,13.0,28.0,4.0
6fwip3oyeadcy2y5ffbo4y7e455pa3fy,15.0,2.0,20.0,4.0,12.0,13.0
6ke4silbioq7kgov465yuj24zixbz3fw,48.0,2.0,1.0,5.0,71.0,1.0
6ncrixlvwzqx3b3eav4pmfvgijmigd7a,20.0,2.0,19.0,5.0,17.0,3.0
6nyc3b2d43waaqagx23bfw4ftanggwqs,11.0,1.0,20.0,13.0,59.0,5.0
6oy5yrpn6hfezpnv5wmp43edpellsu5c,17.0,0.0,6.0,13.0,71.0,12.0
6r7aye65difrbftuzgqcgg37iljj3o42,14.0,0.0,17.0,13.0,70.0,14.0
6z436whejv6k3dzlil54u7qcath2ees4,15.0,2.0,9.0,5.0,3.0,13.0
76bfm4ibddjk473xzzxqya4a7x5pmxoz,25.0,0.0,14.0,11.0,24.0,9.0
76zh33itdsou3tlb6bhwvhbs7ck7bw72,25.0,2.0,0.0,3.0,69.0,13.0
77jaj4uq6ywj3u6oyqmdeycn7khlwhqx,65.0,2.0,7.0,12.0,71.0,1.0
7dg7czgok7dfo5a7j4j6a6pyzbctnysq,10.0,0.0,3.0,8.0,11.0,7.0
7e53hwbz75ouhizuwc6n4yz5jvi2h2yn,7.0,0.0,20.0,2.0,32.0,9.0
7fceag6mvpzmhnuqhfgt4oeifv52wg2g,55.0,2.0,0.0,7.0,74.0,1.0
7kf7admmc6bb4hdb6dugkbcfftyqyaqp,49.0,0.0,16.0,12.0,71.0,14.0
7lynwjutpt5dfqc7kqjcgroi6trrcmya,51.0,2.0,10.0,4.0,23.0,2.0
7mhre6yd5akli46s5cfwcm5wnxcmkfhb,1.0,2.0,19.0,9.0,16.0,3.0
7rcamq5i62k6q3njmof6m6cw63p2qbcu,31.0,0.0,20.0,5.0,65.0,7.0
7t6wg3t7tm5dkhvpt44q4aqok2nsuz2t,33.0,2.0,0.0,6.0,7.0,1.0
7uvd74lsnupwmxyadnsy674l6xxt4nwp,30.0,1.0,6.0,13.0,38.0,5.0
7uy5l6ro6xvtnfn3hf3okhcpxfr3rt2m,51.0,2.0,16.0,3.0,38.0,2.0
7xm7nim5do42qatx2vzddsdftedvours,49.0,0.0,0.0,13.0,8.0,8.0
a333w3fsrngtin773v7ljm5xihr7vbko,46.0,0.0,21.0,9.0,41.0,12.0
a3mxs4lt7poywzhkdts3aubv6ueqpm66,69.0,2.0,14.0,2.0,16.0,13.0
a4kp663y5tzk765rwdry4tfgafjxnz6t,10.0,1.0,19.0,5.0,41.0,5.0
abfvefuhj2burcykabuy23ugk2swbfh3,46.0,2.0,15.0,13.0,41.0,2.0
aemzspuv5rpqy5pwpmdlxh7zeiw744le,21.0,1.0,20.0,13.0,32.0,6.0
