,trilinos-version,openmpi-version,libfabric-version,openblas-version,hwloc-version,cmake-version,mpich-version
225mtrqy24bbgvgqjqlhktujfdg3xybe,12.14.1,absent,absent,0.3.14,1.9,3.18.4,3.1.1
2bdvy6ronoipsof5uvbivubapwbaiyvc,12.8.1,absent,absent,develop,1.11.10,3.17.0,3.1.4
2d3tobggi3okxpagi2vwl4gt5vkkjguh,13.0.0,absent,1.14.0,0.3.6,2.0.2,3.20.4,develop
2ffymc25rb5ctvcdnydof4dvuciame6o,12.6.2,absent,absent,0.3.13,1.11.7,3.19.3,3.1.3
2iueojtcbzeucbzinn5bvarqeze46dua,12.12.1,absent,absent,0.3.11,1.11.3,3.16.7,3.1.2
2p2lkds4q2kslut4tfyjmtrlbavt4tnn,13.0.1,absent,1.14.0,0.3.18,2.2.0,3.12.4,develop
2xpog36babr5xxqsk5nfi55oaav2m6lo,12.12.1,absent,absent,0.3.18,1.11.6,3.22.1,3.1.2
325hl66kljjtuxb7imx2obzy7hqunaxd,12.6.2,absent,1.14.0,0.3.17,2.4.1,3.20.2,3.3
3dybrcl63uybqlx6d7a547mkb7zthgj6,12.6.4,absent,absent,0.2.16,1.9,3.17.4,3.0.4
3fdewzrscebwfbo4yy6qwll7r5fr7mwc,13.0.1,absent,1.14.0,0.3.4,1.11.1,3.10.2,3.4.1
3yeo5xwzjvwfzpnc37qaijdqtrwpwvjh,12.6.4,absent,1.14.0,0.2.18,2.4.1,3.17.4,3.3.1
44azo4ukr34rv3wyx353w4czsa36wit2,13.0.1,absent,absent,0.3.7,2.1.0,3.20.4,3.1.3
45uxpq3bkyjbzoc4qy7nkpnivuotphkq,13.0.0,absent,absent,0.3.12,2.1.0,3.15.1,3.0.4
46qkp33i6gvzudvcrc2nngfvj5qzgocq,13.0.1,absent,1.14.0,0.3.12,1.11.8,3.14.2,develop
4azl2gpokux2u2s73pfnei5mwmc2hm7z,12.14.1,absent,1.14.0,develop,2.0.1,3.16.3,develop
4g4igzftdclgd6yhozpziqpnrdh6tfpx,12.6.3,absent,absent,0.3.4,1.11.7,3.9.6,3.1.4
4gchxewsdhb43h4rjdskhgwl6ssqfq64,13.0.1,3.1.6,absent,0.3.10,1.11.5,3.13.1,absent
4mkhq6u7mu5yr4veihruysgs6z5sxxxu,12.12.1,absent,1.14.0,0.2.16,2.3.0,3.10.0,3.3.1
4nyx44ybmrpyn7wmpiohpwfpdfnyjzlt,12.6.4,absent,absent,0.3.18,1.11.1,3.9.6,3.1.3
4ywg62ttw7dkzklzodjvsygd5yoo433c,13.0.0,absent,absent,0.3.18,2.2.0,3.19.4,3.1.3
5btrxton4nwxmecoivlynpvj7xbujplu,13.0.0,absent,absent,0.3.11,1.11.8,3.14.5,3.1
5xxfnzojwmdo34shqoiqdwt3sj45ah47,13.0.1,absent,1.14.0,0.3.6,1.11.10,3.13.2,3.3.2
6eua4xhb5omvy74kr6eek4snjljerqdi,12.12.1,absent,1.14.0,0.3.10,2.1.0,3.19.1,3.3.2
6pdcqibhcjavnfvhrp4kslwus24qzdnh,master,3.1.6,absent,0.3.18,1.11.12,3.17.4,absent
6rmaz2moacebc7xnsogtlimd4tgqcbnz,develop,absent,1.6.2,0.3.7,1.11.10,3.17.5,3.2.1
6vwwdvzrplemkoj4rpebddjnljaf4fpm,12.6.1,absent,1.14.0,0.2.16,2.3.0,3.19.0,3.4.1
7745i6pragunxikjmmojvzmhmyeopcjw,12.14.1,absent,absent,0.3.10,1.11.6,3.20.3,3.0.4
7aky4sgxbz4z2wogpkrplntz6dp7duhz,13.0.1,absent,absent,0.3.7,1.11.12,3.20.0,3.1.3
7ew37mz4fl47alw6sm43ks6opzqmx22j,12.8.1,absent,1.14.0,0.3.4,2.3.0,3.19.6,3.4
7lf3bvijat63yn34zye3ud6jxqrdynwr,12.10.1,absent,absent,0.3.13,1.11.3,3.10.0,3.1.3
7motc2boy2apxrapjvspm7a7hqeomhip,12.18.1,absent,absent,0.3.18,1.11.12,3.16.2,3.1.4
7u7ekaqzokdiac5benqe6cpynp3rkgsj,13.0.0,absent,absent,0.3.5,1.11.11,3.14.7,3.1.3
7ubq7lrbmhlwrhpxl4ysos6okom3q5eb,12.6.4,3.1.6,absent,0.3.10,1.11.10,3.3.1,absent
7ui4gwkopc7sztl44jkycin3ylgoi6kr,12.12.1,absent,1.14.0,0.2.18,2.5.0,3.19.7,3.4.1
7ylmgqy2kgpvqmigw3olswbgkkurhph3,12.14.1,4.1.2,absent,0.3.5,2.5.0,3.9.0,absent
a2nnul6off7wfihkjgwneuyvcbbtrhzm,13.0.0,absent,1.14.0,0.3.11,1.11.12,3.15.6,3.4
aae4dnqwnv72vfemdc5voqrxo3iierwa,13.0.0,absent,1.6.2,0.3.6,2.6.0,3.11.1,3.2.1
apa6tkcwencwx5ldmgd2v36dhwjeqbzu,13.0.0,absent,absent,0.3.6,2.5.0,3.14.0,3.1.2
azppgeq3mezb3i6jpypjnytdgt2ud64e,12.6.2,absent,absent,0.3.14,1.11.11,3.16.2,3.1
b76v6e3hwniqb7pdwoiwhba3qfairr2z,12.6.2,absent,1.14.0,0.3.12,2.6.0,3.21.2,develop
bhfbwubk3rcgtdgtvuarksxwmqvoralu,12.6.1,absent,absent,0.3.14,1.11.1,3.4.3,3.1
bqpdrgj5pf7dpxam4ccxpfv5rhm6bw6i,12.6.3,absent,1.6.2,0.2.18,1.9,3.10.0,3.2.1
bqurezgtg74g3xpsmkzcodgmfxnzbcfz,12.6.4,absent,1.14.0,develop,2.0.2,3.16.1,3.3
bx2yoxhb3jlw2y2evulnfkjguemrhjiz,13.0.1,absent,1.14.0,0.3.8,2.0.1,3.13.3,3.4.2
c5blc35xpb6wpvprot2uv7iswyuiuazz,12.8.1,absent,1.14.0,0.3.9,master,3.20.5,3.4
ccyme4rp6rsxxadk2oim7y2zuyytcswk,12.8.1,absent,1.14.0,0.3.9,2.6.0,3.21.1,3.3.2
ckon6qyqrpadzyrse2ta7jrly2wev447,12.6.3,absent,1.14.0,0.3.14,2.0.2,3.19.1,3.4.1
d2b3pestba5atc2lwjv7kvdcpazpqgxr,12.8.1,absent,1.14.0,0.2.19,2.0.1,3.18.6,3.3.2
d6p5eqwtpbvbbqpnndr72sqiu5oqpp4c,12.10.1,absent,1.14.0,0.3.18,2.1.0,3.20.3,3.3.1
dc6tzb2jysnhojqkib7oxhf7z7bpqtg3,12.6.1,4.1.2,absent,0.3.6,2.3.0,3.14.2,absent
dnerypifs5z7x7k34vndij7opdatjljk,12.6.4,absent,1.14.0,develop,2.6.0,3.9.0,3.3.1
dsgdu4rw3miyc7d3wic33rsfvkhex77e,13.0.1,absent,1.14.0,0.3.14,1.11.6,3.18.0,3.3.2
dvsnda7nsx6lltekg52r637ilvffq6ji,13.0.1,absent,1.14.0,0.3.17,2.3.0,3.20.0,3.3.2
eb4kxq3flu2fsum56gjws3z3oamwrlzl,12.10.1,absent,1.14.0,develop,1.9,3.11.2,develop
f5tt5oqehyed2tcrm5qdn2fkwr5pp33q,12.10.1,absent,1.14.0,0.3.10,master,3.13.2,3.3.1
f6fxfwy4xng3jb6jo2ihhrolqepxbohm,13.0.0,absent,absent,0.3.15,1.11.1,3.17.0,3.0.4
fibs2smlkl76jgtj7wniirzoivnfrmb6,12.14.1,4.1.2,absent,0.3.5,2.4.1,3.0.2,absent
fra57ia6ade6n7pny2b737u2lr63broc,13.0.1,absent,1.6.2,develop,1.11.4,3.14.6,3.2.1
ftfcg7fzjoomg73olfv2rd5h72ktnbfz,13.0.1,absent,1.6.2,0.3.9,1.11.9,3.19.2,3.2.1
ftgci6kmerkfcbpnoboebfdb2cmqqsda,13.0.1,absent,1.14.0,0.3.18,1.11.6,3.14.2,3.3.1
fzanr3ywqayhuedwyol64pbpf5k6olsx,12.6.3,absent,1.14.0,0.3.4,2.1.0,3.13.3,3.3
h6hh7cbrgasfsty4xwp4gxgx2sktmv7z,master,3.1.6,absent,0.3.8,1.11.13,3.17.5,absent
hif6tc5oefvi4tpeokou6ynrvncmljbf,12.14.1,4.1.2,absent,0.3.11,2.2.0,3.14.6,absent
ht53aisiwurn2rkm4bfkk22pmale7cmr,12.6.2,absent,1.14.0,0.3.17,2.2.0,3.7.1,develop
igheahry5kixnstoxulfdo7ytfif3jyo,12.6.2,absent,1.14.0,0.3.8,2.0.1,3.10.2,3.4.2
ika7bydod3obtddevai6462e34vmnhku,12.12.1,3.1.6,absent,0.3.17,1.11.11,3.14.3,absent
ilqw6ydjpwjgatah3nd5udsj6abasrc3,12.6.1,absent,absent,0.3.16,1.11.10,3.9.6,3.1
inytu2ojslbm6lrpvyq7f3r4wwz3y5ei,12.14.1,absent,1.14.0,0.3.14,2.0.1,3.8.2,3.4.1
iugqha256vl3fgndhy3eyuqh5brd6f5j,12.6.3,absent,absent,0.2.17,1.11.1,3.17.5,3.1.1
ixd7i2vqjag4ub5qfxbqqt7hv3gom5qr,develop,absent,1.14.0,0.2.19,1.11.11,3.17.5,3.4
ixwtbwxmgu6nfwsdircu56fsf3w3rk3k,12.18.1,absent,1.14.0,0.3.9,master,3.21.3,3.3.1
j7rdrn36a2lcxdmyqjtq75jil3tbrw5e,13.0.1,3.1.6,absent,0.3.13,1.11.3,3.13.3,absent
jbicy7ncodimbrf55kkr7sospw7addhx,12.6.4,absent,1.14.0,0.2.16,2.0.1,3.19.0,3.4
jf2aqcdowmsddx6bweegbmpbuhaeedv2,12.10.1,3.1.6,absent,0.2.19,1.11.12,3.8.2,absent
jnrtu75nxuppms3hivqnyficj4h2obbg,12.6.2,4.1.2,absent,0.3.12,2.4.1,3.5.0,absent
