,hypre-version,petsc-version,arpack-ng-version,slepc-version
2jgjjuewo2qlohik4yxohx6mp3oitm6p,2.0,12.0,6.0,10.0
3x3s6n43spvso3a5ucdqwvjakkay4gkh,2.0,11.0,5.0,9.0
4tqhnpcmcxr4exgngexzjzmcvxfrdsbl,1.0,7.0,6.0,7.0
6k6gurvy5yb7brhmcnxnujk25ci7c4wq,1.0,5.0,7.0,3.0
6m3txg4qidrkygibp3lpk5kmtowh4i2j,2.0,11.0,0.0,9.0
6u6sfilvswvmmiygkefsbbh4xnkghsmk,1.0,10.0,6.0,8.0
75ijekaxzypcajaux3awqfsmrcuabjp3,1.0,1.0,0.0,4.0
bnsccjclpf5ksjrbc64mrjjsvlahjk3e,1.0,10.0,2.0,8.0
crkw3frkjc4pb7cb72vy6ry5fkisguod,0.0,0.0,7.0,1.0
dcke7em7koxhhzffdvqyxpmrblcoecco,1.0,10.0,5.0,6.0
dflvpsrvyll3ztnkea7wuqss3gypxceg,1.0,5.0,5.0,5.0
fglvnppqnfffhjobcsk7ar4xnlhsxnrv,1.0,7.0,6.0,6.0
gxxl3du4hsbtsardp7zwdiycgcrawvgb,1.0,4.0,6.0,4.0
h4pwqt6rrqkc4k7njcqbhnzkvygxb3bn,1.0,10.0,0.0,6.0
hkcy2u264qxetmiaruau3h4sz6zw3myg,0.0,0.0,3.0,1.0
iajv6agthaars4a2l7omaeh2cztno7qv,1.0,3.0,6.0,3.0
ji6m5iy6ys5lu26tcgqfuje5ppwdaapi,1.0,1.0,5.0,5.0
jqs5kczk3vrg5mmt5tt5xtgxrwiihm7s,1.0,2.0,2.0,5.0
k7f3ykxftgdmlgh2umtim3bnhcfcmf5z,1.0,7.0,0.0,8.0
karyrp6zk4g5lut4mefjuoflpcluva2y,1.0,6.0,2.0,3.0
l4pnm3amx4snhp6ahkbmtwveghymh7tn,1.0,6.0,3.0,5.0
muxo6mgabnm7zp6mafb2tpuscl2wrfv4,0.0,0.0,5.0,2.0
n4fhozt32vcp377muxbiwjnfpe56c77g,1.0,4.0,6.0,3.0
nn5cdv7g7iabpzbousoj342d7pwjzwtt,1.0,5.0,2.0,5.0
o7wf7evvex6aqgy46rglvbteb7lfuaji,0.0,0.0,0.0,1.0
ql5m26bag3tnoufaldetaeiklmloywxq,2.0,12.0,7.0,10.0
qrjhrxdoq5xzxefrz3277t4plb2qqbmi,1.0,6.0,6.0,4.0
rvkkg4gd2jgurzdnlpdvqls3v4hx3iwv,0.0,0.0,1.0,2.0
tx7fhcf3fayixjja44sqtavvhykjolsv,1.0,1.0,3.0,5.0
u3jwe2oq2tv4xirjy6uvbdpooxsbl4pa,2.0,11.0,6.0,10.0
yd7vltkuijuvwwn4ntszhnvux4kmjtyr,0.0,0.0,1.0,0.0
yht5elctyiiwj65aomx3kse5nl7sidpe,1.0,8.0,4.0,6.0
zd2b7mso6meit25wenoq7q63jgmy6nxd,1.0,9.0,6.0,8.0
