,mercury-version,cmake-version,boost-version
7w6ctvqhkbxhrtxtd6y2ymwdnwvapzoq,5.0,44.0,19.0
7xx4xdwvusrdg4lvucmjju44on7vslzo,0.0,78.0,12.0
7ymuz77ak6gv37fxawkqlqfhdpl3ezqc,3.0,1.0,4.0
a2nmsrgsrzkpo7gpsnrdi6chsw3qfisx,4.0,48.0,11.0
a3eo5ccb2tlhtkyopwrvispoupylvums,3.0,70.0,7.0
a3uut5yijeiyzizxvs5nyup3vyubaunh,2.0,17.0,2.0
a4vmklyh5mkbhi4n24dp4oyze2qlvgwl,5.0,41.0,30.0
a5ifoqaypfxhd5kfekcxp2v3atvh5xl5,0.0,26.0,28.0
a7v6riphvdkj2ipkod5nxn35ws4angq5,6.0,45.0,27.0
aecpdy2jcnppgevr6krrcbag67agxrjk,4.0,4.0,0.0
aeoaujiwbo5tvxj6zmidwtylgbv7zfjf,4.0,71.0,8.0
ahvpkhm44si2amz4k6jgufpkj3aalrsb,0.0,74.0,12.0
aj2fbs2l2rudxdnaj73shjpsjteftg5v,6.0,77.0,11.0
ak4rixx54ysgtxyqa5qpqzbirdgan56b,0.0,38.0,16.0
akzpfcq7fd3webeojswy6uj7g4ic4hqx,1.0,60.0,22.0
am2suohsb55k6npume3iuxoogiwotijh,6.0,77.0,1.0
amr7bp44d26styvxiyji5o3bpzwgdkou,1.0,49.0,18.0
ank6vwdl3rfv6wjqesrhzohc57ug4g5x,2.0,95.0,14.0
ap7t3vt3otgxl3p2bhguutcpt5qmaazi,5.0,15.0,26.0
atdjnrwofc7parpzxqknoxucuesqdwof,2.0,25.0,25.0
atnojjgr4z55gksjiglonfpomdlpgqpq,6.0,39.0,14.0
aume3cagy2qg3v5nkfffb6n52mp34azs,1.0,83.0,30.0
auo4mffgdwxxs3elpt3cbainqz77moiz,4.0,32.0,12.0
avkw7hgc2gf57nzayaagk33ixoalktlk,3.0,35.0,14.0
b2fcf7ch4dsuliesqr2faczhcnmo5u55,2.0,14.0,26.0
b4w3jugkm3vgjb4aoltmjlzh4mj7fxc2,4.0,15.0,28.0
b6nb5oxsmlvu6wyudfloyvksfyiiruxk,0.0,3.0,2.0
bci4fgj6hffxhzs5ci73vdtgzcrepsey,3.0,84.0,1.0
bclg5kcog4p6ddpj4fr5ksolvnq6qb5o,2.0,58.0,22.0
bdyjryetv2swv4cmdursqyuiwldkf3f7,1.0,29.0,15.0
bgikoanlcbsb6yzxupckz5mwlbjitw3t,2.0,13.0,9.0
bhhisivihxsvaci6wtxm35ci6lecnbmn,6.0,53.0,29.0
bikbvuzyzn27b244p2cbsre5e7eztp63,0.0,51.0,30.0
bjibhdgxxbpqdpexbiorrbngws66jtf7,1.0,47.0,20.0
blfdvtu7uywdoyj3kkc7jtv4pghbb5td,4.0,59.0,13.0
blzpz2u7ggko4dzeuxbnl3kcnpmp7i7a,1.0,45.0,23.0
bp5dckhbqj4lie6avg4eu5b5s4xg3y6g,3.0,26.0,18.0
bqepfavi32rc536g4bllqxqedgo6i2kt,2.0,15.0,17.0
bsatvjjnfrbcgriy6iwjj3cc6snyjes7,1.0,54.0,11.0
bsoqapcfy6oxowgzpww2tzvvtk2327xi,1.0,48.0,25.0
bvseghy567yttgufum7omg4fblixlao3,1.0,58.0,7.0
byp3wqdqszoftkfofgc52fdxbosbmal5,2.0,68.0,25.0
c3vihgq2o3jz73gkzhqf63ivhlzowsdc,4.0,7.0,30.0
c55ufgjlpeteetpnvqjqa6ebjth7ybf7,1.0,42.0,25.0
c5rci4a7jza6buose475e3n2d22ymehn,1.0,41.0,5.0
cb3qgxo77evmjsywt4u4m4nftewsaluk,2.0,22.0,13.0
cb4mdkk7427p5qywr3nplznwfs35d6qk,5.0,52.0,19.0
ccepul62wjbfao7jvnppgaxbt5g36n4u,0.0,95.0,4.0
cd66ns2l6x2cwp3pevqjhsxpv5i73o24,5.0,22.0,19.0
cgql72ndb6gkfunpud5pvjnxxuycachm,2.0,94.0,18.0
cheawuqwatyomu7fudciasyp7zboxsxa,1.0,20.0,5.0
cl5gnb2yxleveurf7pyfgy37b7j7paxq,1.0,82.0,1.0
clinm2kmcxzc3nr7zhacxuuek5dab3zx,3.0,63.0,26.0
cmxpglmrr6lxb4guinylnqrpa24numli,5.0,43.0,11.0
cn4lwspsnzthjf6hz7i4jy66hlc32nmv,1.0,11.0,21.0
cncoiegzrhhagjkvcf723v5lafi3tx2r,1.0,48.0,9.0
cnj43zpmtb3tmxz6ndakvqfp46trvywx,6.0,41.0,15.0
coq3mydasm54kellrmop34adscz7sur6,0.0,17.0,26.0
cya4mtdwff3mgfkhd7n72zubcd67b7g2,0.0,60.0,1.0
cyyskjtdadq7iy4pdarku6cv5yfsv6rq,6.0,70.0,6.0
d442m7wocp2stpalalvkzkdqpss6sfco,3.0,78.0,16.0
d6josiuknkumdmmejtenfpdskb6zm26w,1.0,95.0,2.0
d6oaquttwl5yq6pyi2hazsx6l7ldzsf3,5.0,85.0,0.0
d7ps74kud5xbdbjvvmnu6wt6tywqzaij,3.0,48.0,11.0
dabybggk5izlcjb6y7e34svq3nb4nhpe,2.0,92.0,13.0
dbzra4ztivm54nmmxoo2o2ztyl6kfzf7,2.0,90.0,13.0
dcg7jxixhm2vwzukvkhrykplho4bk4gd,3.0,47.0,23.0
deaujnvlkgsmnxxnydvra2f2o6n232zm,6.0,11.0,6.0
dhqbqqikzqxmuqtnuxh6c7mysncckzcw,3.0,33.0,15.0
dlc7llr4dh6i3yzz4k6awfme6szpboat,4.0,74.0,10.0
dmhs4e6265xvsnaizpgdicxk4lts2adw,5.0,78.0,9.0
dopucdm7gfc4h3iuudkkf4ub44oyeawp,3.0,76.0,2.0
dxen5rrleuuxszut2lhvsl7efrge3u3c,1.0,8.0,26.0
dy6cw7huogrm6byjwa4sqfynnj3igrwj,2.0,40.0,24.0
dytjyekjx3mt6253w3uku67ij46ls3lr,3.0,12.0,22.0
dywwlbiek32wjdbykzutmimwafnqemxi,6.0,71.0,1.0
e2pqnther2zknszld77budtllckxmqyn,1.0,9.0,27.0
e3ipolvnou65qbao2nmgvjocso6dzg5y,1.0,74.0,13.0
e4ft5uvltzawlmganzdjuc4xzvw2p733,1.0,85.0,5.0
e5fx7gvhkzydo6g7zoev7hotz3cve3cb,1.0,6.0,20.0
e5zijqegz7w3xl2cbw4el7gq4upcbaj2,1.0,52.0,29.0
ea3pvg7id5lpxjzsvzsrtsqf2fzqjdxu,2.0,90.0,16.0
ebwrxnjh2q7e7zzlqtlokcpa7anfhynm,4.0,95.0,15.0
eha7hjpyu5wfgfxrrs3wtx4iatcirmx3,0.0,92.0,0.0
ept7ezeuy6yj5p2iuikjavylrg3we6gg,4.0,55.0,1.0
etxyg4doppznskul3y2ljce6jcjsdjv7,0.0,46.0,11.0
eu6txbiniy3ibjot5axdxkexud43zj5w,1.0,65.0,3.0
eunoaid7lcai5vwwz4oohmamxb2aa642,3.0,46.0,2.0
ev5qtltaxcmvkv3eev74ncpsbhadxhdi,5.0,47.0,21.0
ewafalg7h56bhb6qo4zj3rh4ky5p5wu5,5.0,90.0,13.0
ewsbme2mvzqhm4sh4donzebxczw6t55t,1.0,18.0,26.0
ex63ujpq5jtqnijt37caxjsmkymyu73u,6.0,67.0,4.0
exgelau2snftkkh2tdmkniuqhd34f2to,1.0,51.0,20.0
exjuhqc3svbzznpe4sawrymvlyt4mpue,1.0,29.0,29.0
f27nurikvwwfm5dz6xz3yx2x4o2u55yl,3.0,33.0,10.0
f2rdj54epehbb2hfflqpwpugvrnvffcw,6.0,27.0,3.0
f5eyqeyarl6yp2boov2hlzjqf3krb2r3,2.0,21.0,12.0
f7s6snnevlqetedtkvoyviyud4fyg2sm,6.0,57.0,26.0
fabuzap75glqjcasfkhzyjilloe7tjfh,6.0,29.0,11.0
faufyahr6u2keojzpeoqc55qagglycyl,1.0,29.0,25.0
fczaihwk74sjtpifajvsxfzdsghjxiea,3.0,15.0,27.0
fgxpsrzbfpruhnxqswkdgycp237hd2e2,1.0,27.0,30.0
flsdcf65yllsvorppxwdy7ijleq455su,6.0,42.0,19.0
focs64zvgfbwksz5djqh77ljaneupuae,1.0,61.0,15.0
fog34wmjw5njbo6uz2h2xabrkfinpbok,6.0,21.0,14.0
fpkrwo37tyooili45564ihrxdidc7li5,5.0,55.0,29.0
fqjddzptllcrqabbray3evzqtg2q3ylt,1.0,69.0,5.0
fr5riyo7lcmqsz7ddxwei6mo4ihbhrc3,0.0,36.0,29.0
fujcvnz6n5qpcyzzhxgtqtzoplwfj2t6,0.0,34.0,27.0
fwlvrvdg2lmww3zyjudzlqkiv62nrghw,6.0,81.0,17.0
g3dlz6hzb4xgkur5ogpgmmxh7if5uhvw,0.0,39.0,27.0
g3qjw4iss5deyqcwzsmwu6qxmrrqzvrz,4.0,91.0,19.0
g4speevkqf3ujcq4pe6z6kxc5ob7lvlv,6.0,14.0,21.0
g5tymvkseoqgv3ame3lgxnfzpevuzpph,6.0,89.0,22.0
gfupkilqtluetyfn7bolziwv7thhkweu,2.0,53.0,19.0
gjuhjkby3fqr26eyqkrqmo3hmz4vjge2,1.0,61.0,27.0
gjxznwrvazpvothbbpdrxeobomyxiewj,2.0,64.0,25.0
gplbyfwflgu7msjy7a62qjcyrhqwlgdt,0.0,28.0,30.0
gpubqxut7kqo2hlrpv6xge5vce3sessh,1.0,69.0,21.0
gt2a4cthmcphadebcnaqrbmjseiqhcm2,5.0,38.0,25.0
h26ivgili47hhpl6g6i7mjddtiudmuz2,1.0,12.0,21.0
h2dv2vcngvfa6bviypkz53kujtnvr3de,4.0,36.0,27.0
h2gatx3yrmnqgkacqtbgb2fa2mb2p6fo,5.0,83.0,12.0
h4tdlsqzl5xsqxd3fgbyn4rbwqvgjjvk,5.0,50.0,23.0
hd7udof5hac3mgeuvnkfxbzlnzwjwaaa,3.0,30.0,0.0
hdyrsz2y6ab2eozhhof2bxqrayl6zpyl,3.0,64.0,11.0
he2lzvz3l6m4n6f4atgjsotqzwvmlwbt,0.0,46.0,6.0
hh5ej6ae3xymsa2ddb5ircmicfddaad4,4.0,10.0,2.0
hnps2t5tuaojjaok76iu7hvlubuau7s5,4.0,32.0,7.0
hp5zoal3mrdeu2jbi4ch4tqfslgngp5e,5.0,65.0,8.0
hpd4b6vmwmyfi4oq3eauxe64mwwm3sfo,1.0,33.0,27.0
hqzv2cqohyn5ttqwtlasfam57hxyh3lz,0.0,28.0,22.0
hsjnbppd3cry4c7dx4bs7lydpccidjou,1.0,87.0,16.0
hspnvzlvurwoslnz3c4453htd3yovtv2,0.0,72.0,18.0
htwsk3iyus64bc7wwwbhpzuoqfz6i7ub,0.0,97.0,23.0
hvv3to7liyhlnws76o4eglfg4lmnvzww,3.0,21.0,8.0
hw3i6jfirhl6xueztyjafz2sian64sue,1.0,36.0,0.0
hxmlxbw42fd5mksvtnt2d32tzei2plbo,4.0,42.0,2.0
hxrpjjxcws2gkpofsowkzyojyznq3d77,2.0,71.0,11.0
i2qx354o3tm2eb44zjfzjrctly2bv2go,5.0,63.0,17.0
i4loqz3etegsyvrvxx5rcm75k7mifrtb,0.0,33.0,12.0
i5zch3dqjvg7r4u2yld64iv75g6nr2da,5.0,38.0,26.0
i7q632jtuwbkxtlji47hubeaklaxc665,5.0,43.0,22.0
ibu3w74wze3td76byaciwntcz5lxikr6,4.0,6.0,15.0
icnqiyl2vym6nbp2fk47nlqowdd2ri55,0.0,41.0,11.0
ictvvadu3azabzy56imjnphn7lvm2svy,5.0,68.0,1.0
idvfgiszzsews3vuxj736rdacb766god,1.0,27.0,6.0
igdl7h7dnmp6lswleadgf3dfqyfhbb4j,1.0,67.0,25.0
ih6p7yc7jd32seotnr2lmk2kf4aafwvf,0.0,51.0,21.0
ili7gxqi75e3n6bdwuycwgecobwoqpig,2.0,56.0,0.0
irv2vk6k6ih3v6sc73bpxqhxxv3ecdp3,0.0,57.0,28.0
iubgzk3d52py5micx6dhxrceizgnblzb,2.0,71.0,28.0
j324u5lmizb7yhv76dbtqdvkd7n7ppvq,6.0,4.0,24.0
j36vxagp5tid5em2gvu2v7ofvmu3sxqp,4.0,20.0,0.0
j5zjivnu5lfkzudcejg2c7uv2ki4limc,2.0,3.0,4.0
ja35w6xba7xpcx2ji45gjhizsjb63slr,1.0,31.0,8.0
ja4g5wiovpgivdtfugrjvwrh5n5re6pt,2.0,29.0,25.0
jc4xhhfkeqqlgsbtdp7qoiyuegu5hqhu,2.0,31.0,21.0
jfzazarrok6zidwcsafutl4cppwiyxyg,2.0,10.0,12.0
jgx6ocr64d7guqhncwxghlbozsiswf3t,3.0,14.0,29.0
jhcevtu75rdvhau3ru5qmh6vk5fwi2ud,4.0,85.0,18.0
jmkjhpkqbjovaczeimlqfhl7tu47vumi,4.0,45.0,30.0
jn36d7w6mkoqyxgiofzu7o3c2ah66lpv,3.0,63.0,0.0
jo6vnc3ejk7xyhpggfjuxzocsztlhcak,4.0,41.0,7.0
jobd7vwb4tlpurblttaskatq5kuwtxi5,3.0,0.0,18.0
jz3aqo4bh5dun7kglzw5naf7e5qdoc4g,1.0,82.0,5.0
k3qjhfyf4to5n424v457a44hzg5wngfr,4.0,93.0,10.0
k3u77aqz3w3xqskeykuqlzpegcfouphn,1.0,26.0,26.0
kbxdkll6t6k5yxpuqaoq7n5aby5nqpop,3.0,81.0,17.0
kdod3t27yv7pdr3ingfyxbw2r6aqo6rl,2.0,18.0,4.0
kduusajzqf3u6rcfziqh7dmhwiris7xy,1.0,54.0,6.0
kex2buduhqp4qyyghbvqg6nt3rkeakba,3.0,59.0,14.0
kignglzbpczdfuwv62p7mlut7fwhkz2r,1.0,9.0,6.0
kjyccjrkuhcrmth5fnez4wfhuymfisud,4.0,77.0,2.0
km6qudc4ds2lvj7kbh7jhhip7flzprfl,3.0,46.0,9.0
kmnthlf66vgralqfpgr4ulrhxffnwrr2,0.0,23.0,28.0
koor4woowsrjlytddqbg3zzrtiibusqv,3.0,5.0,10.0
kqcjq777n7uqii6znhggrxqps3xowhtf,6.0,47.0,11.0
kqg4ahh3qrja5pl7r53sdxn5baz6spow,3.0,17.0,2.0
kv4hif57hio5riszcxmbq2z2kvpulfea,0.0,50.0,22.0
kv5sdum75gq5y4l3ttgo3lgz2f4avv6b,5.0,20.0,10.0
