,qt-version,qwt-version
5e6f5q3cn6vcmopfsjcjbftvkm5jcrpo,4.8.7,6.1.6
7gb4k5lu364imsdpbov5cwg354yxgttg,5.6.3,6.1.4
bvzues43jjhtf7umrie4utstihrw5vgt,5.6.3,6.1.3
d6kyp57k64t63342g2revcqcfofgvusn,5.9.9,6.1.6
eue3j22q4bfdiogmjcl53vv5s5cwa4au,5.12.10,6.1.3
gbiqirxogszii2m5pszadhyen7vouccx,5.14.2,6.1.3
gp7xshprclrao4joytxjpbqarxsro76p,4.8.6,6.1.3
h6sfwu4oucet6yi7s7vdaeuocglbsodn,5.12.10,6.1.4
h77l7vxi3bcvhjlk5dmaf67bto4gfuad,4.8.6,6.1.6
hfvyzl5nlfgde3ygjb6uakcafe6twebc,5.14.2,6.1.6
j2nsnm5bxpnwtdfcodrkxei5ro3eu42j,4.8.5,6.1.3
naokxenwcj2yihz4wv7nkhzcme5ivp4v,4.8.7,6.1.3
piql7yxrvcg4gsj4yneyqp743xi7n7jh,4.8.5,6.1.6
quoa6snoa4ntxfpveq2q6diymorzkahz,4.8.7,6.1.4
sc6ujqgnkjdcdstfei42sefejxzpacmu,5.9.9,6.1.3
var6lcjq7hmpvlarvjkswt3xfdlflxtv,5.9.9,6.1.4
wjy7pegjx5otqfd6pj43rcetagdpypnn,5.14.2,6.1.4
x4oucntt5cypb6sjwdig7akna6a34gc2,4.8.5,6.1.4
x5e6t5yp7b3qdpjjnlry7zhnzrg2mfsh,5.6.3,6.1.6
yhwyxc5bcgwazh7edofgb6se23o2c4h4,4.8.6,6.1.4
z42koj3ilfq32bhyqpkbbcixpolwelic,5.12.10,6.1.6
rpxzmbdqpe5c6xqdb56vfargk6qtaefz,4.8.5,5.2.2
yd7m2i3vrhswc7hmbksiwubri7az4scs,4.8.7,5.2.2
ze2a2oaqwrkvc6hbbortgpsrgtq37nsh,4.8.6,5.2.2
