,camp-version,lua-version,axom-version,umpire-version,conduit-version,raja-version,cmake-version
53wumx5izjys7d4zkjovgzu5rfevm6vc,1.0,5.0,4.0,6.0,4.0,6.0,31.0
6tuf3hufjwoyjg4pfno2x7jeasju7bvd,0.0,2.0,6.0,8.0,6.0,0.0,15.0
73wldrsgawh4jumqz4rifmx4myjfmfqz,0.0,6.0,4.0,3.0,5.0,4.0,8.0
cwckzhhj7pyzesjk3tt526smem75fcua,1.0,12.0,4.0,2.0,4.0,7.0,2.0
dhm3dyyzcgdcyp3cdex77xrh43a4zmob,0.0,12.0,6.0,9.0,6.0,5.0,32.0
25rdd4rpewl5u7wp6q4u74auo2zmr5bb,1.0,9.0,7.0,1.0,6.0,6.0,26.0
2uwqqcjaz2csrwklkixakovmrq4jknru,0.0,3.0,1.0,9.0,5.0,0.0,14.0
3lzwu47ugnzxeypydgieasgs7rxl3qkb,1.0,9.0,5.0,1.0,1.0,6.0,11.0
3xjhp6tsgzimug6tiiablgevyg7d4euk,2.0,6.0,1.0,4.0,2.0,1.0,27.0
57ye7byiersgtahnspqd2umydn2zcpkh,2.0,0.0,0.0,3.0,5.0,1.0,27.0
5djzgrqd5ar7k3r5pfbqpv547pxi4sil,1.0,10.0,6.0,4.0,8.0,7.0,30.0
5mea4et6jfvqj3exxpibggrq374v24hn,0.0,7.0,8.0,8.0,4.0,3.0,9.0
6kufjelgo3gkvyrpmn7k3brc56rffev6,1.0,5.0,6.0,6.0,6.0,8.0,18.0
6rrvlzucv65tg6ewa4iebpad6nuyugq7,1.0,10.0,6.0,7.0,5.0,6.0,24.0
awwlkboc6aopcxeonbbdqfd7tmzcw5an,0.0,11.0,4.0,6.0,0.0,3.0,10.0
bq5fattzvpa74pnmgwle45l43couvxtb,0.0,12.0,8.0,5.0,6.0,4.0,21.0
bt2iriewj7ypctl3pteljxv2yvzwxsav,0.0,0.0,3.0,9.0,5.0,1.0,4.0
ec3ioojwydawvl7ek2gpsvktsrzhpoe3,1.0,7.0,7.0,7.0,4.0,6.0,30.0
edbi55e6uq26l372tqmivsl5loty66k6,2.0,12.0,0.0,0.0,5.0,1.0,30.0
gcrynku3gtsg4ggukxytuoarbvxpxwai,1.0,7.0,6.0,0.0,8.0,6.0,28.0
gdnuiva2ynfdexrhnnkqohficon5fyhp,1.0,6.0,3.0,3.0,5.0,6.0,29.0
h5fxypc4w4mplcna5maczlwituwqygac,0.0,7.0,2.0,7.0,0.0,5.0,26.0
hcggge5b7q6dnfksj7e7j3ctxy2soxtn,1.0,3.0,6.0,0.0,4.0,8.0,17.0
i3z4o7i27tfkjkhppnxwpokz7tow72q5,2.0,12.0,5.0,3.0,0.0,2.0,33.0
ia5szrr2vured4bhwvscrseh3xkhqsh6,1.0,5.0,3.0,0.0,2.0,7.0,27.0
ievv5skwmykugz2r6f7yhcpaqdg7rixv,0.0,1.0,2.0,9.0,3.0,5.0,3.0
iuodmkbgaoadij4wda4lzg4xqindmk52,1.0,8.0,2.0,7.0,3.0,6.0,20.0
jgiiopnuegz5nawtyyabu5ysv4skqbxo,0.0,7.0,0.0,9.0,3.0,1.0,25.0
jle3zx67o2wvttak2gh7okmfrqxouee4,2.0,0.0,0.0,6.0,4.0,1.0,0.0
kpmbwtxs6e6oassiiwatkfyqpu4i5izv,2.0,6.0,6.0,7.0,6.0,1.0,26.0
l63lujuxx3t5tqncom6bsqpn5fgktdwh,0.0,7.0,1.0,8.0,4.0,5.0,1.0
mytgrk5rgvtqgxhcs4cbihtlawtvta2v,0.0,5.0,6.0,1.0,5.0,3.0,20.0
n75q2oza25rrttqzo42jkb5ptw6xdsza,0.0,12.0,5.0,8.0,2.0,5.0,13.0
nfien3f3pu4gtb7o77q2hbsacitsjkon,1.0,2.0,0.0,0.0,5.0,7.0,16.0
nkmzpbglh3kkmw4bhr3zvt4ej3x2gixh,1.0,12.0,0.0,4.0,0.0,7.0,22.0
nubsp4yt5awsatpal453puhpiqpu7ptd,1.0,1.0,5.0,6.0,4.0,7.0,5.0
o2bygabu22xjs3an3lxb5caqavspoqxe,0.0,11.0,0.0,3.0,0.0,4.0,19.0
obyszidmg4hwpe7x24hd4qeoeytflql3,0.0,11.0,7.0,1.0,4.0,4.0,18.0
ogqdkzs4putbbdoui2iy76owovforqyw,2.0,3.0,4.0,4.0,2.0,1.0,28.0
powzep4r4syf4g4eknyooxflaupy4ooo,0.0,12.0,2.0,0.0,5.0,3.0,22.0
psgnxucxi4l6fdwxfzsnbgnsyoyiaov4,1.0,8.0,6.0,2.0,8.0,6.0,11.0
q3mvlvbgp3h4jjaufdzvf7767vttkpz7,2.0,3.0,3.0,0.0,5.0,0.0,7.0
qovb2zayxb575kcu5w77wpemygqwe4hy,1.0,6.0,4.0,1.0,1.0,7.0,11.0
qqlisbgetr3aadhnpozbr746skdeln6b,0.0,7.0,8.0,2.0,4.0,5.0,18.0
tcpsmwiqbnqh2giq3bder2svaqjl6t76,0.0,12.0,6.0,5.0,4.0,4.0,20.0
tfiabpieoyorvx6n4s4qjq4j36itl4nf,0.0,4.0,2.0,7.0,3.0,4.0,23.0
trt6lm2tnytkjaexwd47qxbhwzhwuhpl,2.0,6.0,8.0,2.0,7.0,0.0,27.0
vmhsaikr6z32eabml7cqqqgyiliu6szb,1.0,0.0,6.0,5.0,8.0,6.0,29.0
whrprzg2o77fqweqhtiqkiucls5nfjid,2.0,2.0,5.0,6.0,4.0,0.0,19.0
wrvnyru7qvz5v6h4sinvcl6gqi7vdra2,1.0,0.0,5.0,10.0,5.0,6.0,27.0
zd7cscfpx3ih2fhtvw7a6s3zac5kdyoi,0.0,12.0,8.0,2.0,4.0,5.0,12.0
znpn5tisurluuev7vjunt4m7dkzyxr2k,0.0,2.0,2.0,4.0,4.0,3.0,15.0
zuedqoqnhfvhfyn3pkd7qnthbgen2dum,0.0,6.0,6.0,7.0,4.0,4.0,6.0
