,libtool-version,autoconf-version,sparsehash-version,sqlite-version,bwa-version,automake-version,abyss-version,boost-version
24dw5dchv4ticjb3r6o5vfu6brjrx7bf,2.4.6,2.59,2.0.3,3.27.1,0.7.13,1.15,2.3.1,1.60.0
27zgnssqbiuocwoaqgcz55awpxn2wpv4,develop,2.62,2.0.3,3.35.5,0.7.17,1.16.2,2.3.1,1.65.1
2dmgjhxy6gam67upmgre2gcl3spmkghd,2.4.6,2.59,2.0.3,3.32.03,0.7.15,1.15.1,2.3.0,1.63.0
2oieh4lqoywxd7jhmvvjrwtn6awdy3nn,develop,2.59,2.0.3,3.28.0,0.7.15,1.16.2,2.0.2,1.58.0
2qi4znd4x6vlxawdcfvhlgpehpuh2jrp,develop,2.62,2.0.3,3.27.1,0.7.12,1.15.1,2.0.2,1.62.0
2surkbyyyk2zy4curijth2tygucd7zij,develop,2.62,2.0.3,3.30.0,0.7.17,1.16.1,2.2.5,1.56.0
2u3wji5x3e73fm6bzs7q6cwg73bxooak,2.4.6,2.62,2.0.3,3.27.0,0.7.17,1.16.3,2.3.0,1.73.0
34fmwxkrpjmq6wuyyxjwqiphoo4qsjo6,2.4.6,2.62,2.0.3,3.30.1,0.7.12,1.16.1,2.3.1,1.74.0
37fpf727v4lpfup3rtdbo7dfpiil5vg7,2.4.6,2.62,2.0.3,3.34.0,0.7.17,1.15,2.2.5,1.57.0
3dpf2qvo5ovgokcqjpkkupis72d7fxsd,2.4.6,2.69,2.0.3,3.30.1,0.7.17,1.16.1,2.1.4,1.74.0
3gsnbfj5rpepeqdr3rbz7t47bele6l4g,2.4.6,2.59,2.0.3,3.35.5,0.7.13,1.13.4,2.2.5,1.53.0
3m7svhpnwdzbmlpgjtevtccntb7twuv2,develop,2.62,2.0.3,3.34.0,0.7.13,1.16.1,2.3.1,develop
44rqf6kcuegl7hjfrt37pcgn6a72qu2v,2.4.6,2.59,2.0.3,3.32.03,0.7.13,1.15.1,2.0.2,1.53.0
4fsmampwtkahavco4jnvwsev7p4r4e44,2.4.6,2.62,2.0.3,3.35.3,0.7.15,1.16.3,2.2.5,1.60.0
4huuu27zzguplp2xevu72jvhtodoajoh,2.4.6,2.69,2.0.3,3.32.03,0.7.12,1.14.1,2.0.2,1.67.0
4oonaplf3p6tcow7jfr2jqnw5oaaj4fo,develop,2.69,2.0.3,3.35.3,0.7.17,1.15.1,2.1.4,1.58.0
4tz3l7fpaqt7du5hxzcgftyyy7ohjchu,develop,2.62,2.0.3,3.27.1,0.7.15,1.13.4,2.2.5,1.60.0
4yvgjerh7mwak544drdjwf7wb4quu3hx,2.4.6,2.69,2.0.3,3.28.0,0.7.15,1.14.1,2.1.4,1.71.0
52wlo44veygs2ymlthkxwgf7iga3bvxo,develop,2.69,2.0.3,3.28.0,0.7.13,1.16.3,2.1.4,1.67.0
5fif4tquaaasxt6qv7quaw4nlockpxzi,2.4.6,2.59,2.0.3,3.33.0,0.7.13,1.14.1,2.1.4,1.74.0
5h5e2hfnj4gnrmntr6sy3frbjjquvpds,develop,2.59,2.0.3,3.31.1,0.7.17,1.13.4,2.2.5,1.73.0
5ll26banlnpntownwyqgbszpfa6cwxle,develop,2.62,2.0.3,3.27.2,0.7.12,1.15,2.1.4,1.63.0
5vmucgfqfjnnxhizvahvy4pvspnuyrqm,2.4.6,2.59,2.0.3,3.31.1,0.7.13,1.13.4,2.0.2,1.75.0
6dftswfcahv45kuz7nt2sqs3csedmlyo,2.4.6,2.62,2.0.3,3.27.1,0.7.15,1.15.1,2.3.1,1.74.0
6qb47nqzo3kxswhuwvzsetczrjucsh2j,2.4.6,2.59,2.0.3,3.27.2,0.7.12,1.14.1,2.0.2,1.53.0
7cb4pubylgshexfmls47ebp7z6ttilwb,2.4.6,2.62,2.0.3,3.33.0,0.7.15,1.13.4,2.3.0,1.50.0
7m4cbwtpwhzscblyiyqe6shrowxsjm4w,develop,2.62,2.0.3,3.29.0,0.7.15,1.16.3,2.0.2,1.58.0
7qee2rwpmbopls66yrudklygzvjyelgf,develop,2.62,2.0.3,3.35.3,0.7.13,1.16.1,2.0.2,1.50.0
a6autjdhw6kz5up63apuilpaox3t5btx,2.4.6,2.69,2.0.3,3.27.2,0.7.13,1.15.1,2.1.4,1.59.0
ab6bpvklwagpxtefukynbmwajmvsjild,2.4.6,2.59,2.0.3,3.28.0,0.7.17,1.16.3,2.2.5,1.56.0
ajf4tu25rjbcibtki5xi6r6mps2bhbtx,develop,2.59,2.0.3,3.27.2,0.7.17,1.16.3,2.0.2,1.73.0
axjs3t7n7szzspplaodzuqr43aasl2gp,2.4.6,2.59,2.0.3,3.33.0,0.7.15,1.16.2,2.1.4,1.63.0
b45rvd34kgc3glmpqpdtgt5x3hlhdica,develop,2.62,2.0.3,3.30.1,0.7.17,1.14.1,2.1.4,1.56.0
b4fdyxkr7hram4iiswro3df6esyucfaf,develop,2.59,2.0.3,3.35.5,0.7.17,1.16.2,2.0.2,1.53.0
bignnbx4vy3rjcyzekhy6h5hptbultoq,2.4.6,2.69,2.0.3,3.34.0,0.7.12,1.15.1,2.3.1,1.62.0
bivp24ebu4r5yaxxytia5jjksh5sjrxi,develop,2.69,2.0.3,3.30.0,0.7.17,1.15,2.0.2,1.57.0
bt2ndxq2oejcruhu42p7vf2ge3xj4mjp,2.4.6,2.62,2.0.3,3.27.0,0.7.15,1.13.4,2.1.4,1.74.0
byoulicrchce2foz6kulvnq2gf3qj24l,2.4.6,2.59,2.0.3,3.31.1,0.7.12,1.15,2.1.4,1.59.0
cb4yuencuplpancpyozvjh2s7bw2uxhz,2.4.6,2.69,2.0.3,3.29.0,0.7.12,1.13.4,2.3.1,1.59.0
chltgfp6sjzteb4cvzehczbbmxo2yr4w,2.4.6,2.59,2.0.3,3.28.0,0.7.15,1.16.1,2.0.2,1.65.1
com5hi2kkr4jm5q5jfrvvczs7zajv4lj,develop,2.69,2.0.3,3.30.1,0.7.17,1.14.1,2.3.1,1.71.0
csdna3eavti4siaa5nmqpmwlqgbupyeb,develop,2.69,2.0.3,3.28.0,0.7.15,1.16.2,2.0.2,1.58.0
ctkhxs56ckqr6mt7pylvs7oz27dfr3fh,develop,2.69,2.0.3,3.26.0,0.7.12,1.13.4,2.2.5,1.59.0
cvqeh6m2bb6rgjaznt56awt2br3tupik,develop,2.59,2.0.3,3.27.0,0.7.12,1.16.2,2.0.2,1.65.1
