,umpire-version,camp-version,blt-version
2wdldfaj27yxb3dnjn4bje75gh7axruf,16.0,2.0,2.0
2yeahfcfsv56x6redgtmey67ilp6cbzp,12.0,2.0,1.0
3aiychebxxnqvtq3myideglnawkcao6n,27.0,1.0,4.0
3thlhmawrovufgtjzrivjjg4n2px2its,20.0,2.0,0.0
3x57mpyqsntpycvgvim7sjmrbywzllmw,12.0,2.0,2.0
4i5ar5qst3tvqqte3cbwsofzi5ualkgt,28.0,1.0,3.0
4kgj3t3t4j6zgb4y7z567n5gsl7vvdyq,18.0,2.0,3.0
4s6qefuztpockmohvpqh5kj765nr63jc,25.0,0.0,4.0
4tt4iikiixog5upqynajcc25hq4zmujy,14.0,2.0,1.0
5atotz2au2d7kxuyghr6f64zqzhzocqk,27.0,1.0,2.0
5zx7n4ggpcp33ke3vgq5qnwnkabnwigp,21.0,2.0,1.0
a6tk7sijngkfmjxw3ix7dtxnkes6ma33,14.0,2.0,4.0
bpi62cvit5jo7d5z52bkoensxtiodnnw,17.0,2.0,1.0
bsdotejfhkcjzwnbbrv26px75ntoq5o2,16.0,2.0,1.0
creiwmczqn5fbeogdb4m7mtbxjxqh4de,20.0,2.0,3.0
d3oaqihvraqkcr2yoynf5sed4f6jrw3i,21.0,2.0,2.0
dvwwsu3xsen74teoxoc4yaiodcu7kbnj,23.0,2.0,2.0
dyen6li5qzzmnfg2kggenvb36tbwqxea,12.0,2.0,0.0
gchnoglhd5y3trc5alokxfbblc72o7zz,26.0,1.0,2.0
h5uz2ehx3nzp2sjae27hdpttgfkc3on3,26.0,1.0,4.0
hegmgg57hfu776l5ois6sxwcu6f3q3fv,20.0,2.0,1.0
ietffogndydb5bdn5q444ivr6q7jhzy3,16.0,2.0,0.0
j773qm3upy6h6wqbrivf3uc63zjqt36y,23.0,2.0,4.0
jj4zcqoebu6v72ehcpzsgeqhvmbb4oig,25.0,0.0,2.0
jknl22mwzef4la7c3e57i4i5ekebvlh5,10.0,2.0,2.0
kzckhvm3vtxby3dvj7sant4ow4v3f2sc,23.0,2.0,1.0
lnj73vincrif22kreg7iydiwt4trn7kt,11.0,2.0,3.0
mcmxxgidwu5edx44lfdr4gdls7y2ypkq,11.0,2.0,0.0
mgxjt62zcpyvp7ssickbuibbcfjmzjj2,28.0,1.0,4.0
