,hypre-version,petsc-version,python-version,superlu-dist-version,hdf5-version,metis-version,parmetis-version,trilinos-version
34u2igpu3jd3u2tdv2lxg2ye72hwpzet,2.18.2,3.15.0,3.6.8,develop,1.10.0-patch1,5.1.0,4.0.3,absent
3jtwfv5ib6hxvxfpkjlya2atm52q67lp,2.14.0,3.13.0,2.7.14,develop,1.12.1,5.1.0,4.0.3,absent
573dd2bzfxwcgebxjk7t52s7bqchnrlq,2.18.0,3.13.5,3.6.8,6.0.0,1.8.16,5.1.0,4.0.3,absent
5lx4pthyav6yupuclwqhznwxed7dma5x,2.17.0,3.15.4,2.7.9,5.1.3,1.10.5,5.1.0,4.0.3,absent
6sxckvbexwpletqtj2fzyw4x4i2mb6o3,2.20.0,3.15.3,3.6.6,develop,1.8.16,5.1.0,4.0.3,absent
7wkel64ulllmqq2zreljpnhdznixdy6y,2.15.1,3.13.5,3.4.3,5.2.2,1.8.10,5.1.0,4.0.3,absent
e4dub7tdn7fiyi6kh23lrgjkao23svpn,2.15.0,3.15.1,2.7.10,develop,develop-1.8,5.1.0,4.0.3,absent
g2hznoqwlxfanwxajsmnukxfovjcfijn,2.18.0,3.14.5,3.7.5,develop,1.8.19,5.1.0,4.0.2,absent
gj5xqvd3vguh3iarwl2gd5oto2v5qzzo,2.18.1,3.13.1,3.8.11,5.1.3,1.12.0,5.1.0,4.0.3,absent
h2e2glnxtcoau74hyd6n55jab7vrogwk,2.17.0,3.14.3,3.6.12,6.3.0,1.8.18,5.1.0,4.0.2,absent
itpjcj5qoe2fkuo34nyvzri5r2hfj2kg,develop,3.16.0,2.7.12,7.1.1,1.8.12,5.1.0,4.0.3,absent
jx47zrxxijasij365eoek4mlfch7nhbh,2.18.2,3.15.0,3.9.5,5.0.0,develop-1.10,5.1.0,4.0.2,absent
kmngt2xumptl2qjokboxweza6c4x5gzz,2.15.1,3.15.0,3.5.7,5.0.0,develop-1.12,5.1.0,4.0.2,absent
oaw7xhpgygm37o2z363wcm3zqp7lykb5,2.18.1,3.16.2,3.6.13,5.1.0,1.10.3,5.1.0,4.0.3,absent
pzbo6g4ibv2vojluocjgn4ksgozloeqd,2.22.0,3.14.0,3.9.4,7.1.1,1.10.3,5.1.0,4.0.3,absent
pzsafers5lkzsherggmy6niuqrap7fmk,2.18.2,3.13.0,2.7.8,5.2.2,1.8.22,5.1.0,4.0.2,absent
qs4svzxqo6635254ue6x2hj22tuk6zxv,2.22.0,3.14.5,3.7.2,6.4.0,develop-1.10,5.1.0,4.0.2,absent
rejzm3nbr2nnoi4bk36qabfnxut7k2jw,2.16.0,3.14.6,3.8.4,6.1.1,1.8.14,5.1.0,4.0.3,absent
t6tzsm43ig4g3qz4wjzdhdq6ay6yip6r,2.18.2,3.13.3,3.6.6,develop,1.8.22,5.1.0,4.0.2,absent
texvbzrhcbndj5ykhwq3iyfcgmshrc7n,2.18.0,3.13.4,3.7.3,5.4.0,develop-1.12,5.1.0,4.0.3,absent
vvr62ufyizr4sanl2qzgzzmkt3e6b37n,2.18.2,3.13.0,3.8.11,7.1.1,1.12.1,5.1.0,4.0.2,absent
wb7kb7qjp465ebf2ukktjmsftc4siajv,2.18.2,3.13.4,3.7.2,5.3.0,1.8.18,5.1.0,4.0.3,absent
yabuw5igs7l5qineq53daos6el77w5se,2.14.0,3.13.6,3.7.10,5.3.0,1.8.21,5.1.0,4.0.3,absent
yx2sewy6xvozibik4dfol46o6y2ih6qq,2.17.0,3.13.3,3.5.3,5.1.3,develop-1.8,5.1.0,4.0.3,absent
z4qqurpfcgnhisurmfawws73npvwyvsr,2.15.0,3.14.2,3.5.10,7.1.0,1.8.10,5.1.0,4.0.2,absent
zknomduontwhhbw4xso7i2g343dxyu62,2.17.0,3.15.4,3.6.2,5.3.0,1.10.0,5.1.0,4.0.3,absent
3aer34eklhj25w3dqglzhfzivmk4tmqr,2.10.0b,3.14.4,3.7.4,develop,1.8.15,5.1.0,4.0.3,13.0.1
3n3oaucwp6gxil7njqovhwjre6gucrsn,2.18.0,3.16.0,3.7.4,6.2.0,1.8.21,5.1.0,4.0.2,absent
3qdlcwcppe53lfi5unn2smzculfdubib,2.11.1,3.11.2,3.5.1,6.0.0,1.8.15,5.1.0,4.0.3,13.0.0
3spao4fv6szo2fwi7orak7h3lnkmsbwj,2.11.1,3.7.5,2.7.17,5.4.0,1.10.1,5.1.0,4.0.3,13.0.0
3ycwuyhpvmap3dmpbiade562e4nm264z,2.20.0,3.13.5,3.9.6,6.1.1,1.8.15,5.1.0,4.0.3,13.0.1
472alx3tosvsx3rby4ydwuh324f2cahm,2.10.0b,3.15.2,3.4.3,5.4.0,1.12.1,5.1.0,4.0.3,13.0.0
4ijdxeechro2blhw7pffahpggngumnwm,2.15.1,3.11.2,3.6.14,5.1.3,1.10.8,5.1.0,4.0.3,absent
4znmpased3ab6zrj3mxa7orexb25zvm6,2.17.0,3.11.2,3.9.5,5.1.0,1.8.12,5.1.0,4.0.3,absent
5fqotsqttu2b7txculiedgorojyad7qn,2.15.0,3.16.0,3.6.14,7.1.0,1.10.1,5.1.0,4.0.2,absent
5zpjpcdr4tkx4fjbyjip4kgaxgnendw6,2.14.0,3.11.3,3.5.3,5.2.2,1.8.19,5.1.0,4.0.3,absent
62c6daqaqyjiot2ytsa4exeakgtdodeq,2.20.0,3.7.5,2.7.17,7.1.0,1.8.14,5.1.0,4.0.3,13.0.1
6assayng24kzsv75qnuz7nqabvi3clbe,2.12.1,3.10.2,2.7.12,6.4.0,1.10.8,5.1.0,4.0.2,13.0.1
6zyx2ebfb6gm7svzapbtdc4g5as6vhku,2.15.1,3.14.3,3.6.14,5.4.0,1.10.1,5.1.0,4.0.2,absent
bcb3cbmlzalcddydrkngkd3xtgrd5i6r,2.11.2,3.12.0,3.4.3,6.0.0,1.10.5,5.1.0,4.0.3,13.0.0
byxm45fscqr3nrluk2mnqubfisfaxhxn,2.23.0,3.16.2,3.7.7,6.1.0,1.10.8,5.1.0,4.0.2,absent
cgbj5tfstzmcme5joc3e3cxpbvptr64x,2.16.0,3.16.2,3.8.4,absent,1.10.0-patch1,4.0.3,absent,absent
ckpqrmutqhlulpasgz65ib6m5hfuzfua,2.23.0,3.14.2,3.8.9,develop,1.8.14,5.1.0,4.0.2,13.0.1
cqldqiqxfdiry4lg2titkbfof7jrunnt,2.12.1,3.8.0,2.7.8,develop,1.10.8,5.1.0,4.0.3,13.0.1
