,cmake-version,zfp-version
25a5bod4h3tsac7mnzquh5t46lgwxn3s,5.0,4.0
266eglj2qvv36axi2jisqje5oldin4ad,30.0,3.0
26etseborz2xzbdpt5ikqs53a4dmnrmg,65.0,4.0
2c6vxu3ki5p2yzuzlmzhdn3enjvlisfn,46.0,4.0
2dge2jod7pnbixtiku5x2ikvzc3ex33u,89.0,3.0
2gvwbpvpzqm42ns64ckkqnhd4emawoy4,0.0,0.0
2h3q24nsm7l26753q34zxvuvcxxitz4o,93.0,2.0
2itimcscovd3qnfdb6hqx4xbohzszrs4,34.0,5.0
2izy6hh5bjoqtdxnvpfkrwkwecfrdsr4,20.0,5.0
2j5e5wfb3b34msrioddpoizmpp2xryh5,41.0,3.0
2krvd5padrtaabsoggk6mgo4ci5fxomz,1.0,5.0
2o23qa7vr4jdi5k64rkttawwnjyv5yil,44.0,0.0
2rpmlzr4jaqq2swpziugbzpuquot2erx,20.0,4.0
2vpxdfxizhpbrl4xbdjijq2jnjrgxm6y,2.0,2.0
2wc5xccey72xu6ixouqbsasui6pwzpv6,64.0,1.0
2xdzdf4jbctwrbcvuw32qge4g52b2tbz,45.0,4.0
344fdbtr33mhwrbm2xr3kyt4ozpppgnz,40.0,5.0
346qoxnw7kjcm6xvenelw3dn2ujylxh4,22.0,5.0
34bowpd2lekwptbti2bs6kebloodh3il,30.0,1.0
34llhlksbsl6d7ljbqpqf3dxzwzy5uj3,51.0,4.0
37c4geca665rkaijjagzc6imtyfvkozo,68.0,0.0
3a3gy5jlmzy2cwn4prtl5gkiqviwnstj,94.0,5.0
3dwokeak4nnjmx4si7h6v5sfjdssmw2y,74.0,1.0
3eibrlzjqetk3hnpdyu4b32zjh2bfhqt,36.0,5.0
3erimyi3hq7f2rpniue4csf5vrelnhsw,1.0,4.0
3ihelpws4rts2u7cmp5rsowhvaqx3xwi,72.0,3.0
3iwxwfwr7xy5afe4gqmdfh2u5sk3gzvx,28.0,3.0
3jtgtt5xi5wkga3aarvozfp23vbur3di,58.0,2.0
3n4iyzmpalblhyu4vwuz7izxwuzrwp5n,84.0,0.0
3sbmjir4cb743eiduit2ngied63cb4n7,48.0,3.0
3srfzmk5ylyag72hnabznqeojcjhq2t7,56.0,0.0
3t65egkduoj4kto4ey25ubkfnqe4tmmy,33.0,5.0
3tkqtndg2rn4rqxbmim5r2bjfifcz6ng,47.0,2.0
