,automake-version,pcre-version,swig-version
2eily5twube2ugnoefaxrzv2v7ofrnqc,5.0,5.0,13.0
2h5gv222loxa76ggqh2nekkxiqv66c2p,7.0,1.0,0.0
2k46nhvzvn6q37t7wrrq6sjlx64cxvgf,2.0,0.0,11.0
2l55hy27lhax5kmhwtw562a4jxp7l55x,0.0,3.0,13.0
2lez2rcct3qoiie2rbcdeo335inf42dc,7.0,4.0,0.0
2waic5pz4jklnhgaspy4r232i3emviul,2.0,0.0,12.0
2x2be7hw2b6ov6uy6vuduenozdtu6s5d,7.0,6.0,10.0
2xehcv3l7i2xv7yzscubz3nfize4qenu,2.0,1.0,13.0
3axelgekw4ameylmstnwu72qak6qairs,4.0,2.0,12.0
3fn5gi23gairh5igwqzmdn6rthqlz6l6,2.0,3.0,13.0
3xlogtxlcch3j4j3dgjv44apipdr4ned,4.0,2.0,11.0
44bneqkindranloue3f6msp6zrr5goz7,6.0,0.0,11.0
44jklso6fsnwryg5itmatotovs2wfjap,2.0,3.0,11.0
4slmlv5qze4vdwvmdhs7i45pflxfv3j2,7.0,2.0,1.0
4slqr7d73o4quotff2o5hsyaj5anddiz,4.0,0.0,13.0
4tleivmzu7w2mecenintqohqkdsvpuue,7.0,0.0,8.0
4x4wpcag5uyx2cdo4t3t5tzhv3f62qq5,7.0,1.0,10.0
5dej7u4mnhhhubpdzulvkki4mjrm3n7q,4.0,3.0,12.0
5e57ko3rnumrh6sxiqyr3ialjnumzb26,5.0,2.0,11.0
5f2n54qwvuogfojamyyto4kwiqmxupy3,7.0,1.0,1.0
5pggr4yae4q6nxcjh7c6vlsfkwcgxqxi,1.0,0.0,11.0
5rnpp3bgwoueiacqbibnu52sdhleoosn,3.0,4.0,13.0
5xdnmymhwazje23uhclgfl42p572oo6w,0.0,4.0,11.0
6556zwzevy6itqg3fygicepghshlbxvg,7.0,6.0,6.0
6e2aewnpeyiopwn2ioub7bc6gsai3pdo,1.0,2.0,13.0
6lvyhnd3afdpvttnra5b2ckdvnrjhqxr,1.0,5.0,13.0
6ss6gg7k5e2lotjvy6kdfq6ql5qqj57b,7.0,6.0,1.0
6uhc24dhiu6qcbbddule62oxk5hpd4gl,6.0,5.0,12.0
6yjk4tb4zrkime2fuifasdjm6f3pwalz,7.0,2.0,3.0
7bci4xryswocjsihp7mj6yjaim77f2ox,4.0,3.0,13.0
7jhiifril5nllcay3zeokic5avuufons,5.0,6.0,11.0
7soirurjriyy2itw22qfwflxjcgzqlhj,7.0,0.0,0.0
7yhr55qiimmphloez6ry2et4qtk6klgq,5.0,1.0,11.0
adputmfwgkdgb7exospypt6r36orcmdf,7.0,5.0,1.0
ak4wkaifiqwjjeq2xubvzg3aq2e3dvun,7.0,5.0,2.0
ak7p2yxtdj6e2hihepqirzklqkxbtaij,5.0,3.0,12.0
akfgkp2p4ge4vmjwhcn4magocjb5f2in,5.0,0.0,12.0
ap2olasqqcwjsobhnomhum4cdqsuppjn,6.0,3.0,13.0
avew4ryveezorp3cmjcj75dv56ywo3nk,3.0,6.0,13.0
azk3c57i3ghcicy2xwebbhie6tlfop3c,5.0,4.0,13.0
bsg3vg3644x2f7ikvhxnzpobycv66cq2,7.0,5.0,0.0
bslq5lqxzvbwwtw5wei2brt3jurueokc,7.0,5.0,5.0
cd4wpi52oocrmzwgcuqhre3rrq6ljabf,0.0,6.0,11.0
cis2qtdqsetrthntedrzrqh6cfmirzs2,0.0,2.0,12.0
cobpsr4rgv4cpnrv6knzm3mitxmy2fjd,4.0,6.0,13.0
cpv5mnder7g6tb7ahxopklmaajhniike,3.0,1.0,12.0
cubdpfw3ry4lrhue64e2k5uzhigxmgnx,0.0,0.0,12.0
d2edtb4o4yaticxqwokxfi473ynfsfn6,3.0,5.0,12.0
d2ujaqmqkff7hx4nek55typkjok46qgh,7.0,6.0,2.0
d5k5qtzmhankph57uuxfrhziezf37wjd,7.0,3.0,9.0
de5qxb6sifj4knjwatwhs2mndtjqgm4m,0.0,2.0,11.0
dhal6v2r7dvsmr2evn5fmlwua54t3h4w,7.0,5.0,10.0
dkc35qbnrp3tieec2ggrkdlyog446q27,4.0,4.0,11.0
dpapnv63am2zreqltcf7urbgbcqnksle,1.0,3.0,11.0
duk7v575bfky62fg5jfvzbgjne7a2cje,7.0,6.0,9.0
e5voatmm4f3dj5yccbtmuw3tdrntplfh,3.0,0.0,13.0
ecdsax6s7d7pwxjjqow4v2ilkdhf5vvf,0.0,6.0,12.0
ekh5okijbhid53cbehb5cyx2qssoeoyt,4.0,1.0,13.0
er6abnyfd57n476lzadusuct67tdml3h,7.0,3.0,8.0
ey4uq3jjzwlto4zurywophuqi4ks6iiy,6.0,6.0,12.0
f3ekteaqffvetbyuif6ettagiuvx4ild,4.0,6.0,11.0
f5k7k45bdi5ahgltvc6gj6hpltjtb5ei,5.0,3.0,11.0
f7ydukzzr6tg37tqkj6wbq5rd3l7wufl,6.0,0.0,13.0
fepasj7udjg6gs3xtmogebq7vkol6epg,3.0,2.0,13.0
fgbn3irdi5tozbu67lgnoailqigvayks,7.0,4.0,7.0
fhn6ctlo5bixm7jd73na5o23kdwye4px,4.0,0.0,12.0
g5phuwxc6to5kjllegmozsewacfc4hdt,7.0,5.0,4.0
gg6o2l2yflfk4fybqpxvlizclfknr6so,1.0,3.0,12.0
ggq6ycki5mumveqszfiw5dy3sgzgepx2,7.0,2.0,4.0
gid5nfvcyhccaqd3dcmyaw4ywxnvqago,7.0,4.0,2.0
givuune3ras52lp6w4paliitbn5jsgcx,2.0,2.0,13.0
gp7skp3k3fnftwxfkuw65rfasquvnsn7,5.0,5.0,11.0
h43bbxxunfaajairu4ehlkj7sl4kpfvt,7.0,1.0,6.0
h7fq25tlet5tmt3lpq5yhjd5i47jdegq,7.0,5.0,3.0
