,parallel-netcdf-version,gdbm-version,libfabric-version,perl-version,mpich-version
2xk5ekgny5dtknrmuhg7be423jckbtuy,9.0,1.0,2.0,2.0,1.0
3m3mze5hg3xo3ofvdv4faw4ncq34mmc4,0.0,1.0,2.0,8.0,1.0
7p4nypogucfpdyfbij3v5jkznhttkq7u,8.0,1.0,2.0,2.0,4.0
bwv4c3wxtunjmec4mo7a36t522vkjmwt,3.0,1.0,0.0,4.0,10.0
d6ujuqevyt4i7gcgi3bxglcnlyno5sdp,8.0,1.0,1.0,1.0,5.0
dn5ip6btrc6p62yf4ldyuf4zacmowz4l,3.0,1.0,2.0,8.0,1.0
e2zp35ahd2bqmnikyzzmcjvixiohufk6,0.0,1.0,2.0,9.0,2.0
gv7u2jdtwrz3zqrcmngxzq5efa6jal5z,8.0,1.0,2.0,10.0,1.0
hdxpcqusodzrlvn6lud233qbbqixfdgf,6.0,1.0,2.0,6.0,0.0
hek4wedqk4exvdmkuguvdwl5brf7ao4o,4.0,1.0,0.0,7.0,9.0
imdfziousdmw4yir76wvbd2e3ostx4w7,5.0,0.0,0.0,0.0,11.0
iyenkzr36727grkem6wtfb5qj4bxph4i,5.0,0.0,0.0,0.0,10.0
jg6vwfm3c3h57g3couwfyzmohgj7xmgw,9.0,0.0,0.0,0.0,7.0
jmnu4x2cufisidknzw66nhct2try4ptq,7.0,1.0,2.0,10.0,3.0
mscwk4skv6vfd2ycetsuuzcaf3xixilj,5.0,1.0,1.0,11.0,5.0
ngyqbdgizu67jtkuoymsmkhqwo7cf5ub,3.0,1.0,0.0,7.0,10.0
po4yj6pq62cw7zex2jssv6zi3uqxgqh6,4.0,1.0,2.0,8.0,0.0
qxgbo34etdt62ykpu7ezst3uk5kj4624,7.0,1.0,0.0,7.0,8.0
rp6fhkxt6rmp4oht6kvdw55lorxnpwr4,3.0,1.0,0.0,3.0,9.0
savb3obv5i5vw7zra3cegokrfnqsd5js,5.0,1.0,0.0,9.0,11.0
uebbx7vbvpux4ctrf6jhu7cmdc5wzkce,5.0,0.0,0.0,0.0,12.0
urx4lx2jh3cgkzzcr6epvb2nycrmqcwd,5.0,1.0,1.0,11.0,6.0
w2jrfjk5pnhwqlayk2ze6jm32rnusfld,1.0,1.0,2.0,9.0,2.0
xgi7gib63nd4kh4dnhoqlpqafsswgir7,2.0,1.0,1.0,11.0,6.0
z5hkiu33j44bpellgk6athx23aenlrln,5.0,1.0,2.0,9.0,0.0
2hlg7z2wrh5i3ut5w4tpe36rfvatsdk7,2.0,1.0,1.0,5.0,5.0
2xcyejvpuqbjyq4iah2t33oavoszvzwb,2.0,1.0,1.0,10.0,5.0
lexionob4mc6424kdigabza34abptoxe,9.0,1.0,0.0,2.0,7.0
pbbdy777whi6ekxcemc4akpiwwor77gp,8.0,1.0,0.0,11.0,9.0
