,cmake-version,sz-version,zstd-version
227c7q7snlq2zbwuh5vvye2cd6jqcqmk,master,1.4.13.3,1.4.4
24ymd3cbjgk5einhlg5b5p4576hlol5p,3.16.6,1.4.13.2,1.4.0
25hy4vo65mclsyab4ajrszag3op56fxz,3.18.3,1.4.13.0,1.4.0
25v3vclpkkik2qxlgaogwal2wcwi67av,3.16.7,1.4.11.0,1.4.8
27f6bsuhceykmp63sr32v43rcuty2wx7,3.17.1,2.1.8.1,develop
2fixcer6ssrhxefp2mapxtpue7y2ivdq,3.19.2,1.4.11.1,1.4.8
2ij5omrks66glhti4vjaygv4bcfxkr6t,3.16.9,2.1.12,1.4.3
2kmhidr2xs4uzyrop7jfvuwmi7sp5qj6,3.15.0,1.4.13.2,1.4.8
2ltsn24u4myyytl5rapo7enc3czooavo,3.13.0,2.1.10,1.4.2
2qn5pfdpotq6o2t2hkb436mepmz2hv4e,3.20.4,2.1.8.3,1.4.0
2va57eicrklllgfpret5rknfpl7eops4,3.16.8,1.4.12.3,1.1.2
2xhaan3j45qo6eis4idfb5oj4zff6yfx,3.16.5,1.4.11.0,1.4.5
2xuvbmo2bhdvf2rgo4xzzrrchhxwtcgx,3.14.1,1.4.10.0,1.4.0
2yypr3guyx2oruokjolzdcjdya5tji6t,3.16.8,1.4.13.0,develop
2z6kgjou5r5pj43t6blflyiiinugpl2z,3.16.3,1.4.12.3,1.4.0
33lpghrmtmiwrcg2cbrucemmkokj5l35,3.16.7,1.4.9.2,1.4.4
34xm44qixrqkpks5bryjqqkm5nor6h26,3.20.0,2.1.10,1.4.8
3c4h7fmdb2uujyxefueo6elqpi3up6wb,3.16.3,2.1.11,1.3.0
3e6lm6e7vbnx7uigx2qgbwc2kfab2dfr,3.13.0,2.1.12,1.3.0
3ef75znyfk3hbtai7hue7olkrr7makxv,3.18.2,master,1.3.8
3hjs2cqfksdvq46dnrjzkjrljua7s2ya,3.19.8,1.4.11.0,1.5.0
3juvf2si7se2pdtgapvgdc633oca34qb,3.16.7,2.1.11.1,1.5.0
3llwibc6y5xrkhpd6yx2euqt5d2bbaqn,3.13.4,2.1.8.1,1.4.0
3lw5h3oodalinblaf5oxprae7ersq4ax,3.18.2,1.4.11.1,1.5.0
3moko7ze6rb6dcnemf3iv6c44xlpdam2,3.16.9,1.4.13.5,1.4.4
3oxlsagyabzhdjextowocfgjtnlksz5c,3.19.4,1.4.13.5,1.5.0
3p52oyxwzmz4envwvohuo47hhkmt6m3j,3.17.4,2.1.8.0,1.4.5
3pd7ou5wiuf7jojmea7yy6gpqk3nqnez,3.14.4,1.4.12.3,1.4.7
3sbmvgt4cqm5rqyk62csaydcaphs5pzu,3.14.7,1.4.10.0,develop
3smiocmgz5y6o6go4q7cbkzqfxmyvt6d,3.18.2,1.4.13.2,1.4.2
3tfntor7i3gtpjbpx2w7ic4eslzu2lre,3.16.4,1.4.13.3,1.4.3
