,cmake-version,kokkos-version
25smglra6ejs64nhm4ux2pmbnoavcaew,28.0,4.0
2aa2adrzfanc6cvwtu7eqous2b64htf7,63.0,7.0
2b5m3ug42xxkaddengujslyyb4y4ckx4,18.0,1.0
2ejrvjyevs6b4foaepuwsnp6oocyuscg,55.0,2.0
2hqetpb42xntrdenicp5lxny3imxl65x,23.0,0.0
2iydnuojtaxhtwjl2bsorolykawgem3c,49.0,3.0
2kwe7cgjtmv3tvhea7j7cgysvkexypjj,7.0,2.0
2le42aipxvbgztletamyzcvtkgpxc5d5,30.0,4.0
2msk57eb2mqqqgc57g5vqk2nic65q4st,41.0,7.0
2onmvohycul2z6nn333tsq45p6uyyvr3,69.0,7.0
2s372lgvw3dghfwldjs25v27mmgf7hk4,2.0,2.0
337kiihstpsizjxbvhmdlqr6axt5guy4,55.0,7.0
375j3r4qkb2q5jbkbgwmaegqnuq7nir7,60.0,6.0
3bakxjrv7ruqtnd5qcqh5ryywhvkgsxx,63.0,0.0
3d33rosd4qkxz6jvwxwnzuhzi2tjd5fd,46.0,6.0
3dgqpewvkdc2nmskb46mygzuuznyvpyy,40.0,4.0
3eewwvlor5dn5z3e56ydpklv3qcq6rsw,60.0,7.0
3f263xcojy6nyjfsz5i5m2touocrg3s3,64.0,2.0
3f3rpcmceawgztzthlxgx76in3hna2hq,62.0,6.0
3hzo3yupiyurzib37z6c3rbutezfn7yw,76.0,1.0
3hzxsi73nnh3l5z2eun2ulxpmwd5xkit,3.0,2.0
3ip4vfjfmoulrsinneix47kcjnv5t4cg,75.0,4.0
3oziouqmrhkq3dzmygog67ek7mulo6ew,0.0,2.0
3rw7u6sqesnphj5s22sie6vxzlgafxbw,9.0,0.0
3uhunkba7xfktest6mu3btbws3s6yggv,32.0,1.0
3uo6b7kbvowzo3lqde672f2gx3i6nccn,75.0,1.0
3vffrrgmodkxoizcxlcbnoqzuecijy5i,13.0,1.0
3yr5emuzu5dzgpkm6zwpc5bm3ba4go2u,59.0,7.0
3za5rx6c6so6dqvafrhic4ukwudpt2ee,69.0,2.0
3zfy7uzsjoiy3fqvwgjjrqdwau4fxqcm,19.0,0.0
42swm2f4mqeit4xpoajohsfhlbhf2ohg,78.0,5.0
43gz3yqgd2ue5schvba364kmave2evwh,23.0,1.0
43jc2tymanbpw5rdcwfwqm7u5llblpk3,78.0,1.0
44hlkdhabungxlndtun44uyoemmqtot7,58.0,7.0
4aog7hod742rka2gyseoccrewqetjuhz,4.0,4.0
4dlhsiyejp6wcj7rzhqwqf44adbfs567,62.0,7.0
4hgmfv4bn6plj54ens7zky7umoxcptwl,42.0,5.0
4lcooxtzkwbe53wkgp4m43g6x6goy5xx,72.0,2.0
4leps2xy4ew74hwldjk6ellhq6tusfis,67.0,7.0
4orrwaafwgwym7x4hc6xzywe7z2ccbcx,67.0,5.0
4oyhe2zmluldk72dhmgrqf5am456qsap,42.0,4.0
4pruiwjchs5zazxcqg7cb5idzcsll7hb,34.0,0.0
4riflg6oykyw7isoofnoftfahounnjnj,1.0,1.0
4v6a4iqz7khx45b6jzpbu4wn7j773roo,22.0,1.0
4wmdvwuh5yv4iyfddal5m5lacinllqjg,69.0,1.0
4zlncnjzcobzl3qmj3xfjh6gkev27776,53.0,0.0
53eawyosj3tvzug5ikcdrs3qi6xtykoh,18.0,2.0
5gowtranlif6o4ve24zqm7rahfi75r72,32.0,3.0
5iiuszmsri73fsgugfcoe7e72cjkcfzy,71.0,6.0
5jezdlqsm73acd6jqy3w6woe6lenbbdv,74.0,8.0
5l5ivkxfc3n2ozeximhv3a7m5ue3dbro,33.0,3.0
5nlw4zloqdqniv77j6ymva3e55huaje3,45.0,2.0
5pwtqgdolaffluuapom2b7roigyulyha,10.0,1.0
5uhbdabpvmzo34u6y6muujtywyqrizpr,44.0,5.0
637ypptwizhx6dftiuuatyyrhfhnkbcv,61.0,3.0
64mlayqfo2bjo2b7mxaftqm2wxiqhhpi,13.0,3.0
6bstkhe22hd27wp6xfqmwnmq6jqvaaxh,50.0,8.0
6c6mi2ns5enfsuwguiqp6oe76ryuzbhm,65.0,7.0
6ggtvtwiqmgdhwdhbccufmchon27omya,66.0,6.0
6glgi27pbmnmdzanbvrovhxpdaqev5sx,40.0,3.0
6kmvxwe27ihhmrfejthlinhxu3jitgja,1.0,4.0
6mwpaxqbdypspxxswscwdxve6dkdkv3e,67.0,1.0
6ofekkgpu7i3fl76amsnymovt3onpe4e,60.0,4.0
6pdax52xqd2oiu7hhr45x5rbfougnztp,78.0,0.0
6slrzdsv645glcnaqjnkr7if7ekngxmt,35.0,0.0
6ukzowauvqhq4rgc6o322k323shqj5gm,76.0,7.0
73rysfjf432pseewy4c2pcejsvrrrdst,43.0,2.0
73tkdnwlzssougi6mqhjlx72ym7jqljv,47.0,7.0
757k76wdlc5aj3dlph2utajv5o2qnbw3,36.0,4.0
77cdchoeqe2xnvpvnktni3ricf3s4uba,66.0,8.0
7fjfwcevabevonr6d2agoh37syjooeat,22.0,0.0
7is4hohyntfpzom37riw2r557kkfmznj,53.0,2.0
7jqin4cdoy56xxe4za4c32kpfansya4i,52.0,0.0
