,mochi-margo-version,libtool-version,mercury-version,libfabric-version,spath-version,automake-version,gotcha-version,unifyfs-version
4637vxzwixjhipykxvryvxiovyurad4n,4.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0
543clvqyvu7fypa72dmjgxarfiaxipw6,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
5msik5dfudeatsaahlrvnjdkpivgn3fo,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
5oov5icnvncyhl5te7w4qq4dt3kolutb,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0
atwzgexvpz3xpkuhgwz2gjntxrlzruhz,5.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0
ergwbky7isurucftffzodmq3jrz26x56,3.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0
lhg4x7cdd2vwfogno5k5sftfw3rm4hb4,6.0,1.0,1.0,9.0,0.0,1.0,0.0,1.0
nk2exywy7ykq4fon3z4ajm7q3bbexvmy,5.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0
nok4shwyju2gscbmddlu6gqanhm5qcwe,8.0,1.0,1.0,8.0,3.0,2.0,2.0,1.0
ph2nuo4w6lofit5yojii4hrsvzsmmydg,1.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0
t7j55o67lhnpgswayyvinx3yf5if5con,0.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0
tbwd4mdirex545dj2pcl64rj3lm3g57y,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
tzdb5wflixxau52bfa4srzyor4a4eksv,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
