,superlu-dist-version,parmetis-version,libfabric-version,openblas-version,cmake-version,mpich-version
3trsgu7azj4vi3zzgkwjdlzr3r5bjovy,0.0,0.0,1.0,2.0,10.0,6.0
4bu36tftt5m7wx5mjx2d5e6xt5pahuji,7.0,1.0,2.0,2.0,7.0,1.0
4uxpm7dbxkahnonp5ioklufyit3a4skj,9.0,1.0,0.0,6.0,27.0,12.0
54pp7pfjcfyj3wz62tlpe7zwiccxtdat,6.0,1.0,0.0,8.0,3.0,8.0
5akelxb3hm3wboazkhlgkq2mpyntm4bw,2.0,1.0,2.0,14.0,20.0,0.0
5qs6qfx54leupprhq76o57zs65lpj6ef,10.0,0.0,2.0,10.0,24.0,3.0
6dabpvmkh4fm6vgdtgprkjo3u5ll266p,11.0,1.0,2.0,11.0,11.0,4.0
73mtgo7j4se4zdgaa2rsr4yip32kukhg,14.0,1.0,2.0,4.0,9.0,0.0
77aaq7o2maribtx4lxsyuic6lvv7oh6a,3.0,1.0,0.0,11.0,7.0,10.0
agqhkw4okse7cwv3xwrhjw6evp3o3uf3,10.0,1.0,0.0,7.0,22.0,12.0
ewjvbxcrb5t2nsj5cl33sh2bizgibuxg,3.0,1.0,0.0,5.0,13.0,8.0
fz6li5uof6c2ehbwmkcj6tl2dfh3chwi,1.0,1.0,2.0,1.0,0.0,4.0
fzd3qk3bezqcnis6vdlelryvabe7qmmh,3.0,0.0,2.0,5.0,4.0,0.0
gvtja4zrljytfav6icdvpnfwwzdshuq6,15.0,1.0,0.0,6.0,18.0,12.0
gvyogdejzrdepaz547y7vaflx5c54dwf,14.0,1.0,0.0,10.0,14.0,7.0
h62erwbf66r46u36kkdwqywnsvagkatg,6.0,1.0,0.0,4.0,22.0,9.0
h72mmuypatnt2un6hvqxrvjno2dn2pw3,10.0,1.0,0.0,7.0,15.0,8.0
heol74y2pukw6qboi4345zuiup6txb6o,14.0,1.0,0.0,12.0,12.0,14.0
hmifgm4mhar7kn4uoe623tvyrfk5lnsn,6.0,0.0,2.0,9.0,10.0,0.0
