,plasma-version,cmake-version,openblas-version
7amhq6r4swjfsaual74d6jpy2oxwix7i,21.8.29,3.16.7,0.3.9
7f5b6b76h7xpd3ljv6mfvlkdklfcs26w,20.9.20,3.14.7,0.2.19
7gayuwu7a7yhign3qvhvpezaxflqpip5,18.11.1,3.14.4,0.2.16
7wclqbtwypt4xks7tktrgbkru7fmnl67,21.8.29,3.22.1,0.3.10
acqzutymikydvpob4cpo37dv2h44vpgy,19.8.1,3.20.3,0.3.16
ah3xvdcswtxn5j2xryg2d2u47gfqfhmw,17.1,3.14.2,0.2.17
aqnwq73xm7y23ypcvfxbm5qzcnwhqnnk,17.1,3.8.2,0.3.11
ayyjumlupn5kbwb65kaanhi7vjmvgkpk,21.8.29,3.21.1,0.3.6
az7lyve3cphcrvvjexnbebpizemaisq3,17.1,3.20.2,0.2.15
azieoj6v7stanxegvy764uutx6nqdkul,20.9.20,3.19.8,0.2.19
b2ekwf7fi2r6layhwj6p4wgpjdhumq3z,21.8.29,3.12.4,0.2.15
b5dbuuw3mf2ddmgcsgbhn2vinjxkupo3,20.9.20,3.20.0,0.3.14
b62i6hslji53j3tap65xvwccsrxfkjbn,20.9.20,3.17.5,0.3.18
b6zhpkdkdupgkldxr2ceabphe3r3c2fm,17.1,3.5.0,0.2.17
bekj2zv77iew47vsvziwr4v7nm4as27o,20.9.20,3.17.4,0.3.17
bg534l4shvryyh52clhrqtvv6xe44kos,21.8.29,3.16.3,0.2.20
bhkbtxtq7x7yf5oyd4kwjtccygooq4sd,21.8.29,3.17.5,0.2.20
bjjm56x5kkxjg2yxcyb7arz5qqjagb2y,19.8.1,3.14.3,0.2.20
bo2hp4ulzjy6wzhzlje4xxtsui3mx7lj,19.8.1,3.18.1,0.3.17
bpmut5oie7purgdc2gy4o7vptd6eodvf,21.8.29,3.15.1,0.2.20
bqclnew77r53fquiqtc3dcujfmgtjzjj,21.8.29,3.18.2,0.3.6
brccxdcfqzm6lrk26qak7sipsc36jabb,20.9.20,3.13.1,0.3.6
bs22puf3mtmkgfso6qddvkbgri3czr6v,17.1,3.9.2,0.3.17
c4oqyd3tlyilp6p4vzk4zcp2dkoqi7z5,17.1,3.5.2,0.3.16
c6x2vjm2zd6uflvlvuxuqwxqdnvmfp42,18.11.1,3.9.4,0.3.12
ceryfo4bhlmt5322mtiu2xwouia4bczz,21.8.29,3.18.3,0.2.20
cexqxpebclf5lbpi2mvr6ujhoon3t23g,21.8.29,3.16.7,0.3.18
cineosqpokorj6f3glrkcolumis7h5sv,18.11.1,master,0.3.9
cjok7octqzoqrxqwuubk4363b6t42jce,17.1,3.12.4,0.3.16
cn2d7yk7dxnww5d4a3bkphnqvxghblxn,21.8.29,3.16.2,0.2.17
cq5ezlkcq47y2ihwd7hv7erttxs3zgcm,18.11.1,3.20.0,0.2.18
cvshvqjfxiekjwo2yupakpwfp2t5zct2,21.8.29,3.14.5,0.3.11
cwwg4plxxfcsolwkzzzarmatafwu3f7i,20.9.20,3.16.9,0.3.6
cxb5h7atjtbka2g5kia2f5jhjx4n253u,20.9.20,3.11.4,0.3.16
cysvkq7yh7457qsfedqorwoufbfkxk3l,20.9.20,3.19.2,develop
d2kp2nr4vagmiql3pgrnystzxoyobb6r,21.8.29,3.14.0,0.3.17
d543urlgckz22c5big2mqlxubjxnnda5,17.1,3.10.3,0.3.18
day7wikfc42m36etrjhfoycfnlfiwdtv,19.8.1,3.19.7,0.3.9
dfw5t6ib54rwvkizertycwpfpz4pelba,18.11.1,3.16.4,0.3.8
