,hwloc-version,qthreads-version
2twngqv4i5bsu76zxaqsz6kzw6lj77il,2.0,0.0
34aewls6p7nvpjwncosuebhozngaq74b,0.0,0.0
3hsnljia3mwo6x2xm2hhlspw6mqzdcmb,2.0,3.0
3sbgf7mne46m2ibn6jjftippxdqf2yex,6.0,5.0
3zonbccmuor6pzukwveoswg4atxcqhlp,0.0,3.0
4diwvtnm2jmaiwpxgk7l3zchnzza34qy,3.0,3.0
4penjvl6odnmpgml34eobtsmrvanx74w,6.0,0.0
4pnjlbupfkmgp4pitgjwrfslzybaut5z,1.0,5.0
4qdzfbbyixzouldd3tjshjfvx45n4gin,13.0,3.0
5cshcqdwo4h4va3cctoawhnntnjopgst,1.0,2.0
5nyc6vy5pxdoadfmr2efaip6lmkspiun,0.0,2.0
5r3c6yvkvrkxgmtwtw4mhnlmrvt3gl2n,0.0,1.0
6mmrg7yowujiz2x5343nfg4ru7bxxfas,5.0,0.0
6rius3464uggzcddsepj5mdxn2cjc2ky,22.0,5.0
6s6jljczl2pphnljwm2vrr6ixnnagpgb,13.0,1.0
7w4v7ketsagfrkbuhn5gypnszr4m2egb,9.0,4.0
a7qjk6iuvgkkf3pwtv3nndketzq3rdw2,5.0,5.0
b3nr5pu22fokncyhlmlpuagfkmlkf3gw,3.0,5.0
bfclluyyze2asp4hhpyi4umuqsiemtgb,12.0,4.0
ce3chpybsremhn4qfoen6n4lhit2dnbm,8.0,2.0
cm7i66lxth7xyh34zmmnipg56wt53ymm,13.0,0.0
cmiqbnjyqgqalt4u4rlxg5lh76u6q226,1.0,3.0
crma7dh2lkrjxmqrizp6fpcr3jkhmuo4,5.0,1.0
d4qaufqxqyz2zjpeth5dfu3ui3ot5vk6,9.0,5.0
d5c4pyv2fhwq74pemkdxmi5pbzfbca74,8.0,4.0
e3aa3przsw7rlblhj5qgqcwq3fmtsgcv,21.0,5.0
e7z3npn6mjqr4sozjjgvta2kzsqrbi5c,9.0,1.0
ed6hi2ceqsc4wehtc4agemgb22vlklx7,9.0,3.0
eop4gixbdy7hkbhjzb2y5t4ww5gapani,11.0,3.0
esoyuzcyicyxwlingvf6hwq5ulubmar2,10.0,4.0
evumztcepbhfv3rgsnch7plhs3wnoxuf,7.0,1.0
flthbtoaiiaqd3ldvqrj5jndsigdx4gi,16.0,5.0
g4bwj54f7zq3uakoezt3hd5kmkb65om7,3.0,4.0
gicxzgjcefp5stfmbozsllpqk2keeelx,7.0,3.0
gj7riqzdm5h3spzlu4am4dse3dmnm2rk,9.0,2.0
haag6z2vg7z7prb46oxoivu2zwyiuz2d,2.0,5.0
hhow6iernnh4lytrkot27a5n6igghp3u,11.0,5.0
hpxeq72lasxwly4q4lf4vuytyspydnuo,3.0,1.0
htwgdibmvd6d3tjj2bbcaibdo4pzgriy,13.0,5.0
hurhmgx5xhk7osit5ku5midfcu34ea4z,8.0,1.0
hvlmo4hf4c2syiib7sx3yat4zhwtjyy7,1.0,0.0
icu7suooftafmss4zc2osdjyjuwycamm,7.0,4.0
idye5uoyf4w47m7hnqborokn6izpuox5,18.0,5.0
imdaimulcynvxeftyqoi57gksqwzgx4a,7.0,0.0
imp6icspaooytwyszx7thh6oygprumap,10.0,2.0
jag2mog3yvt63s3rqyuxfr27u6kplxjm,5.0,2.0
jtjd7ca53ml6d5e7gt7gg5tt7zcpk2gm,19.0,5.0
jx2xe32azvjfxpuwvdku3qhou5xxpuyj,4.0,0.0
k4sdhypfbnfrz4y6mvojupljyiwn3y23,10.0,5.0
kiga3mmyt3rnrdxjgvnlzajjyg4lbybf,4.0,2.0
knbupn2j3yf6exmspkbqcyu2t4nyj3ah,17.0,5.0
kzfg4zmuikgeqh5bb6ciaam4w4wm7uf4,8.0,3.0
l5mihmwzqdqoky35mm3rlj3kd2kxypd4,6.0,3.0
lysvx6ege4tqjdovkvfotz34rin4nzjw,2.0,2.0
m52fegx5mqwgz7x6sbamvgnisdnw7mdv,15.0,5.0
mmoputn4h4gqeccqdnfeybpvcqklldlv,6.0,2.0
na5krgvoycj456fie6d35ogucpfjy4pb,13.0,2.0
ofgwmkuju2rkopdkbhkycgpyxkpno5f6,11.0,1.0
ogdkskz7uhpmvwxx2ooito2jgt5wsnmu,14.0,5.0
ow2vk2ftxsdhdxvnjjcyyhajeasdcok4,12.0,2.0
pgi4v6xgzhqer3iyo545hdyu6ksmmlyg,4.0,5.0
qcuny3lrnvemmvrljme5xvhcdpviwivg,8.0,5.0
qokkanlwg2vcj4nfjfn7jh7i46mcl3hj,13.0,4.0
renf435qgx4ibaoxbm2dytgrmn6vjri6,9.0,0.0
rmhyjnqbquo7j7363uil5yt4aodezb36,11.0,4.0
rtzkkcsp2hbwc5o7ctwovwuahsfroujh,1.0,1.0
s7gsrijkde5txeh6ybs3m7q54m634n37,12.0,5.0
sjt527rchseoyk2dkdjra6rlrdjj7ue4,12.0,1.0
sxdmyks3y2gu4b5n5oroy4eiggykbyj4,3.0,0.0
t6us4qrrx6hljfribm4u3yufmkrhcqjp,5.0,4.0
tbj3xnrklm5plpyodokr6jtadaxcptvx,0.0,4.0
tbvdfk2lmhxllqo4t3va62c53feti2l4,4.0,3.0
tzgjstq5mkbyy6yajmkv2yllvnet6wpe,5.0,3.0
