,libtool-version,autoconf-version,sparsehash-version,sqlite-version,bwa-version,automake-version,abyss-version,boost-version
24dw5dchv4ticjb3r6o5vfu6brjrx7bf,0.0,0.0,0.0,2.0,1.0,2.0,5.0,8.0
27zgnssqbiuocwoaqgcz55awpxn2wpv4,1.0,1.0,0.0,14.0,3.0,5.0,5.0,14.0
2dmgjhxy6gam67upmgre2gcl3spmkghd,0.0,0.0,0.0,9.0,2.0,3.0,4.0,11.0
2oieh4lqoywxd7jhmvvjrwtn6awdy3nn,1.0,0.0,0.0,4.0,2.0,5.0,1.0,6.0
2qi4znd4x6vlxawdcfvhlgpehpuh2jrp,1.0,1.0,0.0,2.0,0.0,3.0,1.0,10.0
2surkbyyyk2zy4curijth2tygucd7zij,1.0,1.0,0.0,6.0,3.0,4.0,3.0,4.0
2u3wji5x3e73fm6bzs7q6cwg73bxooak,0.0,1.0,0.0,1.0,3.0,6.0,4.0,21.0
34fmwxkrpjmq6wuyyxjwqiphoo4qsjo6,0.0,1.0,0.0,7.0,0.0,4.0,5.0,22.0
37fpf727v4lpfup3rtdbo7dfpiil5vg7,0.0,1.0,0.0,11.0,3.0,2.0,3.0,5.0
3dpf2qvo5ovgokcqjpkkupis72d7fxsd,0.0,2.0,0.0,7.0,3.0,4.0,2.0,22.0
3gsnbfj5rpepeqdr3rbz7t47bele6l4g,0.0,0.0,0.0,14.0,1.0,0.0,3.0,1.0
3m7svhpnwdzbmlpgjtevtccntb7twuv2,1.0,1.0,0.0,11.0,1.0,4.0,5.0,26.0
44rqf6kcuegl7hjfrt37pcgn6a72qu2v,0.0,0.0,0.0,9.0,1.0,3.0,1.0,1.0
4fsmampwtkahavco4jnvwsev7p4r4e44,0.0,1.0,0.0,12.0,2.0,6.0,3.0,8.0
4huuu27zzguplp2xevu72jvhtodoajoh,0.0,2.0,0.0,9.0,0.0,1.0,1.0,16.0
4oonaplf3p6tcow7jfr2jqnw5oaaj4fo,1.0,2.0,0.0,12.0,3.0,3.0,2.0,6.0
4tz3l7fpaqt7du5hxzcgftyyy7ohjchu,1.0,1.0,0.0,2.0,2.0,0.0,3.0,8.0
4yvgjerh7mwak544drdjwf7wb4quu3hx,0.0,2.0,0.0,4.0,2.0,1.0,2.0,20.0
52wlo44veygs2ymlthkxwgf7iga3bvxo,1.0,2.0,0.0,4.0,1.0,6.0,2.0,16.0
5fif4tquaaasxt6qv7quaw4nlockpxzi,0.0,0.0,0.0,10.0,1.0,1.0,2.0,22.0
5h5e2hfnj4gnrmntr6sy3frbjjquvpds,1.0,0.0,0.0,8.0,3.0,0.0,3.0,21.0
5ll26banlnpntownwyqgbszpfa6cwxle,1.0,1.0,0.0,3.0,0.0,2.0,2.0,11.0
5vmucgfqfjnnxhizvahvy4pvspnuyrqm,0.0,0.0,0.0,8.0,1.0,0.0,1.0,23.0
