,cmake-version,kokkos-version
amz3xgjdhjzotj6xygiykxz7yhwgmk74,3.20.0,3.3.01
ap5vhg6dksuokopnphzov2y2cbsioqgn,3.18.5,develop
aq5v2m7yp7obmvcqwy3sbbm57fcmf2wf,3.15.3,3.2.00
arrsmu3hs3zch3cppotkfhgiqphptzqn,3.19.3,3.3.01
azqj34fjunk7howkzzhbcstsxfwpbv6m,3.18.6,3.1.01
b4hp6wsguuqx32dte627jywojbd7zmqu,3.16.4,master
b5sseemzy4ixbv6ebuz4xtqips3tpdyl,3.13.1,3.2.00
be4he33rlewr5rbynn3hkydbipwpgwxf,3.20.4,3.2.00
bfw7xf4ltkn4whh65uv5btnfz6c67p5c,3.19.0,master
bi665tdgtacjva23wwz6kkekiy25zlts,3.19.7,3.1.00
bjj653bht6rsgnqs6grrwpqsellebqsa,3.18.3,3.1.00
bk3rzw5bpblzmsdl7n6i6jnqe33rtpl4,3.17.5,3.2.00
bkk5f6moizoqksmp4sibig5awj2cfmux,3.21.3,3.0.00
bma2ebxpqu2yr6rwyaun6xmtwftaqsly,3.16.5,3.4.00
bn6vqhxsb5az6zhszqnfxwqpcsagelgd,3.14.3,3.1.01
bnxfnwjgxrb25byrlchbvkwpi3mmuvz5,3.18.6,3.3.01
bucwouru53rz6ged6vx7dtpelbx7zz7d,3.14.6,3.3.01
by4emuet2j6h6ednwqmw4zrljnykqxeh,3.15.0,3.2.00
byd2ngjj5h72rzvfcett6emn5bzyi7zg,3.15.0,3.0.00
bzfrri7pxe2uwdgh434gbb7iinjqhzux,3.10.0,3.0.00
c2qqyodjkiri7lon3apvovxgycgxkdar,3.17.3,3.1.01
cawmolnuwu3kthb3jmpk737slsebiyex,3.10.1,3.2.00
cbtv6wwg2rmx55xrw2jxnvjhv3md62f2,3.20.5,3.3.01
ccu22qiihc3zaybbva3fzhgwtricp5mo,3.15.3,3.1.00
cgodpemgfuchjyzctmtqdzyrqcvqaqyl,3.17.4,3.1.01
cgohnf5ehsyfmcvcbxl7kybbezojorpp,3.16.7,3.1.00
coqma4ttfuuaw22o4nsc4gk5da4n6swm,3.12.4,3.3.01
cos3s2lkodahb6kxtuab2h4whbifax4j,3.13.2,3.2.00
cqjrgkunvmtc6nfbimgab4zp2genmb3h,3.16.5,3.3.01
cr6rk3d5pwbj6mzpcmtyasgyejypopjk,3.18.3,3.4.00
cuwhlkcproimgmiast3rqiqofyzfxv25,3.16.7,3.4.01
cvtxzlybtdnvxa4fwfb7nowvsgolfvwp,master,develop
cwusoz673tvaxmuarj3nr6dzojxasgwu,3.16.2,3.2.00
d4ewpqb2rrxdqjt6tyca2yvi4wamqhmz,3.18.3,3.3.01
d6uo4ucwkkzxkgepyfr2amom4wqxkcnu,3.19.0,3.2.00
da6xoyor7ddacgd3z5ircpgpv6mgdvpe,3.17.0,develop
dazx4gbkom2zzbqcpcabbpfgvuderhsq,3.13.0,3.0.00
ddiokdhtynqt6rkbq6srdmtppv3634in,3.20.3,3.3.01
demvwovebzve64r7xdrixgcwmpulz5yh,3.18.0,develop
dgsxv2gbuxuyanjw3xrlsp6qjpgpym5o,3.21.2,3.2.00
dgwr5bnwmxiwtmulmrl2kjn5arzmj4px,3.21.3,3.3.01
dih3rcsz5axzzi4x3ch72pps4owva2ke,3.14.4,3.2.00
doq43eg6zzshlbcm2uo7onfn4dbc3j5t,3.14.4,3.1.00
dqb6ku5wo5qff542mqubcoxkwpb4km7p,3.19.8,develop
dvle27dpnde2zt6qzigy2u3f633w4j65,3.20.3,3.4.01
eaqm2ub4h4rlijsselpwgxhpaerern62,3.16.1,3.1.00
eegooy2gzm7s7veghef7tl36z3oziku6,3.10.0,3.3.01
efu32sbgjfeyrncl2wwhoryyal63kxyd,3.10.2,3.0.00
ek3dxmx6udidtomz7adxcmlrwq3nwtt3,3.19.1,3.1.00
eob5pvj24c242hfgkpwm5lvx6k3xpp6u,3.18.0,3.0.00
er3gpddferozastoegvfr344t2ed6zwe,3.21.1,3.0.00
ettnsql6s55u7ep3h2j2mz7y63zgy52d,3.16.1,3.4.01
eugx7wz4tlelyzz6xfni3tybjwgq2ki5,3.15.1,3.0.00
ev5d744g3jzftl3b4j5sx563q4l4tp72,3.20.2,3.4.00
exrnmfyb4la6wip3uyfqesbhox5tvffu,3.14.4,3.0.00
f4xptzesw7kwgb6dfvwpyqwkhu7fnqwt,3.18.1,3.1.00
f7v73fo26mktdydu3lylvflfsycjl2mu,3.15.1,3.1.00
fark2muf5tcig5gsmictntqplc2l37db,3.14.0,3.3.01
fbmh2lcizq6glkw6rchy4ahsi237eitb,3.12.1,3.1.01
ffl5ky22ttclqvyoz6wtapsxwx2gwm42,3.17.1,3.3.01
ficufzhffdo6rg7ihkwooi2odekxxkiq,3.20.2,master
fk5r4qob63yu5gnmwsisk7jjgpnvtydx,3.16.9,3.2.00
flkfdwehmgnb4kycvsaecxo4hljjz4ct,3.11.4,3.1.00
fmb5h3kdrye5ixfl7h4evzylt5qz3nmk,3.18.4,master
fobxs77yxwnzfeb3bwv5tmay6cm5wevv,3.17.3,3.4.01
fpont2ltabtrth7qdoavc5mfuvoxzcp4,3.14.5,3.1.00
fpvbfy3mfo2myitkbt3dhdtdtvnvmuy6,3.16.2,3.4.01
fqhtdudbvt2kfvajrzytvzqfdxtm6eaq,3.20.5,3.2.00
frzptpsge3aqqm4zpwey5vw2bpww727w,master,3.4.01
fs7ajcq4hqhjfq5hzwzr32nor7g7rn7u,3.15.1,3.3.01
fsy6wqzc5dzy5mflrfzvo2oisiy4ouyz,3.14.7,3.3.01
g3vb6hzfm5zkanjmzy36uvtjubzvag2f,3.12.3,3.2.00
g6fqnrpl76j2fqi4u2j4dskv53gbdeho,3.17.3,3.2.00
g6geoxspduoabbv4h4safvsv2ddoj5cs,3.18.3,master
g72yqz75ozdpg2s3w5velqr32y3ncwza,3.18.6,master
gef3svghbx3lz24gguwnv7m43h34mbry,3.17.3,3.0.00
ghsrqog3ocvfz222h67j63jpthvujgzm,3.19.1,3.4.01
