,libfabric-version,arborx-version,cmake-version,kokkos-version,mpich-version
b3laml72ins3ouxsvqlmoyyglpqrtws2,1.14.0,1.1,3.21.4,3.1.01,3.4.2
bajkmxnvoksaunjxvmob4qbe2sg3r3sq,absent,1.1,3.21.0,3.3.01,3.1.1
bnlcrjhiwr6btj3dfzjhhmqbwhgefrkw,absent,master,3.17.3,3.4.01,3.1.1
brdovokxoles3giy4bu266k2six2pbcm,1.14.0,1.1,3.19.7,3.2.00,3.3.1
btnufhujb4vf2rgmb7m26x5xy7cxwaml,1.14.0,1.1,3.18.6,3.4.00,develop
bucyiyvse6pypn77gxwwndjblkgwx3kw,absent,1.0,3.21.4,3.1.01,3.1.1
by74hccc3vxxfi5hyka4hyidled5rmhe,1.14.0,1.1,3.21.3,3.4.01,3.3
bynfl2f252psv5h6ma2uffjiclml3mj3,absent,1.1,3.16.8,master,3.1.1
c6vbfdtfczzxzqrhotk4vtlviemerruj,1.14.0,1.1,3.20.4,3.2.00,3.3.2
cgig5xej472qqvguwgznrvd53gcxlr35,1.6.2,1.1,3.20.1,3.4.00,3.2.1
ci53yqcq2dluf5f4g62jsxigrznye5y2,1.14.0,1.1,3.18.6,develop,3.4.2
ctgdhkugy5poslxfh6h2f65ff5kmphj6,1.6.2,1.0,3.19.0,3.3.01,3.2
cx24ciks43megehhm5rzqn5tlp5l7ugu,1.6.2,1.0,3.16.8,3.4.01,3.2
czot5cmpa22z7ks2z6rtd4l2jm3gftaw,1.14.0,1.1,3.19.8,3.3.01,develop
ddg523tgtl623drfkvgstczew7j2d6im,1.14.0,1.1,3.20.2,3.3.01,3.4.1
de7j3ym3je6nzg4hnvxvgk4tdcmmbvf3,absent,1.1,3.16.5,3.1.00,3.0.4
def5437g23yu3v6ndbkiug6j3o4rkjo6,1.14.0,1.1,3.21.1,3.3.01,3.4.2
dhyt3kcw2hrtoihenqlfc2ktrfiw4bch,1.14.0,1.1,3.18.3,master,3.3
diipgdjjkxu5l2hic4mmjmd2sgdbh7tu,1.14.0,1.1,3.16.4,3.2.00,3.4.2
dmjsnawf22wtlsgznj6gsmjk74knsa5z,1.6.2,1.0,3.16.9,develop,3.2
dnyzva3yo6rlewvmvhua6rzqcaom63kk,absent,1.1,3.16.4,3.4.00,3.1.2
dot5lb3zsbkll5lew3j3rx4lbhcqgozg,1.14.0,1.1,3.20.3,3.4.01,3.4.2
dwnx4g5ofnujbvly27qyfotp3kothhw2,absent,1.1,3.18.1,3.1.01,3.1.2
dy5vgo7fkx7elgizjpdqdmxu4uqg7a3p,absent,master,3.16.4,develop,3.1
dzbqjv73gjlfj2d6rdekry2b6suh2rxk,absent,1.1,3.19.6,develop,3.0.4
e27557xrlgxrnd5jk36lk6x2ioyifvkl,absent,1.1,3.20.0,3.4.01,3.1.2
e2do3kfx5kzs5r5augciierqrf45xgno,1.14.0,1.1,3.20.5,3.3.01,3.4
e2figz2zzmurj7fo52cczanskwll4eyw,absent,master,3.18.0,3.4.01,3.0.4
easlpmuj6vicvhiq4mfucqmx2mjyvmda,absent,1.1,3.18.4,3.4.01,3.0.4
eayqdvxm5aitzzo6kgrzrhojuom4vqxb,1.14.0,1.1,3.21.1,3.4.01,3.4
ejzlhsm5w7bmfc2jqmgojpve2462zheq,1.14.0,1.1,3.18.2,3.3.01,3.4.1
eru7xhpaa3lvg73mcd3ywwxomod6uw4g,1.14.0,1.1,3.20.3,develop,3.4.1
esfp4g6cvpnvsmnpz5uwwau3jm7bzygd,absent,1.0,3.18.6,3.4.00,3.1.3
etp53dspe3k2e732s6voqg5d6xqxkbnd,1.14.0,1.0,3.19.5,3.1.00,3.3.1
evpwbi7xclogojtwohfvkcmwqetn75ce,1.6.2,1.1,3.19.4,3.4.01,3.2.1
ex2w3jtima5p32l4oc64m6xloyr4q6ae,1.14.0,1.1,3.18.1,3.3.01,3.4.1
ezgfofpcmzkia7tyiyzjypczdioa452j,1.14.0,master,3.21.4,3.4.01,3.4
ezmljsxt3wr6kybeqxfe5qvjiozy77ua,absent,1.1,3.16.4,3.4.01,3.1.2
f2ejp3b2w4atuti65vhxqcnddhhqumyp,absent,master,3.18.0,3.4.01,3.1.1
