,trilinos-version,libfabric-version,omega-h-version,cmake-version,mpich-version
2ffwxkacwlgqwjjjkohkz2sownufqxng,12.14.1,1.14.0,9.34.1,3.14.1,3.4.2
2hu3sht7svahxcpw4kn55poacwxdwunt,12.10.1,1.14.0,main,3.18.1,3.4.1
2pbex6sdox65enitudlebs6ickvristw,12.10.1,absent,9.29.0,3.14.6,absent
2qejtbixt4f2c6peawek474qty4x4v2r,12.12.1,1.6.2,9.32.5,3.16.8,3.2
2qukroo26z4rtz5cn3zbbbqsprjg6v27,13.0.0,1.14.0,9.15.0,3.14.7,3.3.2
2sqbe4bvgwuyy6sdnz7h5g5wp7pyke2k,12.14.1,1.14.0,9.13.14,3.18.0,3.4.2
2xqva7zymvf7daeyhzichgbhovtgcg52,13.0.1,absent,9.34.1,3.18.1,absent
3vg5naacpvhg6l46dpift2j5s6bgb5n4,13.0.1,absent,9.14.0,3.10.1,3.1.3
3w6qwzrgp56cbb2absjc7udclsn2wkle,12.6.3,1.14.0,main,3.17.3,3.4.1
43aaw3untt5lnyqy4on3twslccwylhrz,master,1.14.0,9.34.1,3.17.4,3.3.1
46z3hymei7lcq5f6ol2pe66ddgd3meb6,12.8.1,1.14.0,9.29.0,3.11.2,develop
4fmftreb5ijxc7wvo3sfl2djnmfm6m4p,12.14.1,1.14.0,9.34.1,3.15.5,3.3.2
4se5lupmj5oum4cvpu5dqymon6q437uj,13.0.1,1.14.0,9.14.0,3.12.4,3.4.2
56fe6p64wqlotsr27m4yh6ic4xn36cxz,13.0.0,1.14.0,9.13.13,3.16.4,3.4
5ahurofe3kodcwhmqcnhfu3poqn34p4o,12.6.4,absent,9.29.0,3.13.0,3.1.2
5eyhbt655apm24klcmbtafeczffgsmbm,13.0.1,1.14.0,9.34.1,3.17.4,3.3
5knwxcar6njan46iaeuuppvlpzwbj7tc,12.10.1,absent,9.34.1,3.22.1,absent
5pyabqtadoxixx7zree6nzmcfxnbsdvl,12.6.3,1.14.0,main,3.9.6,3.3.2
5zas74g3agbkgbpbsrvy2wilqhmjtjos,12.14.1,1.14.0,9.13.14,3.20.3,3.4
62tnyadfovyqgtcwbbnqgcz4gcgee2kp,12.6.4,1.14.0,9.29.0,3.22.1,3.3.2
62z6ifihuyk7rpbydexvfdogicop6cgn,12.14.1,1.14.0,main,3.17.3,3.4
65556lptxuqv76jyktczybuvod3tk2rf,13.0.1,absent,9.34.1,3.21.3,absent
6dakd4n2dgkyivkctrqw37v5ictsdpkn,13.0.1,1.14.0,9.34.1,3.15.2,develop
6l2uom5fiew4cvcuk5onrpcfsex3h75e,12.6.1,1.14.0,9.29.0,3.18.5,3.3.1
6yloke2iewyqkto2l4x6habzoo7ng4ip,13.0.1,absent,9.29.0,3.13.1,3.1
6z7dauscejaz5mmscl7vpltolkeqcvuu,13.0.0,absent,9.29.0,3.21.2,3.1.1
7bb7z5ebstliuv5co5otfepbba4ekdfw,12.14.1,1.14.0,9.14.0,3.17.0,develop
