,adios2-version,openpmd-api-version,hdf5-version,nlohmann-json-version
3vdr76lnejfwz45mja7ya4hxcqbcpcp4,0.0,10.0,4.0,2.0
4hu5kbzawoso4btv6im2vczmm44ingyr,2.0,9.0,10.0,1.0
4vuxkygwg3lcebwhz5vmf3em4g4amqgb,1.0,1.0,21.0,3.0
5r4vwv5pytivhzmqap6ihtez4sqwtebu,2.0,9.0,14.0,3.0
5ra4xzlrk56y2csuw44py24spwrzaec7,1.0,8.0,14.0,1.0
5vujzrzm63xkfwf6k4bovok23ltpt3sr,1.0,7.0,6.0,1.0
6qbxydha6jpcyrsojq2iesvdu3ltojkl,1.0,8.0,6.0,3.0
cp6yzlbkg5u3a2hggfi76nq5git64p35,0.0,2.0,12.0,0.0
cptcs6ynnqcd2ak7d6ch254kyamtmghg,1.0,2.0,20.0,2.0
ee4brju3fn5psrjeljxlmirxplqzapjc,1.0,4.0,20.0,1.0
egtu4h3s5tephutjgkidmddhsl5zgpex,0.0,1.0,12.0,1.0
fcl2drw7kdpu5amr3jcmgxp76dvfrbp6,2.0,7.0,14.0,2.0
fiwhoqrh2rw7ioatroa6wuoifcz42pcc,2.0,7.0,20.0,1.0
hi6ca4csg7idurzhww4zfmwbxaswlxd6,1.0,9.0,11.0,3.0
hiyxet44fe6xblverqelnfmzy6ovrfwi,1.0,9.0,14.0,1.0
l2go4tabojxyq6ttv7h3wutkckwnmoxc,1.0,0.0,14.0,1.0
m4essfnyqpapyq5ze6mmffro2njqxbgc,0.0,1.0,21.0,0.0
mrva33w2xo5fimk4ym5ryt6v3g2ktwrz,1.0,9.0,5.0,2.0
mtzsnwmsmu4rheeq4o2ltwedlhfuim43,1.0,9.0,12.0,2.0
nqfvuv7p3rgsr5ppaauudy3gtjom3om2,0.0,8.0,4.0,2.0
omavfec74s7bzx4o7f454nvhv3cgkn5a,1.0,5.0,14.0,3.0
qpapbnqxivu3o45mq24udne3s6tpcp4m,1.0,10.0,3.0,1.0
uqexdmo4cm3ojzmdbmn63a6qk3apwftq,1.0,1.0,14.0,3.0
uztujzqdi4elrjk3gcnf3sdj3764qfem,1.0,11.0,4.0,3.0
wb466ralvwbktko3igitsjhxf6xo5ra5,0.0,11.0,5.0,1.0
wbyb7d2hfaxcgykujjamt4fhl7qw3w6v,1.0,4.0,20.0,2.0
xpy5m7izktb7tmyzzicbrzjnjqrjck7y,0.0,10.0,21.0,2.0
yb7aaqcxjp2t2d6mcutehycvvvyfnmbl,2.0,7.0,3.0,2.0
2a3focodfk7zyhirvidyrlhesaz74hdw,1.0,5.0,19.0,3.0
3qt57xka7xa6ds6hnvcou5cruujboddk,1.0,10.0,0.0,0.0
45kagxhm3kqgsqhziz63umwvh5l2acro,2.0,3.0,3.0,2.0
64hgoavjrfjwbvymvonjwm5yjrbzrtwa,0.0,2.0,7.0,2.0
6h5wzdlhidlkkduqpmdkiml5abvvhc6o,1.0,10.0,9.0,2.0
6yisxn4bdete5ibki4hz426b3p5ooqob,0.0,5.0,16.0,2.0
77aqr4ffcvqbikkdkumhaskpxhh72dgp,1.0,4.0,13.0,2.0
a2cqs2lgszctu2n2qmdmij62cndldmzg,0.0,9.0,18.0,1.0
acgbgoafyxo2kdee3aile3vdm6h54hjz,0.0,5.0,8.0,3.0
ad3mcbsz7cnz2ofk3nozs5tenkwvmwcq,2.0,6.0,24.0,3.0
cd2mli37w64rqwaqx4xoeb3kt6pmlheb,2.0,1.0,1.0,2.0
clhufntpo3vfpb37b5gxgzlir74nbr25,1.0,11.0,2.0,1.0
crnjxykmwc2lwii6tsqkx7uyanteaqdp,1.0,2.0,23.0,0.0
do2qecexlr3gdfubjqcw43r4seqqurp5,2.0,4.0,3.0,2.0
dqclnrc6v5nrp3lhdundj7lpsz75tlco,1.0,4.0,25.0,2.0
