,libxkbcommon-version,fontconfig-version,libxrender-version,double-conversion-version,qt-version,libmng-version,glib-version,pcre2-version,libjpeg-turbo-version,libsm-version,harfbuzz-version,libx11-version
5rxntcepzdhjqiwu7365s65v2i2etgvg,0.8.2,2.13.94,0.9.10,1.1.4,5.15.2,2.0.3,2.64.6,10.31,2.1.0,1.2.2,2.3.1,1.6.3
goceexbc34ath2opmz5wie2fst3ir7ch,0.8.2,2.13.94,0.9.9,3.1.5,5.15.2,2.0.2,2.66.6,10.36,2.0.2,1.2.2,2.1.3,1.6.7
hnzsb2v4xa3k46u4bcviuilbzarlzdnj,0.8.2,2.13.93,0.9.9,1.1.4,5.15.2,2.0.3,2.66.2,10.31,2.0.4,1.2.3,2.6.8,1.6.3
p2hpfkmb7dp4pvo4s3g6ff4iucuik7kq,0.8.2,2.13.93,0.9.10,1.1.3,5.14.2,2.0.2,2.70.2,10.31,2.0.5,1.2.2,2.6.8,1.6.7
simz7drhjkejcczkwwqkev5qjnw3rzpp,0.8.2,2.13.94,0.9.9,3.1.5,5.9.9,2.0.2,2.64.5,10.20,2.0.2,1.2.3,1.4.6,1.6.3
u5zu7fhe47xbffy5ne6oph2gr5dij5tt,0.8.2,2.13.94,0.9.10,1.1.4,5.15.2,2.0.3,2.66.2,10.36,2.0.4,1.2.3,2.6.8,1.6.7
4iqogspumau5vjgmrc7hvpk6ptvr43u3,0.8.2,2.13.93,0.9.10,1.1.4,5.12.5,2.0.3,2.68.3,10.20,2.1.0,1.2.2,1.9.0,1.6.3
4nnogjifsedbtps64ygu3jumvy77ww7z,0.7.1,2.12.3,0.9.10,3.1.5,5.11.3,2.0.3,2.64.3,10.31,2.1.0,1.2.3,2.6.8,1.6.7
7bfpwymfbaukqpg6nnuh3nkca4pg2wg5,0.8.2,2.13.94,0.9.10,1.1.4,5.9.0,2.0.3,2.64.5,10.31,2.0.6,1.2.3,2.6.8,1.6.3
axh6r3rqdlxju2jqfgifoesjx6ej6twi,0.7.1,2.13.1,0.9.10,1.1.3,5.13.1,2.0.3,2.66.2,10.35,2.0.2,1.2.2,1.4.6,1.6.3
d6nsozvcqfmbekkfv34jr2ac2xxmis6u,0.7.1,2.13.1,0.9.10,2.0.1,5.14.0,2.0.2,2.66.6,10.36,1.5.90,1.2.2,2.3.1,1.6.7
e5flk6acdsx4fonnzff2whkkdtpp7mqp,0.8.2,2.13.1,0.9.10,1.1.5,5.14.0,2.0.2,2.68.2,10.36,2.0.6,1.2.3,1.4.6,1.6.3
f2ivvmzyhfcdws2kjmkid6ohs5bzho4c,0.8.0,2.13.94,0.9.10,2.0.1,5.12.10,2.0.2,2.66.6,10.36,2.0.6,1.2.3,2.3.1,1.6.3
k3zrks2uhuw5u3zkqedtzdvmu222msg3,0.8.2,2.13.1,0.9.10,1.1.5,5.12.2,2.0.3,2.64.1,10.35,2.0.4,1.2.2,2.6.8,1.6.3
l5uf64cdurui5nbanhzvcq2uin3e2w42,0.8.2,2.12.3,0.9.9,2.0.1,5.12.10,2.0.3,2.68.4,10.36,2.1.0,1.2.3,1.4.6,1.6.7
naq4a527rjadzj5koujf4w7nflwfrejt,0.8.0,2.12.3,0.9.10,2.0.1,5.12.5,2.0.2,2.64.3,10.36,2.0.4,1.2.2,0.9.37,1.6.3
obnyvdj3zflwwytq7faqngxoxh772wvr,0.8.0,2.13.94,0.9.10,1.1.3,5.13.1,2.0.2,2.68.3,10.20,2.0.5,1.2.3,1.9.0,1.6.7
pw6ap5cmyawivx2geyxd2nt3vuudhovj,0.7.1,2.12.3,0.9.10,1.1.4,5.12.10,2.0.3,2.64.6,10.20,2.0.6,1.2.3,1.9.0,1.6.3
rhebnj47ht3awy5ckwqxgetefumhhc7g,0.8.0,2.12.3,0.9.9,2.0.2,5.13.1,2.0.2,2.64.2,10.36,2.0.6,1.2.3,1.4.6,1.6.3
trena3drkga7lyuywmmhqrutxuq3pfkv,0.7.1,2.12.3,0.9.10,1.1.4,5.12.2,2.0.2,2.66.2,10.36,2.0.6,1.2.2,0.9.37,1.6.7
v5aymnstvx5oh7s2isjqdg5a6mfnj5v2,0.8.0,2.13.1,0.9.10,2.0.2,5.10.0,2.0.3,2.64.2,10.36,2.0.5,1.2.2,2.1.3,1.6.3
vuhs7cu3flm5wjosnv3gviulmttsdx7c,0.8.2,2.13.1,0.9.10,2.0.0,5.11.2,2.0.2,2.64.1,10.20,2.0.5,1.2.3,1.4.6,1.6.7
wnljodwkrc7sbwle6ksqncdh6xzjbowd,0.7.1,2.13.1,0.9.9,2.0.0,5.15.2,2.0.3,2.66.6,10.35,2.0.4,1.2.2,1.4.6,1.6.3
x6nhllsxvyt5d4mapxmr2mxi4hl7cwdo,0.8.2,2.13.93,0.9.10,2.0.1,5.14.0,2.0.2,2.68.4,10.20,2.0.4,1.2.2,2.1.3,1.6.3
z4no54eq7kxrfu6vrigjnimc5bblezrn,0.8.2,2.13.1,0.9.10,2.0.1,5.11.2,2.0.2,2.64.1,10.20,2.0.6,1.2.2,0.9.37,1.6.3
