,py-petsc4py-version,py-mpi4py-version,petsc-version,py-numpy-version
cjhbpqqlrh4pxgwbqq3thepnucgfml3k,3.0,1.0,2.0,0.0
ewpmjd3odqv55lte7mqlnhxizsbltjld,4.0,0.0,1.0,5.0
ic2zsll5hn7xdvsldbclfrve2vxpqjqg,4.0,1.0,4.0,1.0
iwyckaixjvrdp3xbbvhhvubcg355j3b6,2.0,1.0,1.0,6.0
qmbksvf7dwbrncyx7mwziqj76p4ojepy,4.0,1.0,3.0,2.0
quy7u4dfasnpjz7u7z3tlisiph3mym4z,0.0,0.0,0.0,3.0
w3stk77jhwpoar4vcvsa6zjiojxkndx6,1.0,1.0,2.0,4.0
