,kokkos-kernels-version,cmake-version,kokkos-version
27ykunok3mru3trldh4lj4omrhnd35pp,3.1.00,3.15.5,3.3.01
2aa5s4qvp3lzkkk2vzlu67nx7rbczxvd,3.1.00,3.19.2,3.4.00
2bxrpgkqv3t4xtzcis3crxyrroh7tpdp,3.1.00,3.20.2,3.2.00
2cza33fwpnfleujneiss325p77otxpzj,3.2.00,3.15.7,3.2.00
2kouyyxsyestr6brdscbpc6j7dgd2qp3,3.0.00,3.12.4,3.0.00
2lklfpjyturgjtyas6fjvvdvcfoihi6u,3.4.01,3.16.6,3.4.00
2nu7yn3ls7sls4yywip7uge5wqq4m6qg,3.1.00,3.16.7,3.4.01
2pvn2lhlph3qfj5ocxmg6hlqekbg5vcl,3.4.01,3.14.5,3.3.01
32sj3ktmofzphpkbbdkvrh6ln4mi5zcc,develop,3.17.4,develop
344w6i4ltpwbgtr2bdhrdzm5cqw6jhvw,3.2.00,3.16.3,master
367uuzbqmfzvhlsddouqsj4goeagcnzp,3.1.00,3.22.1,master
36ns254quimb5upurbkslrs7j2qwncvt,3.4.01,3.20.1,develop
3dyqzf5fwxvqt2urzp3sm3qxjdev4xsp,3.2.00,3.20.0,3.0.00
3h7moyjungxybss5me4bglduj2jthrri,3.2.00,3.20.4,master
3xdu3eqolwm5m2xofcrsm54a2lm5p7ks,3.4.01,3.21.3,develop
6ulysqmvosdlfa6kmms74rigudhviecn,3.4.01,3.22.1,3.4.01
77uzrm6qwdhbnrpohzjnbetb3ug3t7cj,3.4.01,3.17.5,master
7m3qifnqa36kthu2kzicdg5qqewrnjem,3.1.00,3.19.6,3.1.01
7q3npwygt46pw34lqz4cfydkpdnu6hce,3.4.01,3.18.4,3.4.01
7tq6rbkdaj4iur3k37a6uo5gjlf3w2jj,3.2.00,3.15.1,3.3.01
7uzwbkeb2bqzzmc3adretoyzhxcvhuc2,3.1.00,3.19.1,3.4.01
7zd3xngzitz5ka4sjujvcandovs5w4do,3.2.00,3.16.9,3.2.00
7zrlrmntdx4d2fuhxosntk5cdsyc6bur,3.0.00,3.12.0,3.0.00
a46yxdplkwnnccuwbf2wflx4pe25rk7b,3.4.01,3.18.6,3.4.00
a5k26fku2cqak3zc7k5f7wvwlldif6t2,3.2.00,3.16.4,3.1.01
agctlpzpakbvfv6d3t7bpapvmfovuyss,3.1.00,3.16.3,develop
axvplngi7bzzlzexvbhtsa5omtw3jwdh,3.2.00,3.21.2,3.3.01
b3ae5mk3trhamhwe7ujmgipskeihw6j3,3.1.00,3.17.5,3.1.01
