,superlu-version,cmake-version,openblas-version
7e72bbifdpgfcohzqamkkirnag6umm5s,3.0,61.0,15.0
7emtzg6lwcd2prymzbw2xgg7cxem64la,2.0,44.0,12.0
7f4i5ib2wmkoxz2w5i6d6duwik6ue7af,2.0,96.0,1.0
7fdz3vx6ndp7ycxptc7jpg3tfz2hwfkl,3.0,86.0,7.0
7inklzgje6utktmdqv3j4bbvaefyecod,3.0,89.0,18.0
7jrrgdmjgwgciaopm5k2eboimvrvyd3o,4.0,28.0,4.0
7k37c4i4e24q75pv35lbkihevjpx5lb6,3.0,17.0,17.0
7kdiogbvbvlaiwifi3unu6jpeqlrxryg,3.0,90.0,20.0
7ljw3fyka2tlmoogoay6czcufr2dghsj,4.0,96.0,19.0
7mncjl46mlfbg3gk7iwaxuistpijs4ez,4.0,61.0,5.0
7mwydzlfefj3ixjoizps2rfkzbhlrg3z,3.0,96.0,21.0
7n7g3thycvzdxdtra45ze646dgeniwkm,4.0,63.0,9.0
7na5unsqay2zjfwxqlxw7x7dd4zpd32e,4.0,16.0,13.0
7qpxi3mvkksjozq5rkkqgxviz5qroj7c,4.0,10.0,2.0
7stlg7rncd56inlglvx7gjkl6nnthtxh,2.0,7.0,1.0
7ulngu7jxmnmqrizqan2yqc7ijoimumy,4.0,26.0,14.0
7w7pc543ddbansdvrahii65fnrzspgts,4.0,66.0,14.0
7wz7gpqmsr56v7y6ffnpzlqjv2zlyyvq,2.0,30.0,20.0
7zsat77mjny5zdwiiirrbqj3v6q6wjkw,2.0,19.0,21.0
a4rtfelhlyujagw3eiydv6qnisiq22oz,2.0,12.0,9.0
a5s5zhvb3tt4w4n3azmk34cwls3rezhr,4.0,4.0,8.0
a6y55ja5o3bil2yzi7mlxbt2lc2cojtr,3.0,41.0,21.0
actwju43jboig6sp43i5ykrsgrhs7vvh,2.0,3.0,15.0
acucms3l5kcquhgwoymzfvlknxc24dpe,3.0,88.0,6.0
aei3ncncesznsebxhjpndnay5vxqe5yi,4.0,36.0,17.0
afc6i3vegvidhh32cvzivavvyehsf4ob,4.0,12.0,5.0
affxn7yb5gkww5zolphs725q2jcpz3yt,2.0,21.0,19.0
ahx4wbcwhrtbqrq5wab2grslpmmueaxy,4.0,47.0,18.0
aioivwabsebln2lc2hufcakjrbsxfqqo,4.0,42.0,16.0
akhiknk2vcaavzdymzxjsk76kzaeccqo,3.0,87.0,5.0
alffg2x2nv7lwtdo2t5r6z6oalecjdmx,3.0,55.0,21.0
alsgwjxfjfr7gwephdvpzxsl623p4owr,2.0,29.0,9.0
aqy22hyuwuzx7pdaf6txvetvphwwdeg3,4.0,81.0,10.0
assnwmhhdwsdzbd36z7zyq7jxs4aiibp,4.0,71.0,15.0
atpa4ebxqd2psdb4scsmjlguffhws7lx,4.0,88.0,2.0
avfpsnvbvkuhd6gzdutmaexnp6pbvokq,4.0,78.0,7.0
aw75bf4kxdwlrmexnazjyl6th7ai2iig,4.0,53.0,17.0
bc3gbilhxup5hun7vpfbv6ftnth3tvs5,4.0,61.0,1.0
bcj57p2ijcz5xr5ecslmrxviszh67paa,3.0,30.0,14.0
bdkanabvffxdmw6vmw75fyefhor4rpzj,2.0,24.0,5.0
bfha4qncduzhioanylpcbaxzddilzcmg,3.0,74.0,6.0
bfm76ptgpagp74ppmkbcjzkx7agcggu6,3.0,31.0,14.0
bgu2d5dw4l6koe2cv3drhdbqsdvnwjch,2.0,53.0,0.0
bie2a5o6adwurjibrcyulbdmdugqpe6y,4.0,5.0,6.0
bjytcxmf36v27bdijbwtylcnsvpfhvti,3.0,73.0,2.0
blh7gkcmpgbucgq2jrla46w2oe6vvt6a,2.0,30.0,19.0
blxj45ren3fpcufifpsydhhytwxkk7wu,4.0,44.0,17.0
bmlbg25v745vpgdacvgmafkxa6lot7k7,3.0,13.0,3.0
bmlqi5ekgoa2pokmhmw2neox7ew6htm2,4.0,93.0,0.0
bmvb2z4b2fusf4rnpy2kgebdfczxjuqu,2.0,46.0,2.0
bmy7v2wfkngeoeyry6u3ha4ynpxlo4eh,2.0,50.0,19.0
brrwrplrzgaw5zwaunm5jjbobec4sho5,3.0,87.0,11.0
bszlkzrgx2emkm5r7qzxge7kyukrmefo,3.0,43.0,4.0
bvbhmtbwvia4hqsu3vcvkpopdo6j6hq5,2.0,93.0,15.0
bw2nltwz2zvckqrnetkst5evyqi4i2wg,2.0,54.0,19.0
c3gdkicxp3ecyj2d6jrc5kqxy3v3ncui,4.0,13.0,5.0
c53nd5tmcrhdg4h6yydikxanudsdjw6l,4.0,59.0,6.0
c57w5qj34jfrkuvchmpfdkqb74tgtdi3,4.0,2.0,13.0
c7arzs6rldabpnwrg6sjpuk6byvre5ct,3.0,58.0,2.0
caulvlooapbe5g7ri7afg3nmyze4jwzg,3.0,96.0,10.0
cjpzgtohgdsefriygu5jok2jxdcqggpr,4.0,49.0,4.0
ckp6vsbweoiqjn2da5jwpbffbudtf6kl,4.0,66.0,20.0
cl4c42dokbjdnaa3lylvqp4tlvysshub,3.0,97.0,12.0
crnl2alzz2so5k3fhikc4d4fkuih2sso,4.0,6.0,2.0
crtfc674h5iodwt222rbart5mqegupor,4.0,55.0,15.0
cuknjxmzbrwjrgavq5bvq6fskyptv5l5,2.0,85.0,6.0
cybi3rausxjwqdhjeqxclzzcfz62zyek,3.0,89.0,1.0
d4vnukb3ukysxjimqhxyjecpxnwpzxmn,4.0,33.0,6.0
d6f6wp5peu7efcno26a7lb42sg5pll7a,2.0,80.0,0.0
d6w27fz5mywyvhh45k6hd6xo2hldfrpr,4.0,41.0,0.0
dcihprm3nupvkp3qgmkwceoozszoqdlk,4.0,6.0,9.0
df3tkcwer47nclexzpsioho5sqwsbytz,2.0,62.0,17.0
dk5bgllwvy4drplgiw66n5r2cmiye35l,4.0,62.0,4.0
dklugquay6t255uxo7hzfnzhsis2ylvp,3.0,25.0,6.0
doc55zlg6fkg2dq5hexxpnjgmbthitcd,2.0,63.0,13.0
dqwekge6fhobli4rbep4of4p5kxwja6q,2.0,53.0,12.0
dqyzt552ngeuxcxgc7tqglawze6lgggh,4.0,60.0,17.0
drmtbjyiknnwkqvvnv5si3b23wtr4hhw,4.0,59.0,8.0
dx5lp22ka5kyrztbo4wfetpdri5db2l2,3.0,83.0,14.0
e2zjmob33vavlrvip7azwf5zskclarbx,2.0,13.0,14.0
e36bun2douveduizgddi5vlt7b3to5wo,2.0,90.0,5.0
e5qz3dxxw5et56w55hp673wf6wccvyol,4.0,61.0,6.0
e63nljl6tstdsfdtdod6n2hhhhwplkdr,3.0,75.0,0.0
e6sxllxprgnpc5j2dcp4qbqfqqsl7zzm,3.0,35.0,1.0
ejtsmen72u2klwqawrtjda75d4thn5vs,4.0,43.0,4.0
enhko27zw3tffiu632h74ycepko6xcmw,4.0,33.0,14.0
epei3qq4z3pu7e5nys5cc3vvpveu7qb5,3.0,65.0,14.0
evcjphevxs7e6qbv44ymoc6xkl63xpvp,4.0,13.0,6.0
evxqwni52rx2ys4amzi4qpus3k6fmcnv,2.0,42.0,8.0
eyt3mzayy5i4ftcuk6ml44nc5jvupo3w,2.0,83.0,4.0
f34xn42vldpz4szxo2amizellyvhlm2n,4.0,45.0,9.0
f74ur5eeizsyraigz6yedf4wupkvlp44,2.0,62.0,11.0
favxiz2w4myxuw44l3jwgu5jeahnuvzz,2.0,57.0,13.0
fawqrtxdqxmjxydpoeydmav26dipl3lh,3.0,70.0,1.0
ffb6lesjbgj4fpne6pqpairxi4sf47qq,2.0,41.0,6.0
fh7bk3svmdc6wzonwzysf6xkgq22lqp7,2.0,93.0,17.0
fhtudlnmp5rnz6borys3esfhiphwdk4h,3.0,11.0,20.0
figee4toekx6lkf6m3bcfr7zejtsjcpr,4.0,12.0,9.0
fl5yp4h4yxpve24m4ebz75sy6oiqieic,4.0,60.0,1.0
frgi42f35alxox5akmpxwv6u3wpmspbb,4.0,8.0,13.0
ft76q4k3bp533bvbszk4qkguybnwsuut,2.0,46.0,8.0
fu7vp7ogb7srjajhyu5q7fflkkxhien6,3.0,97.0,1.0
fuuusucxgoamkyevzao56fyxwbl6wxpc,2.0,56.0,20.0
fuyonk527flhqubke6sfnj5c5bxomds4,4.0,17.0,14.0
fyjf3baoyeme3v2wxuwr75rucrjwovlq,2.0,21.0,3.0
fzxhev7ho2bvy2evn2zvqk7aj6zmfekp,4.0,17.0,13.0
fzydv4os4corzm7hlwgdmybnpbovtomg,4.0,16.0,9.0
g32ov3cfnxwu4boixhgam3j4gw2efdri,2.0,13.0,17.0
g5v3eafueck7o5yandqolrhlbkivnodq,4.0,15.0,10.0
g6do2yhf4rlhic45itatvnjqm6qcxqhs,2.0,10.0,11.0
gazjiu3hozhbdrldxh77dmbvyq4tx3do,4.0,55.0,8.0
