,plasma-version,cmake-version,openblas-version
24rzp3zy745j4vgm7dcv5yu52laotpgx,7.0,60.0,15.0
2ef6dg4dnttvhbqwuke3qdsjb4ty742i,8.0,52.0,10.0
2jctcevef7lxdaslrce3kfbk423ylvrp,3.0,61.0,12.0
2mz5a44fciop4mdga7mefk2aqmnvackq,0.0,52.0,14.0
2qcvlyvj4gxcdtruacf4d4qv5utfei72,8.0,33.0,20.0
2r2bi5dk733rb3bx6p7vv2jspzqt3qgz,0.0,96.0,10.0
2ruxkgkis7ps72sjo5etfdqdt2zgfxjp,8.0,65.0,19.0
2sfx6ffazj6m427igga4rmlhlimpwnie,8.0,11.0,8.0
2xeujpa3gwb3oibvldxxe5qijrh52yha,6.0,27.0,0.0
2yf2lncovrwmymzuuqpjsuejaglbuatg,7.0,57.0,14.0
2zulco3huq3ccmo25xcvymrxwqtdvmcm,3.0,11.0,6.0
32hkwhoxsiwy63nl2r2cjzv6mxxbzdas,7.0,6.0,14.0
37enuv6jn3zix2sc76mllpql7d4pk44p,3.0,53.0,10.0
3bu2r5xvyyr27qgdu45zp76nz5sfbtcv,6.0,44.0,9.0
3gbxroczrfmxv4uzlo2o3agq7wwqw5v2,0.0,63.0,13.0
3gzq24trf6ffcpxyl374a5w4hxsrprhq,0.0,60.0,2.0
3mz2ntfqkm665c2zk43tsvr5eoy4brza,3.0,49.0,19.0
3nyxukztln7fmmvj3xiapowxxfcsp64x,3.0,69.0,12.0
3pso5duoyix3zqivlrfyiview2mvphi2,3.0,93.0,5.0
3s47nsk2mj3edfikxkmmeg5pnb3nqdps,8.0,67.0,17.0
3szm265plo6s4f5vwykbediyxf4tu5nt,3.0,70.0,2.0
3zvvuwzzbkmy5te4viqk4cdljjhrnsef,6.0,12.0,6.0
422q473daka4qtabgviqym2tp4gv4yge,8.0,27.0,8.0
427oglwkxu5vwqi6bpah45umsynr5jf2,8.0,15.0,12.0
43pql6hdkmezsriz6dqsqmv36hs4rt7m,7.0,72.0,2.0
47e6iqfd2z2wyr37dpd3xheqxypkl4ok,7.0,32.0,0.0
47htg4ulqhg2c44rqib33edefck24dzb,7.0,5.0,14.0
47rbiljymsim7qh6bwugigtycjwag4uw,8.0,70.0,16.0
4e32ruyowxpwtryg2pts7s6mclxj6wgz,8.0,66.0,10.0
4jsiuq3g2ld5zhoswsoeo6ekgzqrt3i4,6.0,47.0,1.0
4kk4mjh72irsdhq2mf7va4gz7swjmwnd,8.0,18.0,17.0
4metk3oxe2r5v4wa7vmp3e5dg44lyu3i,0.0,72.0,0.0
4mrj7fq6rzpxw4aq4iaka7ntxnfhhm2u,0.0,16.0,1.0
4oee7qvbkbya3bzq2hdpkuxx7rsdk2bz,8.0,56.0,13.0
4tdopmruakf4rcup6jssmpxsenewlfoi,6.0,96.0,13.0
524ypysnk6y7y6ea6jhsl5hgtmqxi7jt,8.0,37.0,14.0
52qtsa7ldji2sbweuiil4la7oxk624tg,3.0,17.0,12.0
542ustdvmyhncrxwgd2ic2ztdvvusct5,6.0,18.0,4.0
545c7hm7x4ojp3rt75vxf7sw6r3mj24o,0.0,69.0,11.0
54abu4wux5ubwbqq2rxdo2xjgzmg7ahw,7.0,96.0,12.0
564ejckokj3jsr3rsaruvfzeilxuaxkc,8.0,27.0,16.0
5a6kdmyx6pxhfelbgimfs6ecnxo4ljas,6.0,73.0,5.0
5czy5qrpibn6euqwvlt2ggojjqbi26qo,0.0,13.0,18.0
5gpdl2yjswjotthlln2ot62azc62stxt,3.0,9.0,10.0
5hdiu566sdacxvk4hnijbca2xtxsqerx,8.0,3.0,14.0
5hfwxtmznqpg2eam772z6u6j4tpmuuv4,7.0,52.0,5.0
5lfysndnmlics6czfalqfe6qc24qvzd2,3.0,53.0,7.0
5n5mixkqtaeul5klnyk6u6rzehed66jd,7.0,69.0,19.0
5pfauaae3fjdshpztz6cbo5xcap7447i,7.0,59.0,21.0
5pg2nmla242dx4gmaqwnkn2kxkyopv3f,0.0,20.0,5.0
5rw2caduch6w36svv2lh62bjmya24yzf,8.0,73.0,14.0
5sgnaffy6en5y4titvpfflkjzjhu3ofc,8.0,33.0,16.0
5wejv54vrav6dhd7ixb6logcbv4pxlge,8.0,20.0,7.0
5xc3ltcip32avv6kg42fylq7qcicisof,6.0,26.0,10.0
66b4eqb3ck6go7hawpzkaldaf6mglq2l,8.0,97.0,13.0
6bn6ac4nvgkna6c2lisua7zawmj46suk,8.0,46.0,10.0
6bvx27khruedmin6cbwd4mlqc223un7s,0.0,95.0,4.0
6krjwjmj3vkukva5qntw4pkxc4vv3qpd,3.0,95.0,2.0
6mbrz32gys55hvdle2ynchretfx45lcc,6.0,51.0,1.0
6pla2tdmob7fjglcbm6dp7srojdbeho2,6.0,10.0,4.0
6rblfgp5t55fn4ofwffgxgeddeccv7r3,3.0,76.0,0.0
6tvrsxu6hnsaidzq4an5zakvnrekqdsj,8.0,49.0,15.0
6wuc5wm7ofkobbveou4uom3feofrdtyr,3.0,63.0,21.0
6y3bytnemnzr2uv6tahyru46kwkdnjt7,3.0,45.0,3.0
6yuverpjxnui7burc3vxkrmaxjy5d672,3.0,45.0,20.0
6zezafzlmsinny2upfschfb4dmpjhw5w,3.0,54.0,0.0
73ca2ghna2ckzcp5dywdld33ektyoy7j,3.0,38.0,18.0
743mx3caoes7sia62cvewg4vjom57rs3,8.0,72.0,21.0
75yzstw2r2xdm3xqxwhyom3zecaetg6e,3.0,79.0,18.0
76h4i2gakj3a35zxbniiwnba3skcfahf,8.0,2.0,18.0
7amhq6r4swjfsaual74d6jpy2oxwix7i,8.0,45.0,20.0
7f5b6b76h7xpd3ljv6mfvlkdklfcs26w,7.0,29.0,4.0
7gayuwu7a7yhign3qvhvpezaxflqpip5,3.0,26.0,1.0
7wclqbtwypt4xks7tktrgbkru7fmnl67,8.0,79.0,6.0
acqzutymikydvpob4cpo37dv2h44vpgy,6.0,72.0,12.0
ah3xvdcswtxn5j2xryg2d2u47gfqfhmw,0.0,24.0,2.0
aqnwq73xm7y23ypcvfxbm5qzcnwhqnnk,0.0,92.0,7.0
ayyjumlupn5kbwb65kaanhi7vjmvgkpk,8.0,76.0,17.0
az7lyve3cphcrvvjexnbebpizemaisq3,0.0,71.0,0.0
azieoj6v7stanxegvy764uutx6nqdkul,7.0,68.0,4.0
b2ekwf7fi2r6layhwj6p4wgpjdhumq3z,8.0,15.0,0.0
b5dbuuw3mf2ddmgcsgbhn2vinjxkupo3,7.0,69.0,10.0
b62i6hslji53j3tap65xvwccsrxfkjbn,7.0,52.0,14.0
b6zhpkdkdupgkldxr2ceabphe3r3c2fm,0.0,83.0,2.0
bekj2zv77iew47vsvziwr4v7nm4as27o,7.0,51.0,13.0
bg534l4shvryyh52clhrqtvv6xe44kos,8.0,41.0,5.0
bhkbtxtq7x7yf5oyd4kwjtccygooq4sd,8.0,52.0,5.0
bjjm56x5kkxjg2yxcyb7arz5qqjagb2y,6.0,25.0,5.0
bo2hp4ulzjy6wzhzlje4xxtsui3mx7lj,6.0,54.0,13.0
bpmut5oie7purgdc2gy4o7vptd6eodvf,8.0,31.0,5.0
bqclnew77r53fquiqtc3dcujfmgtjzjj,8.0,55.0,17.0
brccxdcfqzm6lrk26qak7sipsc36jabb,7.0,17.0,17.0
bs22puf3mtmkgfso6qddvkbgri3czr6v,0.0,94.0,13.0
c4oqyd3tlyilp6p4vzk4zcp2dkoqi7z5,0.0,85.0,12.0
c6x2vjm2zd6uflvlvuxuqwxqdnvmfp42,3.0,95.0,8.0
ceryfo4bhlmt5322mtiu2xwouia4bczz,8.0,56.0,5.0
cexqxpebclf5lbpi2mvr6ujhoon3t23g,8.0,45.0,14.0
cineosqpokorj6f3glrkcolumis7h5sv,3.0,97.0,20.0
cjok7octqzoqrxqwuubk4363b6t42jce,0.0,15.0,12.0
cn2d7yk7dxnww5d4a3bkphnqvxghblxn,8.0,40.0,2.0
cq5ezlkcq47y2ihwd7hv7erttxs3zgcm,3.0,69.0,3.0
cvshvqjfxiekjwo2yupakpwfp2t5zct2,8.0,27.0,7.0
cwwg4plxxfcsolwkzzzarmatafwu3f7i,7.0,47.0,17.0
cxb5h7atjtbka2g5kia2f5jhjx4n253u,7.0,10.0,12.0
cysvkq7yh7457qsfedqorwoufbfkxk3l,7.0,62.0,21.0
d2kp2nr4vagmiql3pgrnystzxoyobb6r,8.0,22.0,13.0
d543urlgckz22c5big2mqlxubjxnnda5,0.0,5.0,14.0
day7wikfc42m36etrjhfoycfnlfiwdtv,6.0,67.0,20.0
dfw5t6ib54rwvkizertycwpfpz4pelba,3.0,42.0,19.0
dkinuhyblx4rwzxcyo3vm5y426awtw5n,8.0,47.0,13.0
dp2ttpbbguo34uc6t2erfytnhdptlq2v,8.0,25.0,7.0
drz4fntbk5qx7cu7a7spnpee774ag3gq,8.0,65.0,12.0
dwq634ryldt7tlugi2c6oh6vjibacgzl,3.0,53.0,14.0
e2tj556tsmux2277x476xqtwq5vz3xn5,3.0,3.0,4.0
e5qrfriszmau5g5fzqxo3xazyipp4qmz,8.0,26.0,11.0
e6coa37kt5axl4xmw6axfyvf2zg6zrwz,0.0,18.0,14.0
e7p2p4vumwx3mfjqantyaupxdvqgggcs,3.0,63.0,15.0
efmc56dkozzy5x6wjrbd4k4l7rwmrfxy,6.0,36.0,19.0
efwqie42lazm4gtxjca5dftwjdeqjsw6,3.0,37.0,12.0
ejekmptzv6oqophrelwr2dbrtbdhu3uf,8.0,54.0,14.0
ekpgto53irugode7l5glbrrshhskluct,7.0,25.0,15.0
eqzy2e42n2xxcr6r2jut5peje3egglc6,8.0,33.0,5.0
euqakmxcpxy2bbf3jkaoq6rh7ngt77xu,7.0,2.0,7.0
eylcpitm3df3ya24jcbffv6mrplvrffa,0.0,77.0,2.0
f5elg7m3huej47melltifwwsiucd72dz,3.0,41.0,10.0
