,libtool-version,c-blosc-version,python-version,autoconf-version,zfp-version,libfabric-version,adios-version,automake-version,sz-version,mpich-version
4rtk5lpjhknxsbf5zcusm6ninnv3e4uq,develop,1.12.1,3.6.14,2.69,0.5.5,absent,1.12.0,1.15.1,1.4.10.0,3.1
5ntzgt7qxiv5wqzyswayjxnxydszvdsx,2.4.6,1.21.0,3.8.12,2.69,0.5.5,absent,1.13.1,1.16.3,1.4.12.3,absent
dykupv7mydldpnfnc72xffmixmj6rb7i,2.4.6,1.16.3,2.7.18,2.69,0.5.4,1.14.0,develop,1.14.1,1.4.12.1,3.3
eyukj5grxtqncu5q74yvyfdaoisfm34f,2.4.6,1.21.0,3.5.10,2.69,0.5.4,absent,1.13.0,1.13.4,1.4.11.1,3.1.1
gico2dgi5j63zswyhtdvj5uhli5zjplo,2.4.6,1.12.1,3.5.8,2.69,0.5.3,absent,1.10.0,1.13.4,1.4.10.0,absent
h2djnzu7fy7e5p2uwb5m4k5cp6yl3cgf,2.4.6,1.21.0,3.8.11,2.69,0.5.4,absent,1.13.0,1.14.1,1.4.11.1,3.0.4
ks4sik6tidt5awvw2roxegi4ojejai7u,2.4.6,1.12.1,3.9.2,2.69,0.5.1,absent,1.13.0,1.16.3,1.4.11.0,3.1
oxdno4byjgzmz4k5tj4uy7nuedp6xv2e,2.4.6,1.21.0,3.7.6,2.69,0.5.1,absent,1.13.0,1.15.1,1.4.11.0,3.1.2
pb5u77ifmncqpmuxck65qjrv3hxxx476,develop,1.12.1,2.7.16,2.69,0.5.5,1.14.0,develop,1.14.1,1.4.12.3,3.4.1
uj3ghgut2a5mcz35jti5pcugonocaa4i,2.4.6,1.12.1,3.5.1,2.69,0.5.3,1.14.0,1.12.0,1.13.4,1.4.9.2,3.3.2
zzgsbq47vnlrcm7nbtkbf7u5kjkzcm7y,2.4.6,1.21.0,3.6.6,2.69,0.5.5,1.14.0,1.12.0,1.15.1,1.4.9.2,3.4.2
5yn4pztowghdb5wy566vcfogz4gcze6z,2.4.6,1.17.0,3.6.0,2.62,0.5.5,absent,1.13.1,1.15,1.4.12.3,3.1
76jno27x4fgs4tzqopt3you3bsvjd7vx,develop,1.12.1,3.6.4,2.59,0.5.1,1.14.0,develop,1.16.3,1.4.12.1,3.3.2
7rzmjmd2lhkr2nylw3qfepflgiew4mhu,2.4.6,1.21.0,3.6.11,2.62,0.5.5,absent,1.10.0,1.16.3,1.4.9.2,3.1.1
b3atddn4lqvyqsdlgz2di6g4h3xsc42h,2.4.6,1.16.3,3.6.13,2.62,0.5.5,1.14.0,1.13.0,1.14.1,1.4.11.1,3.4.2
fssaamkavvww6au2mey5o2iiooohzjnz,develop,1.17.0,3.9.1,2.62,0.5.4,absent,1.13.0,1.16.3,1.4.11.1,3.1.1
h6m5m2zzeyulbkwqjwakk7j4jy4jxprc,2.4.6,1.12.1,3.7.5,2.59,0.5.5,1.14.0,1.9.0,1.15.1,1.4.10.0,3.3
inpi6zoh3zj4hybikiho2jfwixxh3mbf,2.4.6,1.21.0,3.5.7,2.62,0.5.4,1.14.0,1.13.1,1.16.3,1.4.12.3,3.4.1
nfcqztkkut6isgkxpgcfpvzipot6b5ah,develop,1.17.0,3.5.2,2.59,0.5.5,1.6.2,1.13.0,1.16.3,1.4.11.1,3.2.1
u53wwp4m7seig5deb7poenvm6lkgpzpv,develop,1.16.3,3.6.10,2.69,0.5.2,1.14.0,1.11.0,1.15,1.4.10.0,3.4
y26z22bgi7uqxdog6gm63ym53jc2yrvd,develop,1.17.0,3.5.1,2.59,0.5.5,1.14.0,1.13.0,1.16.3,1.4.11.0,3.3
zqc7qhn5oo6mdtcyzhznb35yojlihkal,2.4.6,1.12.1,3.8.4,2.62,0.5.5,1.14.0,1.13.0,1.15.1,1.4.11.1,3.3.1
