,amrex-version,libfabric-version,cmake-version,mpich-version
22h5qp4h322i6qmnbc4g534hkqjalvpq,0.0,0.0,7.0,7.0
23nvg2iett72mjpnvcavro54e4dubg7a,14.0,2.0,57.0,13.0
23xgcrbscqpuh3q2xvfjet2dq3lilzvu,15.0,0.0,39.0,8.0
24slwyoaip6d4eb2mgx5zhinxvzoj65v,2.0,0.0,78.0,9.0
252btvxxckod56es7jzsl3s3v66glfg7,21.0,0.0,43.0,8.0
25lpw3hbqwi3gyu3nagdlmzyyodv7mzl,28.0,2.0,54.0,1.0
27wnpscrrw3jwonkasmxfz5smed4sydg,24.0,0.0,18.0,10.0
2d2wd7xz4xpiwhvn3m7c24hg6pms7p5w,4.0,0.0,41.0,11.0
2fsvmmkfxifptnn6lroqa25i4eodqjo4,18.0,0.0,61.0,7.0
2jdjvi3wshv437dng6nwamivomjb5wqa,2.0,2.0,12.0,3.0
2jvdph52w2b4wzs5vtnocm244xjpytpn,14.0,0.0,20.0,14.0
2kiuohzhgkfh3myula7wirwnsr334myo,13.0,0.0,23.0,7.0
2mbepttjzeqcw45btui5ur3uwx53ymvt,5.0,0.0,69.0,14.0
2my35uuv7slppriktkjnqischflm4xj7,24.0,2.0,30.0,2.0
2n4fli6and4wuzgn6efxsuikhmbq5cgc,2.0,0.0,32.0,11.0
2otxqnsbb2olmnerzkk7d5i4c26cz4n2,25.0,2.0,15.0,0.0
2p7hdyqpiliie5qybnktc5z6sfysgz5h,11.0,2.0,15.0,2.0
2su4uwiawiltigwkc4hemc2px3vbzfz4,2.0,2.0,58.0,0.0
2sxgo3qrc6cxiwulcuwxizok7durgtju,2.0,2.0,46.0,13.0
2ukqohyxsquphekuteseupwj5yyhvxmo,11.0,1.0,13.0,6.0
2vv77dspfxaeu7pjaansqpdz3e3ifnnx,5.0,2.0,30.0,4.0
2wba4cwvqtwe36avgctxm5ianq74adcb,26.0,0.0,62.0,7.0
2wy2lku3ha2e62j4jyhexh3jecrwfkib,15.0,1.0,64.0,5.0
2zkrq23vggxd3mnjigbxwjx5lxxoo5na,3.0,0.0,61.0,12.0
32ofzg64gcd32fzuurtmhml336trgbvx,0.0,2.0,4.0,1.0
347bjt7kpijydlycmq3mu2ygu4pphyj5,0.0,0.0,55.0,7.0
374kyab2lcl6kzszzkrjxa4ms73ckfvg,26.0,1.0,33.0,6.0
37izaxl6mdxa4oel6mnss3zc7swpout3,12.0,0.0,67.0,10.0
3ap3nutsgechxm2fidmbskbkhauutgic,22.0,2.0,51.0,4.0
3asyeblskdaekzqg4syfs6wiqtm552js,5.0,2.0,64.0,0.0
3dy23nrboalzvfz4bygtfoebwbps36s6,0.0,0.0,79.0,7.0
