,libtool-version,libzmq-version,libsodium-version,libfabric-version,automake-version,mpich-version
22b2aywx5nsd4nme5avhufcnv4akm4wi,0.0,12.0,0.0,1.0,1.0,6.0
24wfrxqsc4w33fhi5473sxqnhsxtgfmw,0.0,4.0,1.0,2.0,0.0,4.0
2q2ywsqewda2vxp6pthz7obdojihslog,0.0,3.0,1.0,1.0,6.0,5.0
3m355zlqaukinkh5ilvu6tindz3h7igh,0.0,6.0,0.0,1.0,1.0,5.0
3sqtzwlfqc4u4fddtjnyvzgkujqvz5oq,1.0,9.0,0.0,2.0,0.0,2.0
4breihhu4yzwngtnjklk6u4zhxww6b7w,0.0,10.0,0.0,2.0,1.0,1.0
4u72i3m3iloy53zayjj5rvz4icdb2zwv,0.0,0.0,1.0,2.0,4.0,1.0
7rcdygpmgiz3cy42xukdtktkbulsvrl6,0.0,10.0,0.0,1.0,3.0,5.0
a4h6o3zeqghkhzifctl4zdsqfnddhoc4,0.0,10.0,0.0,0.0,0.0,7.0
bieq4ntfgbulth36h3dhoanwy2izaifp,0.0,10.0,0.0,2.0,0.0,0.0
bnyibl5q42mq4g4nhsa2p376xctrpbgz,0.0,10.0,0.0,1.0,2.0,5.0
cuecrdhdftu37f7ldrfqzl6ar7gi53mu,1.0,11.0,0.0,0.0,0.0,9.0
e2iz6wq4w4quc2nbngpl37pvc225lzjm,0.0,4.0,1.0,1.0,5.0,5.0
fk7wti6dwptkx523xgaujzml3bmholsc,0.0,1.0,1.0,1.0,2.0,6.0
gcvgh74ujscuutfc4txux6y777xg55zu,1.0,9.0,0.0,0.0,0.0,8.0
gy5k4smr4q2diuib56hijaibrpjfhpgz,0.0,12.0,0.0,2.0,4.0,3.0
h2m5cf3drbbjup7pj7y34tgtoyuclfjz,0.0,6.0,0.0,2.0,4.0,1.0
hajuqs2as5ol3tf4dttql55lhgfrxq2h,0.0,3.0,1.0,2.0,6.0,1.0
hj2n5xfkdjyzahpsykuh7vninvqhhwl2,0.0,8.0,0.0,1.0,0.0,5.0
hlvotvhmwsicgs2b4gnjoo3js3n6y5qy,0.0,1.0,1.0,1.0,4.0,6.0
hwhoqap5hmgmitg2hwzxtplrogiu76nq,0.0,4.0,1.0,2.0,2.0,3.0
ibly7n66napo2ktgyydwo45po7gs64ga,0.0,4.0,1.0,2.0,4.0,4.0
il4dkafh6lwn2xk4ahmhh7gevwcvpwic,0.0,6.0,0.0,2.0,4.0,0.0
itj37343p6qgjltniyoelvr4ugcl6mxk,0.0,6.0,0.0,1.0,6.0,6.0
jurcae6ny7rmv2yaxpzyxkyfteuwdtxm,0.0,8.0,0.0,2.0,4.0,1.0
kmqozyjbvg3dc5gegprfvmxl2ms6klsd,1.0,12.0,0.0,1.0,0.0,6.0
kuys7opgblpgrcqijsp6c3cxbxfp3h2c,1.0,5.0,0.0,0.0,0.0,8.0
liuibvt54qhzodxeas6x7yadk7jlwucl,0.0,5.0,0.0,2.0,1.0,4.0
mo4ttsjmhbsaue2l7zpdmomad4yjbhs5,0.0,7.0,0.0,2.0,0.0,1.0
oooxy2epcoeog3d3bhhcezksdhkbw6ew,0.0,4.0,1.0,1.0,4.0,5.0
ot7qxkb4jkhuqwvpdwagrwjespsbenkz,0.0,9.0,0.0,0.0,1.0,7.0
qbojrdselq25zp2jotrrnycyo2xdluhw,0.0,0.0,1.0,2.0,1.0,0.0
rh464itezs47zhnai2k5g463zojubix7,0.0,4.0,1.0,2.0,1.0,0.0
rqhbuvkcudcuzm4zmuzkoic7bgconcl2,0.0,3.0,1.0,2.0,5.0,1.0
t7dncuwv56o3z36dacwbjzm35tlhqfyg,0.0,12.0,0.0,2.0,3.0,4.0
tb7ojvpvo3zwjvu2usu64pcie2ly2xsm,0.0,12.0,0.0,1.0,1.0,5.0
uwkqncv4gb5d3nz32vctkaoop5tnqthy,0.0,5.0,0.0,2.0,6.0,3.0
vrisiekh3ksojuaai5v4r4naeqellbd3,0.0,8.0,0.0,1.0,1.0,6.0
vuuknl5u2bwlyarouqsqj2xq6xmqp7gi,0.0,0.0,1.0,2.0,6.0,2.0
wnejy7xubeyjfymrfqa44ivjnxax67sh,0.0,0.0,1.0,2.0,6.0,1.0
xwmdvf6nzzxugnrjolvzuf3avpxvl6fy,1.0,3.0,1.0,2.0,0.0,2.0
y4g6ty3f7iwi3ciqns7fw2wwsnxicwyo,0.0,6.0,0.0,2.0,6.0,1.0
yxsi4dojn4vvqe6o4xig4kdoyxyxa2vo,0.0,11.0,0.0,1.0,1.0,5.0
zdgscgamnnkuzubdjp7ip4f5rzxwizz3,0.0,12.0,0.0,2.0,6.0,0.0
zf3tnyjuknl2pdntmi64yzzssxo5dphy,0.0,4.0,1.0,2.0,3.0,4.0
zjwd6gfcbi3ua4nqtcvuaxjnbgsem6lc,0.0,9.0,0.0,2.0,4.0,2.0
zokgnooiogromsx6mqdt672fpeqbllxu,0.0,8.0,0.0,2.0,4.0,0.0
zoshkvzouvoft7d2jgsptasfayvesg7m,0.0,2.0,1.0,1.0,5.0,6.0
v5fd34n6ltnboxng63hfrlvzr4g44r4q,0.0,6.0,0.0,2.0,5.0,1.0
