,libfabric-version,pumi-version,cmake-version,mpich-version
f74lqctsyulfo35gdull22pywinpfk2m,2.0,0.0,33.0,1.0
farnqjiulczx5ngpdhnhokxx5cd6saup,2.0,7.0,59.0,3.0
fbirygqqpwxpy4c2l63bletl4jlxyx4s,2.0,7.0,34.0,0.0
fcpldbzql4wtnshdsd2ndzcafszm264a,0.0,7.0,78.0,11.0
fcv4fwgvzc2feewwmz24jt7af4j5vn46,0.0,1.0,0.0,11.0
fd6ctbddwppmh2jx4kchgbbsopob7xh3,0.0,4.0,90.0,13.0
fdhpmh7hjj7ll45rgaswy4pbhxsih37x,2.0,4.0,33.0,14.0
fg5mmnyycyrfbcixp3jroks47suh3esh,0.0,3.0,72.0,10.0
fkp4v2it25unbo32qo6qupqy5ay4kbfc,1.0,0.0,79.0,7.0
fl7l4tuwvbrlq32utmezzt5rnzaakusw,2.0,4.0,38.0,4.0
flzlkc623y445ftlmkofzxzebiiqvg4j,1.0,8.0,37.0,6.0
fnnqvtv5owvbaq6m2owzuvccv3clbilx,0.0,0.0,58.0,11.0
fnxioqngknzogxkwwrl6cmfs3xomumr4,2.0,2.0,52.0,14.0
fpmu7vrqxd2aymn6ftlddordps4d32bb,1.0,2.0,65.0,7.0
fq4mzniwrzovyujtbb6rco7be4xoc3lt,2.0,1.0,55.0,0.0
fsaz3fvcjipiilrjm47pcabva4wkvxi2,1.0,5.0,7.0,6.0
fse2inqywt5lh6c3y2tjjody7g5dl3qn,2.0,1.0,43.0,3.0
fx7g5lyc7tsgjzgjkneuhxxtfe5oz355,0.0,3.0,83.0,12.0
fxtaxqpi2cxqwdvrkh5dezgb7tzzezff,0.0,8.0,61.0,8.0
fyypcnjm3qih3k7hbcfj45hxik2artx7,0.0,7.0,62.0,15.0
g3fjzpbw3pwsmvfbpgbq6gwy355kifvi,0.0,5.0,26.0,8.0
g5fn4jidonmvl4cv7en6t774o47ia2ww,2.0,2.0,70.0,1.0
g6wb7jkfuaugsbxjtbiwiapv3tzchgqi,0.0,6.0,86.0,10.0
g7c3q3jx5fglfpyvflig62ngld2shmam,2.0,2.0,67.0,14.0
gaq52wfmnx3qqz7l67db4kwc2a7gxa3x,2.0,4.0,41.0,0.0
gcxmbcvdegzcbudsc476xtfi6hzvphyd,0.0,7.0,16.0,10.0
get2q4f6u75znk6gvtu37ro4wih4izr5,0.0,3.0,84.0,11.0
ghnanzgwcqaymetrr4yh4uwf6e77juyf,1.0,7.0,75.0,7.0
gitxg4zdtzg4us2rrblf6hc4cgmogwst,1.0,2.0,34.0,7.0
giwxhfy7rf2pnkfuxuzqlsbzutunwcdd,1.0,3.0,28.0,7.0
gljuol44q7rp2djvyfmgc57s52csmcuv,0.0,1.0,18.0,13.0
glrybfm3kzg4thyakbg3mebphm4gir27,0.0,7.0,60.0,15.0
gmbwwu5q6o7kwjxawg5yjsyc2nyi5tdj,2.0,7.0,63.0,0.0
gmgdsqgu6kvbxhmdoefhymbjqytb67d6,2.0,5.0,85.0,2.0
gog4b27ss2qgu7riewgg7ijovqmpmt3k,2.0,7.0,15.0,3.0
gos2vf5dsvdpnjs5svsbcinws2dp5xv6,2.0,1.0,91.0,2.0
gox4ethc3bjly2bjnneacdsk5gdl72zw,0.0,0.0,81.0,10.0
gpbyiqd76vihs4thuxeora2bokqpznbc,0.0,1.0,75.0,8.0
gt3lumluchztnccdzlaura2r2byftezl,0.0,4.0,26.0,11.0
gufbcarcku7ceguxklu6fb5yvnyiqbsf,0.0,7.0,2.0,10.0
gvthvuu6mti75h5xv7e4a5he7jjadvvd,0.0,7.0,36.0,11.0
gvvdr7mnsg5tz3i6zlh36sqc6tny6k36,0.0,2.0,36.0,10.0
gwbk62txntk46tneliscntpsdlbwa54o,0.0,5.0,85.0,11.0
gwddrqfjc6ux2hu732pfjnrfsvxtlqs3,2.0,4.0,29.0,3.0
gwvowzdjabulxjcomp4x5n36sytdudil,1.0,6.0,1.0,7.0
gxvkldkayoi2mylb2hinow4wbo2eneo7,1.0,7.0,77.0,6.0
gyb5hj3d4edtvrafh5ycxufsb3rs4j2l,2.0,7.0,2.0,1.0
gyjefvgwlq5454wvrbuhz5bi5sg4xw4l,1.0,7.0,97.0,7.0
gzyovau3egplj7xkqvxoe3odbf5dykaw,2.0,5.0,91.0,1.0
h263vcejl7tltrn4terpqkk6nu6l7blj,2.0,3.0,48.0,1.0
h2ffgokxyhbvxocgqyfekd7sco7bxjzj,2.0,3.0,79.0,14.0
h2j57libkmtqtkkgf67jhcaaeuldhtn4,2.0,6.0,81.0,14.0
h32qwu7znpzbtnxl7ffse2zv6x5jgoxy,2.0,7.0,62.0,0.0
h3jpaplx2cx7t2k77mbsttsbnyngzist,0.0,2.0,60.0,10.0
h3x7pppx2hn5acpasuascgoooevkawlq,0.0,7.0,89.0,11.0
h3xypgpvacxjbpqv7f7kkbx6eubrshcg,2.0,8.0,27.0,14.0
h6caxvo6iabrjuuhmiivl3wmjczomfbm,1.0,7.0,88.0,7.0
h7dn5iqokazcmgpzlx3oyknlyqkmubm3,0.0,8.0,36.0,10.0
h7wrrd62rdgmihxxeqkqegecsv4mnd2t,2.0,2.0,2.0,0.0
h7xrl7aduomy6m4tvyeyfgssmyrrhymz,1.0,2.0,76.0,6.0
hb5gkocchb7zye5arvurf6olppanpzxs,2.0,6.0,66.0,1.0
hdrvy3fiwfykeaiq3hlki3jan2qn2bvg,0.0,6.0,33.0,13.0
hg46tygvw7vsidtuj3sx5kthwqvwccf7,2.0,7.0,39.0,1.0
hgdhcblylm2nanzbkmpf6ftejmtshr7r,0.0,4.0,35.0,12.0
hgy5cj4gwehy6cmyk2zejfkqe7xjfgos,2.0,5.0,65.0,4.0
hhmpxkhf3y7nca7ueutz462qq7nlsn44,0.0,3.0,81.0,8.0
hk626kn3v6gxriqqr6mep7mgrklknajb,0.0,8.0,32.0,11.0
hkbo5up6qhasyp5cvoij6hgqju6vc4wj,0.0,7.0,49.0,8.0
hkqfdwufri52flofavpxpnpe2jh2wpwl,2.0,4.0,17.0,2.0
hkukgrmfollrupvfcnpw3iftrpsrgjm3,0.0,0.0,34.0,12.0
hm4w6rgzdjkcnccqiutxoali2oq3llzb,0.0,6.0,37.0,15.0
hqi4htrsfn3d6y3s33ofdbeblx533bfd,0.0,5.0,10.0,13.0
hrchgzmhdcuqptypunwj7vcynberxoqz,0.0,0.0,95.0,8.0
hs6pfo2lmow6e2ltw747pye57ltzhbpu,0.0,7.0,33.0,12.0
htefjvgtzftsh2divmbj6kiw43kjk6p5,2.0,3.0,82.0,0.0
htf3hfuissrrsozvkv25udqlu65ndvck,0.0,5.0,40.0,10.0
hthknvdd64qyibiacsave4d3mkgtmfm3,1.0,8.0,64.0,6.0
hvmm77krucnzhfi3lvrypxxahbbnjs22,2.0,0.0,68.0,1.0
hvzwzxu2t33ohftzjct3xb3ltexgfknb,2.0,2.0,85.0,0.0
hxgmr5eryhp6j3r644dtgemcnifvffqk,2.0,4.0,22.0,3.0
hxwuic56cm6jrkc36ibflaiwqjzigmj5,2.0,3.0,33.0,2.0
hzfvg52kq77er3dzvuf6mfsz3e3r7ese,0.0,1.0,7.0,12.0
i2lwexzuolkxapsqs2ybrlpv3fao5sfx,0.0,4.0,26.0,15.0
i3j4pn5im64dso3elzjrb7fycytj743l,2.0,6.0,42.0,14.0
i42zcglu3iaoam7kvezd3t5mww2cv6c3,2.0,0.0,11.0,2.0
i624bohyvwfif2q4jhn77q2mo7dmoxhz,0.0,7.0,39.0,9.0
i6sff4yww647a5o6kq5js4hy6cvrq4ma,0.0,6.0,83.0,10.0
icyveskcrrgh6rujxxzdzo7mowt4pyqr,0.0,5.0,19.0,9.0
idnih6c57siyk2l6ibrxhdrz5foi4h5o,1.0,0.0,64.0,6.0
iesytitec42nlgdr7lq7f7zoqo75si3m,0.0,1.0,64.0,12.0
ifr2qbl7pspa2iduf2rp4n7ybmpfz3g2,0.0,8.0,13.0,13.0
igamg6ldca3acojqzm3ni3kcy3nrcaez,0.0,3.0,59.0,10.0
igfo3hp32aiaz5x5hns3xbbg67r63orb,2.0,2.0,69.0,4.0
igmqtxinjdotefw4egfizq2uuljktoa2,2.0,1.0,42.0,0.0
igsqw3i7ntg6eiu62akech6uwrhguuhd,2.0,0.0,22.0,14.0
igwzazep3ywxrjgbsh2lxn3wai3ijluy,2.0,1.0,88.0,2.0
iicd2csp4omdottmlzm4kkllgdt4fmd6,1.0,5.0,9.0,7.0
iichw5jlmqszhn3eu6fc2dayurws7ffa,2.0,5.0,86.0,4.0
ikkzp6ytu3z3lfvjz3hgob7dfhcpjjpr,1.0,7.0,0.0,6.0
iknmccgxt6s26lwpcgavwo662fkssy3w,0.0,4.0,13.0,10.0
imam4n3txhqu35qqszwd6y4cqhxzto2n,0.0,8.0,78.0,12.0
ir3kc342k5de2scgao2ufsth4bsww6dq,1.0,7.0,21.0,7.0
itcolcltwjpk7t5qclkhrkumsak3aed6,1.0,2.0,36.0,7.0
ityincdpxbbcvwv6ta6nscuqxlngm7cb,2.0,7.0,8.0,2.0
iuwyxi6hh2dprgrkzkwwxmztiizcdxo4,1.0,2.0,56.0,7.0
ivspyhup6vqrgijftfntemw45nhbknfx,1.0,8.0,67.0,6.0
iy4cukfyijtsw5ho3gf6xt76egosho7b,0.0,6.0,71.0,10.0
iynym5bvuwagbx3hzbopdra5eiupixxy,2.0,4.0,91.0,4.0
izxq57a3coihnivm2qials55i5nw6ng5,0.0,7.0,54.0,15.0
j2idqdusek7du55cgnqq6htmvnp343aw,2.0,0.0,34.0,4.0
j2r7wswzwad4qyg372o3i52egnopadsw,0.0,1.0,69.0,13.0
j3x2oc7or7mm66en453f6jx4yuh7owbo,0.0,6.0,39.0,9.0
j4mwcfkvunnt5zn44uivpib2xbaxin3e,2.0,1.0,52.0,2.0
j4zulyeyrxffytdqd4nso7xcwehe64kk,0.0,5.0,76.0,12.0
j6ux2roqsrp2mptpoklsglwvhesuia2d,0.0,0.0,8.0,10.0
j7nz6hvnto7ftqicfyw5d6tp7jo4n23t,0.0,1.0,74.0,11.0
jaawpgsk5cxzk2u7fcloxqhau567e62s,2.0,5.0,63.0,4.0
jby634mkwezmld7ujz4kuxrtkkcptu3f,1.0,7.0,86.0,6.0
jd4c3pkvshy7otpxpqcl4w6qsv7oufeg,0.0,3.0,83.0,15.0
jihmf6gpfqiitsxdbwiciorlfzbtiib4,0.0,2.0,66.0,9.0
jiobg3kb4o5p7sqpnwbi6vjfkfayndgs,2.0,4.0,12.0,3.0
jk6xgmnjw4cj22w35dpqobolmfgpq66z,2.0,4.0,52.0,2.0
jmrwkihtqe4prrdgxigb5na6qbsi62r3,2.0,4.0,14.0,4.0
jsz2duxadepad2ue34vkx3q3mjsapvam,0.0,4.0,93.0,15.0
jwl3jt52mqu2fke7zyfwanr2hqldndmr,0.0,0.0,86.0,13.0
jzeaqs6bxazmtyzfbqtvyodfxqbgiqwc,2.0,2.0,29.0,3.0
k2adnx4vijamiplj35nioaa5bq3eoaaw,0.0,7.0,86.0,15.0
k5m2m5ce3b4nmsgwat4fg63xjldehtx3,2.0,0.0,54.0,2.0
kannz6azb24yeunbd6zfp7b6i2oq4vuo,0.0,8.0,79.0,11.0
kcca74wuej53rw7pulm3l7zrpfz54i7o,0.0,5.0,52.0,9.0
kdomnstlvaq7rxmd7hsd54xzskhz2p2r,0.0,4.0,93.0,10.0
kdosm33b345tewnhsruidt5wwn6ej7y7,0.0,7.0,48.0,11.0
kf22pjke24jf55s3khcll534jqs4fbep,0.0,2.0,14.0,8.0
kifrzraufgqwxcxvwudltun2vw6m7zvx,2.0,8.0,67.0,1.0
kiy4l7esffdg5spoqnv35ago4q7ck4kz,2.0,1.0,70.0,1.0
klddx6tevzr4gixf6yxzndnw4lc2fiu5,2.0,5.0,66.0,2.0
klgl3kmdhzwor7bmo5yadkirckzs5ukg,2.0,7.0,49.0,3.0
kntcigd3rd265lb25453mjvkjr26ioz2,2.0,8.0,25.0,4.0
ko2izhda2wnes2wolq7ecpi7uu2kfgtd,2.0,5.0,69.0,3.0
kos5w4d6mxqhmbvcdfazgjvnadezwsgi,0.0,4.0,65.0,8.0
kq6kd32lg7ofoqul7penklusi6nkivu5,2.0,8.0,48.0,2.0
kqdw3pewjd7pfrkbvntqegcl2ycc2umb,0.0,7.0,64.0,9.0
kqkzpamlsc2akq7c6yh6mi223b7ymr2d,2.0,7.0,46.0,2.0
kqne7snkbi3z6ukqnlylhcb7svmwlf2b,0.0,0.0,30.0,15.0
kr2m6qruxa2lgunjzlh34coetiew7s6o,0.0,7.0,72.0,11.0
ksiotr7mso5bhtgh5ekpcnlcxhobqn42,0.0,1.0,26.0,9.0
kslb3nrf6vl5zznifax274ehyxrdkuzw,0.0,7.0,74.0,11.0
kuxevc4udyxtoed37tbcpcn2dylwpo6k,1.0,8.0,17.0,7.0
kwfzgnf3hpxmfcctl7ob426ids3wdqun,2.0,4.0,46.0,4.0
kwpyae3itclv4znm57kq6ywjdd2kkuju,2.0,1.0,24.0,1.0
kxzqysif6mn2gxaoe7vugtkoff6ezxt4,0.0,6.0,40.0,10.0
ky66t36cwpkqsjhme6oj6axugmvsfufe,2.0,5.0,62.0,0.0
kzmhwk7kpesmtuudzh6lqtuh7ieo2x27,0.0,2.0,2.0,8.0
l2aqbggokgahd2vi4xcjugwzkwqh4mah,1.0,3.0,2.0,7.0
l2jy7tqseaybay6jze4eypz7iycr4c3x,0.0,4.0,46.0,13.0
l2oido54up6mzf7ptfaxdc3hziltprv6,2.0,8.0,36.0,4.0
l2wz3sdqug5sa7ndflc6vnh3tvesp53n,2.0,7.0,3.0,4.0
l4wukw6fsyis5tzubjuqtpvoxzkdiidz,2.0,6.0,4.0,2.0
l736knokyq3rebp2yf6q4f57id4dmkjg,1.0,3.0,45.0,7.0
l73zcpf54n3vp7fv7htg7etp5s7y5vhv,0.0,6.0,51.0,10.0
lb2mfw66p5ngjwj4mv7jhlgvbdvt3iyh,1.0,7.0,24.0,7.0
lbyi7vcjvq477cog2zlytvjnsvh5k4st,0.0,4.0,18.0,11.0
lcdgtuuwz4bljhywi5tikxfbgwuhcfsq,0.0,0.0,66.0,9.0
lco4alvzj7vtcbk4gjxl4xwjpxiohdyy,0.0,7.0,40.0,15.0
lezo2cl4zfptxu77zlkk2kya5fy7m4rc,2.0,2.0,87.0,1.0
lf4rnip5w65a7ivjwhq5kyc3ygut7gir,1.0,4.0,53.0,6.0
lg5cvccjiieb4xyge5ombzf4zctdbmns,2.0,2.0,13.0,4.0
lgejekwdm2vjmd4bhvcka6hloznsumoi,0.0,3.0,71.0,11.0
lj4sifbe7ohigraciuzdnlfqfdysgplv,0.0,6.0,3.0,8.0
lk7vlnprhazpwn4oytsn54qfldjrwrxe,0.0,4.0,59.0,15.0
lkmdcej7ho55n5cdrlgyd2ju4em6fvjd,2.0,6.0,81.0,1.0
lladl4v4ohbjiebzu3zcenjajl526mbp,0.0,1.0,28.0,15.0
lmqxrn5a35gfx36t66p5ka7hingxby3y,2.0,4.0,95.0,14.0
lmvv4pwyd5joj5jkztqq26q7voluatpe,2.0,7.0,82.0,1.0
lnm3qkscv4k2wwxiruojbdpgzr77nljq,0.0,7.0,29.0,10.0
lpdgr57mlwdyjx2fqzneqkxuiuvk3ldk,0.0,6.0,90.0,12.0
lpxp34lqz3yronvm36wkjca3ga5ffqoj,0.0,7.0,13.0,10.0
lsgr26hayyv3vbbnr6gcjub25kkesgcr,0.0,7.0,83.0,10.0
lufvk3ydodalwolgs4fo7afevrcvlvnx,0.0,6.0,29.0,9.0
lvqnmz2yxu7htpx35hv5gqmgrgapxfqu,0.0,3.0,18.0,9.0
lwcbg6tewx5bgtitwztv4j2gdjbkiije,2.0,5.0,31.0,3.0
lxopz2qlxm2wnqbtcfdpoqlijzzh6r3c,0.0,0.0,67.0,12.0
lzpoxbr4ag6x6ig7ykusumpuw4wqjfdi,2.0,7.0,31.0,2.0
m3cczad3npq6c6sbne6ozvrjiflpgsuh,2.0,2.0,37.0,3.0
m4mgawdnpvyjrjhcs54nl6hgf5k55l76,1.0,1.0,42.0,7.0
m5ey5iia7ya4o5n3rpn2yzjvfo322gxx,0.0,7.0,97.0,13.0
m7houq52b6kpgtjdbtk6lb7uxxlp33wu,2.0,8.0,94.0,1.0
m7vvzrcdniw6ilb222edibyzmj72pnrd,2.0,4.0,45.0,14.0
maodx6cr5i4plmtp7vcwgictnl46itsv,0.0,1.0,86.0,10.0
mb3l5my55o6wfwn3czi5a7lwkspeoqm5,2.0,5.0,12.0,2.0
mbcqfv2ktd4aeqwrt7ysj4zove3jjp4a,0.0,0.0,3.0,10.0
mbliyj2u4n4p5wwchjr4n2t65wwdvg7b,2.0,6.0,13.0,3.0
mbrnu2zxmmwwfe7x7yro57niae7lvurf,0.0,6.0,37.0,8.0
mbxcccpxqvhm7feqptaeu4ux6pzflof6,1.0,7.0,89.0,7.0
mde3nezapjh4kfb22m6yxsngc6oq4edr,1.0,2.0,27.0,7.0
mdpwmy4g2s4bpjvynge4kwq6orjvj6if,2.0,8.0,59.0,0.0
metpwky5so6ekp5wm2vobqgclj5p6brj,0.0,7.0,88.0,8.0
mghgtpd7t3lakbq6xzversqsxmpfhagh,2.0,7.0,90.0,2.0
mimhsmxmayayp72uvyudkpgntj3lxdy5,2.0,4.0,65.0,1.0
mjdg2cebibkglsoazde7riutqxzwxoaj,0.0,3.0,93.0,8.0
mjedqwnsgynwvoicufkcn62apqe7nves,0.0,7.0,35.0,9.0
mlflcxhezac3otrhqsvd5b2ms2mhk42z,2.0,4.0,57.0,0.0
mnhdds4ojg6ermjptgrswv3xngd7ctqt,0.0,7.0,32.0,10.0
mpzqg3kl5zaqupip32le3eqaaims4jra,2.0,4.0,48.0,4.0
mv3qiela2u43bhkti62pi2d2muwnrrxs,0.0,7.0,85.0,13.0
mv7y2tvu2lqwjqf33bqgowge4l5tt5qc,1.0,2.0,15.0,6.0
mwnlydawg5qa4ybcw6bqe34ko2uta7qx,0.0,0.0,19.0,11.0
mww7gaoutcg57e5wies4trf2wzc3wrup,0.0,5.0,81.0,13.0
my7etrrzh222g6grffq2ieow75lfxaqz,2.0,7.0,46.0,0.0
myhmett4dauemgiwkxaotp3njbvrm7nh,2.0,1.0,50.0,14.0
mykk4oauvmu4v54yd7xlusqrmx4kpldd,2.0,6.0,14.0,2.0
mykyzjuookob65jjjeiljgpwy6lks3wt,1.0,5.0,35.0,7.0
mytlnwuq2lukva6ywqi47quadxguwyiy,2.0,3.0,50.0,1.0
myvwg4yqmalembp5flhgtefmeh3j3ncr,1.0,5.0,40.0,7.0
mzh3kexew4ewqcfi2pqxcg33a545j5aa,0.0,1.0,27.0,15.0
mzkwq753pshnh22ny5eyk7xa6bxtqdw3,2.0,7.0,81.0,0.0
mzwhkyd4mdmif6hldhfwicnplgfp7z2a,2.0,3.0,23.0,4.0
mzzkxyqe2q4b7lcxg4fk2b5znkdz2gag,2.0,3.0,33.0,4.0
n2hnf6rolkh7h2j4bjhp5b5bif32cxda,2.0,3.0,82.0,14.0
n3pbmnex3n3d7g7wko3ljdaszps4nnv4,0.0,5.0,65.0,10.0
n3rfad2aicgstyv55io4ohnu4zmylq26,2.0,8.0,65.0,1.0
n4d4pg7fgxuviohtsyoy5zm4jk4lkwbw,0.0,5.0,18.0,9.0
n64uewwbjnlkkphl2qro52zfdc7etorh,0.0,0.0,11.0,12.0
n72oavjoabmpzsps5jtqlran77qjg3s6,1.0,3.0,88.0,7.0
n7cgfs4eu27laxfv2kwj6r7tnyx4lbxz,1.0,8.0,57.0,7.0
na2aomiolim7q24zknbs7exqobfjoeo5,1.0,8.0,19.0,7.0
natulweq25n4jps5sfpmmjk6f7ka6o7i,2.0,1.0,38.0,3.0
ne3fzexbjbyknmhpi7d6mhkyzma6p4z5,0.0,1.0,82.0,11.0
nf2e456hneyslzcdkcniaixbki4qmujp,2.0,8.0,76.0,0.0
ngbuw2lse7ddjo4lvlfknstugteweaau,0.0,7.0,73.0,9.0
nglcv2r4ozhgxho2xkbndtpcp3lcp6xw,0.0,2.0,96.0,8.0
ngx2xajt7weesjkk2cqm3rg5rwou4fpc,0.0,6.0,58.0,15.0
njfflerzbrlotmrpvig4xsoqcpo3mucl,2.0,8.0,33.0,14.0
nndhuabuh46zytyttnpqtnkjqngqbtwx,1.0,3.0,40.0,7.0
no2cpksth53vtaqo2g7abslwmb4jcr5s,2.0,0.0,62.0,2.0
nowhsufn4nbufncmp2navttnn2c6hf3j,0.0,6.0,36.0,11.0
nozeh7gyode5c6y7ftawohg2el4die3o,2.0,7.0,56.0,4.0
nqk2cimx6zutm6hduw7jdmckycpogtpd,2.0,8.0,46.0,3.0
ntvoaiab3ajumd2fn4f7mlhg2pmak7cu,2.0,1.0,46.0,14.0
nugun2qokakmukiejtxmadybmjzud3gn,0.0,0.0,57.0,11.0
nvi6mezspps4ovfbpr2s6drrnkg5fzx3,1.0,7.0,19.0,7.0
nwn55gf2y2bmqxuyb3z4lntjzzoihum4,0.0,7.0,0.0,11.0
nxo3wp3p2uhyrpnmdbkwxtezzi2yso4z,2.0,8.0,32.0,1.0
nyhxje6f62zw7gw4wpnvovykd4qfxxuq,0.0,8.0,18.0,9.0
nzu6p4fe2uxwsxvi7opgeh4furv4kqlh,1.0,3.0,16.0,7.0
o4jpx5srjm4og3nheuhlor4q6chmsd6x,0.0,1.0,64.0,9.0
o5av7ko2ftjdpi26jd2qaf335qasw7si,2.0,2.0,16.0,0.0
o6lshawyx3lzahgaaccrg6git6yulokn,1.0,8.0,73.0,6.0
oanpe5b36o72bjygpsah7pgo3zpftmrz,2.0,7.0,65.0,2.0
ob3iypybvewhp7upuomokktqt25yjn5y,0.0,8.0,74.0,12.0
obio34x6f2zdaofatu65yf4btgiamc72,0.0,8.0,28.0,15.0
obysmjg3ftt2m2rhf3dlfo4jgx7kuht3,1.0,3.0,54.0,6.0
ocxssewhpi5wm633ne7hiubogytm427c,2.0,0.0,56.0,2.0
oe6seztes53bsmzcpftgpsa5d7eqstlk,1.0,7.0,39.0,7.0
oeay5z2omw433fr4iym22wfx6qqssdxo,0.0,7.0,15.0,10.0
ohrcqqhqlvckm5m6tkr7w2kkp3p4iin6,2.0,4.0,0.0,1.0
ojpq6k2b2jnan3wgh2ifj4cexvkirpyh,2.0,3.0,29.0,3.0
ojx42ffuhb3xvyyzwf3kfgyl6evploj3,0.0,4.0,38.0,11.0
on5r7jpz7rdg7uj77ranmjlcvaulx27o,0.0,3.0,56.0,10.0
onxe35obqp5vuca4gig52ldomul7bftj,0.0,4.0,40.0,9.0
op3blask5f3oervok5oeje4ne7ftlyjb,2.0,3.0,21.0,1.0
orrrr63gp24gcvgaqirqpzg5sfxxou2m,2.0,5.0,4.0,0.0
osvgnzba3bs64dbqrfqg722s3drlhf2g,0.0,2.0,22.0,10.0
ouyd6iqxsyf34zgubkoprjfxyay2cxrc,2.0,4.0,50.0,1.0
owbmxyjkhkm2fb4akqsc6sdr2ff72vjd,0.0,1.0,27.0,11.0
oxxxsjc5ejonm6qtfgmh7qyj2eh2vjaq,1.0,4.0,5.0,6.0
ozzw5gby2zvb6hagp6pfnzeooxera3be,0.0,4.0,13.0,8.0
p33p4gf3nsfub25k4sb6bl7syd6aljh5,0.0,6.0,20.0,10.0
p3q363ygz7vdv2xbfjgjkcsfe7b5bu3g,0.0,7.0,81.0,15.0
p4fyvbwfu3ohgz5nblyksn3qmh2d4tk5,2.0,5.0,91.0,14.0
p4gxn7bo5o4t5zflphuilwndbtxwtgbm,2.0,6.0,53.0,3.0
p5lmw57jjfq7d3x6k7gwxvfvmdko33ik,2.0,4.0,63.0,4.0
p5pfhs6f7ep5i676lsl5e72f4ggxvj4a,2.0,7.0,36.0,14.0
paacvat5qhf3etp772xmhzof55p5c7ts,1.0,4.0,45.0,7.0
pap3humsgdreazsomqi5f2axkpzge4q4,2.0,0.0,59.0,3.0
pbmwnh3r5qym7rsuzvupho7pcne2bcs4,2.0,3.0,45.0,14.0
pflem5enezz2xpnxodc2dgkywh4oninf,2.0,7.0,17.0,14.0
pgcwcc6nqotzzwd74vvwg4f2feeyib33,0.0,7.0,42.0,12.0
pgqubkcbc7wtwqrthlsxwqzuhqyxe7co,0.0,2.0,12.0,13.0
phdn5fan5hhxjg2mpbv7tumnklhi6ukr,0.0,5.0,3.0,12.0
pin6gav2rakdlan4s4rrcaiuwgsj3do6,2.0,7.0,0.0,4.0
pksfewgvzw6taxputrzjbslg53ic3ixd,0.0,3.0,36.0,10.0
pl5lslndbvylu5qnzvttt6xowb3k2j6h,0.0,5.0,54.0,9.0
plnjhid5upee473svtjt6nswqvqedbic,2.0,6.0,68.0,2.0
pluznsad4igkquyiagie6hvattsvixyz,2.0,5.0,3.0,3.0
pmnr5aal4cwtpqw4ubzkp72xg2bshe7e,2.0,8.0,61.0,3.0
pmw4kvudiolhhqdyxzmgj675ymowjrwx,1.0,7.0,54.0,6.0
pnvgtl6goyon6pruh7d3euvfgbmtp7cp,2.0,0.0,84.0,14.0
po4ed4f4d2u5ojn4jhb77yu3hgu2b525,2.0,7.0,48.0,0.0
posn34etzodpo3d3zwaktunmddyiuy4c,2.0,1.0,3.0,0.0
ppbg6dy6ydhhcqlvu4rtnx5qzs3g5u4q,0.0,6.0,8.0,15.0
pqq7xgxu4nth2ahfjvd6exq6kb3rhlxc,2.0,8.0,79.0,2.0
pquuldkzqwqvrqqgvhxpydu55ppppauu,2.0,7.0,45.0,2.0
ptp27ofxfmeq6sqjtuhrlixioswka3mf,0.0,1.0,14.0,9.0
puigvszy4neea4uxruq3cwfioxpbo4dh,0.0,2.0,81.0,13.0
pvi7pycrwo4kcusigv4lorqeo3inp544,0.0,0.0,39.0,9.0
pzeq7xpyzbc6htc6ocvjtguwaid7il3l,0.0,3.0,3.0,10.0
pzib5sc2nbxi7oumskeatg4g55srobxe,2.0,6.0,59.0,0.0
pzj5nviyfs6yrt3sbg5f6dki5ynpms6c,2.0,3.0,55.0,4.0
q434c3kf2dfv2ncqyen4yxe5ijmpikxe,0.0,2.0,88.0,8.0
q4fndxbuz5prg34n4aqyca6conxph44w,2.0,3.0,94.0,0.0
q6qatex3jeutyj3jzyxmu5sfn3drhqgf,0.0,7.0,9.0,9.0
q6ryejges3ein7z3zx6n6gdb53dpwjmo,2.0,5.0,87.0,1.0
q6vj5zim45y5xweawspodmquvxstqmep,0.0,2.0,24.0,15.0
qaod2d4yjdts4hdmafurb5tknuo4go75,0.0,7.0,25.0,12.0
qc4mlxp5mitccye4cyv4mwv2i7elpl6t,2.0,1.0,34.0,2.0
qcmkcvfvkk5lllze2zuxxmvxyvthpqed,2.0,5.0,68.0,14.0
qfanormkie47kygtvxdjs3i2venhrbu7,0.0,6.0,37.0,11.0
qg2fogdfmeic2hu7qh4tpn7dohgowcdg,0.0,8.0,42.0,15.0
qgmbpv6l37gnmqnkwzwas7pymaj7u4xy,1.0,7.0,59.0,7.0
qhhumbupbycqssuvgd7xd5znnrbxhbal,0.0,0.0,82.0,13.0
qj6tcxxxrsfbej76ryeajedtpsymkh4t,0.0,1.0,20.0,8.0
qk7dbaatjsv3p627ou3lepz3hea4aqdz,2.0,6.0,7.0,3.0
qmcfs77bvtug2wi7qy27bloqqdmtnvun,1.0,7.0,82.0,6.0
qo52xos234stszgmehqhqum4ug6wn5dd,0.0,8.0,32.0,9.0
qq4sgaiwgix77jmbzyaq7hqmloywtrch,2.0,8.0,69.0,3.0
qqcmbchz7ywj7inn24owp2452shnczat,2.0,5.0,52.0,1.0
qryrbjefdmbbiyhhddetymbw7hygypy4,2.0,4.0,21.0,3.0
qsblk3mpmtvsp7za35bj6oa4fm7sp2r2,0.0,7.0,72.0,8.0
