,libfabric-version,pumi-version,cmake-version,mpich-version
4cc2x2a2titnqi4jhiuvzgw2e7ludrn5,0.0,1.0,30.0,10.0
4ffqrm5xcwhclpjtaewjci62pfubjmsq,2.0,3.0,10.0,4.0
4hh42zqq7vioairfv27ebxnhukwsgw3v,2.0,0.0,46.0,1.0
4mgzhvwzn5adkc3mcjjetnduj7eryu4q,2.0,5.0,49.0,14.0
4mhjzacan5bw3rfqblzht3pqwesqt6cz,1.0,7.0,96.0,7.0
4nyplww24nbwk5hys2rquxx7c36ms4rw,0.0,4.0,17.0,13.0
4oxsmp3kumbngi4vfbsve2cqlavfft5h,0.0,7.0,7.0,11.0
4oyj5bkfk63kda4ez2fva7vwcaibs6ws,2.0,6.0,52.0,3.0
4qxtrzflmnozxulkfj3lj6frka4ylta7,2.0,7.0,75.0,2.0
4rwc4cka3lbyrmrb63dosp24cucs5z6x,2.0,0.0,26.0,3.0
4scufqgwzusywfj5d4acmkuyqml6uyta,0.0,7.0,30.0,12.0
4upyrgrcltyb6tby3m4vl44k76cqkkzv,2.0,2.0,72.0,1.0
4wjgeli7ey2ffp7lisldf3citrljj536,0.0,5.0,70.0,10.0
4wvw25xwtzatysiozac6iqrma7w7yzve,1.0,2.0,45.0,6.0
4yjycecm34kooeymnzbyctmkhvlpbewu,0.0,4.0,57.0,11.0
4zm6wbuvyollpvemgnsa3k2lo76lborx,2.0,3.0,40.0,3.0
52p3yv2fdcdnexq3arpnyexgqjoyu2mu,0.0,2.0,7.0,13.0
532bhlstvac6kgpp4ewp77e3wv4r5emg,1.0,5.0,95.0,7.0
53j5jy52bwbvp4qmuwfqkovkpiltivcx,0.0,4.0,47.0,13.0
542nisv7aecbkt3ogkm6j45fcfyx3ox3,0.0,0.0,69.0,10.0
543nimv5tiri2ben5leac2on5ism7nrc,1.0,7.0,3.0,7.0
55sobu54uj3iwjly3ewtop5ag3nb63rt,2.0,4.0,42.0,0.0
57rjrxigoj2qcdzhin3rc4mao7vkfulm,2.0,6.0,85.0,4.0
5a3lprnnmjhhzohphczcnwk2zunch35k,2.0,6.0,64.0,3.0
5ajj24vhkdn5iswcdipge454cneadvhc,2.0,7.0,4.0,2.0
5bogrdi3izngrnoygzsfungbeblghhzr,2.0,7.0,71.0,2.0
5fqocz4ciy4rldx2diwuq2w4epi3icfd,2.0,2.0,54.0,14.0
5jcrfzmueujqt7tq3uh6bagsmzmeyutm,2.0,0.0,68.0,4.0
5la3rj5wif7eteahdhwmcmubbznzcakb,0.0,6.0,41.0,9.0
5m4ecd7soxuumva7ofquborp6i7f4uyi,0.0,1.0,76.0,10.0
5o6gouyawnvkfrnsgigxf2dmqeygaaee,0.0,1.0,17.0,12.0
