,mercury-version,cmake-version,boost-version
25b3jtmrdujkko5cvrwrtovkvea46xbd,2.0.1,3.20.2,1.57.0
266d2555zd3ool5whsxyac6ty3haq546,0.9.0,3.14.1,1.73.0
2bw2itsfihby6ydrkznwfw77phxtfpwk,2.1.0,3.17.3,1.65.0
2cpwshmikm4aychp5l7grgh7wwe4kr4b,master,3.16.7,1.63.0
2cskqsvjowtmgcfgvxbibv7slv2ahrjm,2.1.0,3.16.3,1.68.0
2j2j6bqfbmye5ubwahasjlplwxpdcl2e,2.0.1,3.18.4,1.72.0
2kpwum45tvsks7iisbxrngbe4jt3fnub,1.0.1,3.16.1,1.71.0
2nrtfcqkxbewhvsebee62eyloje3ctbe,1.0.0,3.14.5,1.71.0
2pfwrt3aihmfbqvzx25ingwf372jdeuq,0.9.0,3.11.0,1.57.0
2pr5ziv227n7i7ugtq4zwhrmhhwrmbuc,0.9.0,3.12.0,1.58.0
2v7tejukcaauwfsr6zxdot5t7e5nocda,1.0.1,3.16.1,1.59.0
36d47noxnunuxeewxky2hquao3xyu4uv,1.0.1,3.19.8,1.56.0
37tkyg4lll3bduuir66nubawzvj6tijf,2.0.0,3.19.4,1.63.0
3ak6socdi7uuihvkyix3pwekaxykm5v7,1.0.0,3.10.2,1.75.0
3aouixxijxahl2kqmbhu7saizxex3rio,1.0.1,3.12.1,1.51.0
3djd3h3dmoa6hw5gewe3ycvlai34myal,1.0.0,3.8.2,1.55.0
3kfewqoy5uisjezgd6c2lfqnsr2ct4it,0.9.0,3.15.5,1.62.0
3kypmyv7jaaqwhggcth2k4kuxdym5kxt,1.0.0,3.8.2,1.59.0
3rqcwbdvbtxzgzu6qs4vr7odgxcbkd4d,1.0.0,3.7.1,1.56.0
3sb7s4zutgnj57yyjfpifrq5pb2h2c4v,1.0.1,3.15.3,1.76.0
3wveus6ov4eyxrcogruk6hgevzllfivq,2.1.0,3.7.1,1.65.1
3ykhqaxzi6up62rsfazbodrtj5spdmqc,master,3.10.0,1.76.0
3yz5zdbowitulk4mkyn7tizhvadmvvfg,2.1.0,3.20.3,1.75.0
42gnfizuumgqngztvn3jsbhjjgdgzgew,1.0.0,3.11.0,1.58.0
43pguxftdx3cftkwewvhjb4nmwvc2yzc,master,3.9.6,1.61.0
44ijixum5hcyxp4cgxrti3l6ziymoo2h,2.0.0,3.13.4,1.68.0
45quiazewmmc7xs524lt7rgt67r7enks,2.0.0,3.8.2,develop
4b4gh4cadwn42o6rkd5zwuhooosypche,1.0.0,3.16.3,1.78.0
4ee2bd3ofa5bqx54xtzs6nublu6duh7v,2.1.0,3.1.0,1.60.0
4n65ilziytzfm4tpqawdixchel3zojks,2.0.0,3.16.2,1.60.0
4ptmcp7irxf6bjuzb7hpnyr7j5yne4jr,1.0.0,3.17.5,1.59.0
54afoei7vw4ssuzdyq36zmddlvqq46rk,1.0.1,3.19.7,1.54.0
56tx6xwx7evawyszdvoqi5unqf4v7ylj,2.0.0,3.19.2,1.55.0
5db2ndqyrhgmv5nsijzd7gehzi37lh7x,1.0.1,3.5.1,1.78.0
5dykew7y5s3dqjr5q54x37sad6x3tdhw,2.0.0,3.16.2,1.57.0
5fbpy4m64vsq2tqiqrkn5pdwetyljjyl,2.1.0,3.15.2,1.65.1
5giolzca73utytoirbk4nlysrqfqmq5k,1.0.0,3.13.3,1.53.0
