,cmake-version,sz-version,zstd-version
227c7q7snlq2zbwuh5vvye2cd6jqcqmk,49.0,7.0,6.0
24ymd3cbjgk5einhlg5b5p4576hlol5p,20.0,6.0,3.0
25hy4vo65mclsyab4ajrszag3op56fxz,29.0,5.0,3.0
25v3vclpkkik2qxlgaogwal2wcwi67av,21.0,1.0,9.0
27f6bsuhceykmp63sr32v43rcuty2wx7,24.0,17.0,12.0
2fixcer6ssrhxefp2mapxtpue7y2ivdq,35.0,2.0,9.0
2ij5omrks66glhti4vjaygv4bcfxkr6t,23.0,15.0,5.0
2kmhidr2xs4uzyrop7jfvuwmi7sp5qj6,11.0,6.0,9.0
2ltsn24u4myyytl5rapo7enc3czooavo,0.0,12.0,4.0
2qn5pfdpotq6o2t2hkb436mepmz2hv4e,45.0,18.0,3.0
2va57eicrklllgfpret5rknfpl7eops4,22.0,4.0,0.0
2xhaan3j45qo6eis4idfb5oj4zff6yfx,19.0,1.0,7.0
2xuvbmo2bhdvf2rgo4xzzrrchhxwtcgx,5.0,0.0,3.0
2yypr3guyx2oruokjolzdcjdya5tji6t,22.0,5.0,12.0
2z6kgjou5r5pj43t6blflyiiinugpl2z,17.0,4.0,3.0
33lpghrmtmiwrcg2cbrucemmkokj5l35,21.0,10.0,6.0
34xm44qixrqkpks5bryjqqkm5nor6h26,42.0,12.0,9.0
3c4h7fmdb2uujyxefueo6elqpi3up6wb,17.0,13.0,1.0
3e6lm6e7vbnx7uigx2qgbwc2kfab2dfr,0.0,15.0,1.0
3ef75znyfk3hbtai7hue7olkrr7makxv,28.0,20.0,2.0
3hjs2cqfksdvq46dnrjzkjrljua7s2ya,41.0,1.0,11.0
3juvf2si7se2pdtgapvgdc633oca34qb,21.0,14.0,11.0
3llwibc6y5xrkhpd6yx2euqt5d2bbaqn,2.0,17.0,3.0
3lw5h3oodalinblaf5oxprae7ersq4ax,28.0,2.0,11.0
3moko7ze6rb6dcnemf3iv6c44xlpdam2,23.0,9.0,6.0
3oxlsagyabzhdjextowocfgjtnlksz5c,37.0,9.0,11.0
3p52oyxwzmz4envwvohuo47hhkmt6m3j,25.0,16.0,7.0
3pd7ou5wiuf7jojmea7yy6gpqk3nqnez,7.0,4.0,8.0
3sbmvgt4cqm5rqyk62csaydcaphs5pzu,10.0,0.0,12.0
3smiocmgz5y6o6go4q7cbkzqfxmyvt6d,28.0,6.0,4.0
