,trilinos-version,libfabric-version,omega-h-version,cmake-version,mpich-version
2ffwxkacwlgqwjjjkohkz2sownufqxng,2.0,0.0,10.0,23.0,13.0
2hu3sht7svahxcpw4kn55poacwxdwunt,0.0,0.0,11.0,54.0,12.0
2pbex6sdox65enitudlebs6ickvristw,0.0,2.0,8.0,28.0,14.0
2qejtbixt4f2c6peawek474qty4x4v2r,1.0,1.0,9.0,46.0,6.0
2qukroo26z4rtz5cn3zbbbqsprjg6v27,9.0,0.0,3.0,29.0,10.0
2sqbe4bvgwuyy6sdnz7h5g5wp7pyke2k,2.0,0.0,1.0,53.0,13.0
2xqva7zymvf7daeyhzichgbhovtgcg52,10.0,2.0,10.0,54.0,14.0
3vg5naacpvhg6l46dpift2j5s6bgb5n4,10.0,2.0,2.0,3.0,4.0
3w6qwzrgp56cbb2absjc7udclsn2wkle,6.0,0.0,11.0,50.0,12.0
43aaw3untt5lnyqy4on3twslccwylhrz,12.0,0.0,10.0,51.0,9.0
46z3hymei7lcq5f6ol2pe66ddgd3meb6,8.0,0.0,8.0,8.0,15.0
4fmftreb5ijxc7wvo3sfl2djnmfm6m4p,2.0,0.0,10.0,35.0,10.0
4se5lupmj5oum4cvpu5dqymon6q437uj,10.0,0.0,2.0,15.0,13.0
56fe6p64wqlotsr27m4yh6ic4xn36cxz,9.0,0.0,0.0,42.0,11.0
5ahurofe3kodcwhmqcnhfu3poqn34p4o,7.0,2.0,8.0,16.0,3.0
5eyhbt655apm24klcmbtafeczffgsmbm,10.0,0.0,10.0,51.0,8.0
5knwxcar6njan46iaeuuppvlpzwbj7tc,0.0,2.0,10.0,79.0,14.0
5pyabqtadoxixx7zree6nzmcfxnbsdvl,6.0,0.0,11.0,94.0,10.0
5zas74g3agbkgbpbsrvy2wilqhmjtjos,2.0,0.0,1.0,72.0,11.0
62tnyadfovyqgtcwbbnqgcz4gcgee2kp,7.0,0.0,8.0,79.0,10.0
62z6ifihuyk7rpbydexvfdogicop6cgn,2.0,0.0,11.0,50.0,11.0
65556lptxuqv76jyktczybuvod3tk2rf,10.0,2.0,10.0,78.0,14.0
6dakd4n2dgkyivkctrqw37v5ictsdpkn,10.0,0.0,10.0,32.0,15.0
6l2uom5fiew4cvcuk5onrpcfsex3h75e,4.0,0.0,8.0,58.0,9.0
6yloke2iewyqkto2l4x6habzoo7ng4ip,10.0,2.0,8.0,17.0,1.0
6z7dauscejaz5mmscl7vpltolkeqcvuu,9.0,2.0,8.0,77.0,2.0
7bb7z5ebstliuv5co5otfepbba4ekdfw,2.0,0.0,2.0,48.0,15.0
7h2zesqrn2iedmxx63jip5vd2yvilpmm,11.0,2.0,2.0,67.0,1.0
7hkdsvercepuksx6ybaovxpejp3ilsjv,5.0,0.0,10.0,2.0,15.0
7hz7f63xe6jjdqpehk53d6sm5c4oux7w,2.0,0.0,11.0,25.0,8.0
7mbt7elsx4ydxopp2rdngwjpcgqismnj,11.0,2.0,1.0,64.0,14.0
