,jobid,unmatched_at,total_subsystems,max_percent_matched
775,d2vdlgztfxtypx2uu3xvx2udvfdxwxew,17,22,0.7727272727272727
776,s3jdieov4riq6nwqjk5o3bmwumyealji,23,23,1.0
777,brlt4hrdxggqjmfenajowv5sx75bim33,17,21,0.8095238095238095
778,6alslttsnmlvbs37c5cg3cte6j2rq2dy,14,25,0.56
779,lpwtaelc3qtccnnp5bujm23fxjqwr42r,31,32,0.96875
780,wxgcwz3dximzh4vehxxbl2bvfxc3uwsj,15,25,0.6
781,dp6uhkjh6hbyqqlafc7ui3kvkeddmkm4,25,25,1.0
782,naz5xerun2wvgcutnhbns3fgjnwv3lkp,32,33,0.9696969696969697
783,meznwtjnmxthnmyh5teaay7qoezisll3,13,21,0.6190476190476191
784,uv5vdiwvfowumn6c2udxyxop6gjrev7q,22,33,0.6666666666666666
785,irt6wdphevuyvi3ner54h3c3de3ia23o,23,23,1.0
786,l7fjmx5jhdpamk5owfmelmdxos2pepmn,18,21,0.8571428571428571
787,hzpimbir4kortpwdirdmz4uack2ltu3s,16,25,0.64
788,gwnigqbhp2jmoh7ihjetcwnp2if4i376,24,24,1.0
789,wxq363vepdb6lwevstfpopqmwkzih3ed,22,22,1.0
790,hpswjmsx45cnjdjabzraoylnwlafc7tg,15,24,0.625
791,fxsfbzrwycttaffpxotx5xdtl4nzvakl,19,21,0.9047619047619048
792,omlgwfs3eaggpxiw3vrnwzkao7fv7kxb,18,20,0.9
793,dluagxot6wo5ya3ixlf7e2h3jdwl4xxr,21,21,1.0
794,j2g4ztqiul6qdqn5pi7x5ztnmld3q64f,19,21,0.9047619047619048
795,jbyvwnqcuccwezt4s66ilhepdbcrooxp,18,22,0.8181818181818182
796,gx5kbswv7sepcqecq4kg7sqzrfex26mn,19,29,0.6551724137931034
797,jwymuzyxqsirrxsk624jhvaneefvhap3,14,31,0.45161290322580644
798,v6od4kq2wveyvxz4isq2qkgvg2jvlflo,14,29,0.4827586206896552
799,hrj7ftr7jz5yazkogumi57gb27kgbcws,20,29,0.6896551724137931
800,ygkjoagefbnncbpalzkrzgffkipem3kq,11,33,0.3333333333333333
801,nw2sk52xgen3obbz5a4hm6kmv4heqnty,19,28,0.6785714285714286
802,lucs2zw4n5kglpgeqm74nwmqct5rh72o,15,29,0.5172413793103449
803,ot3jove4juz7f22roiwrqyfmjjvg5pte,16,30,0.5333333333333333
804,poeob7n4i4ssxtd7gpd5cynu7bsbufh3,13,27,0.48148148148148145
805,hpjdjy4yxe7kybkk3vnhwglyhws4xvc2,10,30,0.3333333333333333
806,a32yr7vkn4oqdvlgah64keerw746hyin,19,28,0.6785714285714286
807,o2bos62s4ucvs3omfk7ggz7ikap7neuw,20,29,0.6896551724137931
808,pbfdzah23mhqd5do6o7yfx2dqrfteagc,15,30,0.5
809,pjizqad2dd3cmisart7pivnz6psvnc4x,14,28,0.5
810,su7qln4mcz5oscmokizty4exljgykcwl,14,31,0.45161290322580644
811,rccr7bf6p6rzop6wxo6bogvk7adlh7ik,10,29,0.3448275862068966
812,eprnb3hpiceefhmihfkpcltemdbdlxc2,13,27,0.48148148148148145
813,lojlc2xutycdeg26oy44ffckwh5s5jdi,15,28,0.5357142857142857
814,oflhtira3a3l2f77h2zvfu7s6dlfjkdb,11,32,0.34375
815,yolqo4djckvmy5y3p6w6ngxwsihyunij,11,33,0.3333333333333333
816,gbewfrwlfbakp7qmy6g5fknlvkpckgfm,19,30,0.6333333333333333
817,wylcaf6l6s2kgv3asc63yhp2bvfrqd7o,11,29,0.3793103448275862
818,idn4vityunea3bv6tf57wlb7d4fqaa4e,17,29,0.5862068965517241
819,7qnhntj4iy4qirxk2g3ueum44jkspatb,15,32,0.46875
820,ojvgwykhpdfw2he4hyg7f3ekoteef7mn,11,33,0.3333333333333333
821,tdfnzx6sluiiwesmtzbtr5bc2qfpgeec,16,31,0.5161290322580645
822,gstblbx4t53kibcrrqxo2rs4vtzdzun5,20,28,0.7142857142857143
823,w2thny4zdu5ido4gqhrfgpjmfbmt3owz,12,33,0.36363636363636365
824,veptadimh7xmzlw57he2bpi5ydxmrjug,15,33,0.45454545454545453
825,s5joardkxpfnusv3xkz7pxugscedwmpc,16,30,0.5333333333333333
826,l3sc4tfmfzowv3t7q37opwwuho6xs7fq,6,29,0.20689655172413793
827,vuuvq2ygrzzgcyzo2irx52tbutru7opo,15,29,0.5172413793103449
828,34lr2qhfng4nm633lyqlpketbofxhshc,14,22,0.6363636363636364
829,xrcfm4os7ky5fsvfokki7v2v3xcyymv5,15,21,0.7142857142857143
830,tby5ew62o4rhbn2k5fzztddeqibricpa,15,21,0.7142857142857143
831,6bnf6tmscjq34upxou3wors7xdt2xhgz,11,33,0.3333333333333333
832,mbcqfv2ktd4aeqwrt7ysj4zove3jjp4a,9,25,0.36
833,uygcwb3n3pj3pb55oj3dao55fk66a5rb,8,21,0.38095238095238093
834,osvgnzba3bs64dbqrfqg722s3drlhf2g,12,25,0.48
835,wqnszhodig6ogkzmyd5zqbs26md7oile,11,22,0.5
836,rrfg4zdumuk4erskom2o7n5q6fuyr4fa,14,22,0.6363636363636364
837,wy3dgfnmhi2lsle2jts6ttbvze62csqs,12,21,0.5714285714285714
838,avzj3ylofsddhi3haqwmectgvfj2ctlr,13,21,0.6190476190476191
839,hxgmr5eryhp6j3r644dtgemcnifvffqk,15,21,0.7142857142857143
840,xoiixio65goz5au7cx3ykje6dazih3pu,16,33,0.48484848484848486
