,experiment,build_success_mean,build_success_std,marginal_score_mean,marginal_score_std,versions_in_range_correct,versions_in_range_possible,matched_clusters_per_job_mean,matched_clusters_per_job_std,mismatched_clusters_per_job_mean,mismatched_clusters_per_job_std,total_clusters,percent_versions_correct
0,none,0.004993757802746567,0.07048985874403549,0.7314283192392665,0.09887721111716347,31537,43021,100.0,0.0,0.0,0.0,100,0.7330605983124521
1,single-subsystem,0.06068601583113457,0.2387534781184933,0.8073878627968339,0.09233100730446023,3672,4548,100.0,0.0,0.0,0.0,100,0.8073878627968337
2,expanded-subsystems,0.1335780852866422,0.34019844270336796,0.9034922204444812,0.07238546187634992,73346,82028,2.5459247000413736,5.629586434635241,97.45407529995863,5.629586434635241,100,0.8941580923587068
