,package,builds
0,paraview,1039
1,py-torch,817
2,py-cython,537
3,hdf5,470
4,py-pybind11,455
5,trilinos,438
6,llvm,340
7,py-numpy,340
8,py-setuptools,322
9,rust,322
10,boost,309
11,kokkos,307
12,py-six,306
13,py-pyyaml,306
14,meson,298
15,py-setuptools-scm,292
16,vtk-m,286
17,adios2,284
18,py-scipy,283
19,umpire,273
20,py-markupsafe,268
21,petsc,268
22,py-tensorflow,267
23,py-pythran,261
24,py-pip,257
25,py-pillow,255
26,py-gast,251
27,mfem,246
28,py-ply,245
29,py-editables,245
30,py-pandas,242
31,py-numexpr,241
32,py-matplotlib,238
33,py-pluggy,234
34,py-certifi,232
35,py-h5py,231
36,hypre,224
37,py-pycparser,222
38,py-bottleneck,221
39,py-urllib3,219
40,py-psutil,217
41,py-contourpy,216
42,mgard,214
43,py-charset-normalizer,214
44,py-protobuf,214
45,py-hatchling,211
46,camp,209
47,py-calver,209
48,py-meson-python,208
49,fftw,203
50,py-wheel,200
51,python,200
52,py-pytz,199
53,parmetis,199
54,caliper,198
55,netcdf-c,197
56,mesa,193
57,py-typing-extensions,190
58,conduit,189
59,sundials,189
60,sz,188
61,mpich,186
62,ninja,185
63,py-requests,184
64,openmpi,183
65,py-trove-classifiers,181
66,py-tomli,180
67,py-python-dateutil,180
68,ginkgo,180
69,py-mpi4py,179
70,hpx,178
71,py-versioneer,177
72,py-pyproject-metadata,172
73,py-hatch-vcs,169
74,cabana,169
75,py-packaging,168
76,py-flit-core,167
77,zfp,167
78,parsec,162
79,py-pygments,161
80,superlu-dist,161
81,py-beniget,160
82,py-jsonschema,159
83,py-pyrsistent,157
84,py-cffi,156
85,arborx,155
86,netlib-scalapack,154
87,py-networkx,153
88,py-fonttools,151
89,slate,151
90,raja,148
91,libjpeg-turbo,147
92,rankstr,145
93,py-greenlet,143
94,protobuf,140
95,amrex,140
96,gromacs,139
97,py-tornado,139
98,py-fastjsonschema,139
99,cmake,138
100,py-cycler,136
101,py-pathspec,136
102,py-attrs,136
103,py-tensorboard,134
104,py-zope-interface,133
105,py-jaxlib,133
106,heffte,132
107,py-zope-event,131
108,py-nbformat,131
109,py-hatch-fancy-pypi-readme,131
110,py-mako,128
111,py-jinja2,128
112,py-decorator,128
113,libpng,126
114,intel-tbb,125
115,py-oauthlib,124
116,py-traitlets,123
117,py-kiwisolver,122
118,libxt,122
119,py-jupyterlab,122
120,yaksa,121
121,libx11,120
122,py-cppy,120
123,libcatalyst,120
124,py-joblib,120
125,py-wcwidth,119
126,ascent,118
127,tasmanian,117
128,py-matplotlib-inline,117
129,libxcb,116
130,kvtree,116
131,curl,116
132,py-fsspec,116
133,py-platformdirs,116
134,py-mistune,115
135,openpmd-api,114
136,py-idna,113
137,py-filelock,113
138,libxrender,112
139,rdma-core,112
140,py-poetry-core,112
141,py-parso,110
142,py-ipykernel,110
143,py-cloudpickle,109
144,py-prometheus-client,108
145,py-json5,108
146,py-hatch-nodejs-version,108
147,strumpack,108
148,py-pickleshare,107
149,py-ipython,107
150,tau,107
151,xcb-proto,106
152,py-pyparsing,106
153,py-sniffio,106
154,py-send2trash,106
155,py-defusedxml,106
156,py-pytest-runner,106
157,py-pure-eval,105
158,snappy,104
159,parallel-netcdf,103
160,py-markdown,103
161,py-gevent,103
162,openssh,102
163,git,102
164,metis,102
165,py-pandocfilters,102
166,libxext,101
167,py-websocket-client,101
168,py-webencodings,101
169,flux-core,100
170,redset,100
